variant,population,samples,rmseM,medianM,p95M,maximumM,yawRmseDeg,aboveHalfMeter,aboveOneMeter
coarse_recursive,all_outputs,1170,0.182534824718436,0.11581765137692472,0.3280152199658898,0.844665885549916,0.5825790018471709,31,0
coarse_recursive,accepted,1166,0.18234562125607195,0.11563056740276711,0.3280201519308639,0.844665885549916,0.5831810770860394,31,0
fine_recursive,all_outputs,1170,0.20099397089734783,0.10708445069028374,0.4364957883086388,1.0162811043510176,0.829708859604536,41,1
fine_recursive,accepted,1164,0.19488146539150472,0.10641382153639772,0.4215457431280168,1.0162811043510176,0.8069381525006056,38,1
coarse_binary_quality_recursive,all_outputs,1170,0.18171263883060546,0.11735038165193593,0.3256363557465224,0.8454252206425515,0.5770290938173892,30,0
coarse_binary_quality_recursive,accepted,1167,0.18052656617658916,0.11705288400919817,0.32472788544533054,0.8454252206425515,0.5753541188493181,29,0
coarse_commonInitialGuess,all_outputs,1170,0.182534824718436,0.11581765137692472,0.3280152199658898,0.844665885549916,0.5825790018470497,31,0
coarse_commonInitialGuess,accepted,1166,0.18234562125607195,0.11563056740276711,0.3280201519308639,0.844665885549916,0.5831810770860584,31,0
fine_commonInitialGuess,all_outputs,1170,0.18134371378700173,0.10467000815366818,0.3434778667441447,0.8851369205538623,0.5783243144043553,28,0
fine_commonInitialGuess,accepted,1164,0.18007156992806136,0.10379428375432401,0.3369674924535121,0.8851369205538623,0.5757863312962023,27,0
coarse_recursive,common_accepted,1161,0.1794119415019881,0.11551491431320059,0.3194683331855834,0.844665885549916,0.5769289055724678,28,0
fine_recursive,common_accepted,1161,0.19496706442763362,0.10652024544872155,0.42171908343534964,1.0162811043510176,0.8068543267893149,38,1
