frame,timeSeconds,rosStamp,referenceX,referenceY,referencePsi,predictedX,predictedY,predictedPsi,x,y,psi,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi,directionalAccepted,variant
809,80.798897337057,1717776645.68225,484323.003277323,4976643.47530754,-1.11547963402046,484323.057536915,4976643.27855018,-1.12868946884942,484323.034446479,4976643.26965122,-1.12864497827921,1,accepted,0.208004901264632,-0.754318661863332,0.416650337690675,3,6,148,70.976,64.076,6.858,0.042,0,6.67072998004267,3.16958301992342,31.370578051805,10.4150058134636,-5.28259727879269,1831.02060367995,0,coarse_recursive
810,80.8998163451291,1717776645.77466,484323.339085181,4976642.79514164,-1.09256263463255,484323.38718993,4976642.60480143,-1.10577031244348,484323.302820208,4976642.70243363,-1.10977296601606,1,accepted,0.0995486015507323,-0.986079352296869,0.376756644048252,3,10,132,67.127,58.971,8.114,0.042,0,6.6453841871817,2.76822072027631,43.7686210429207,9.24431490173996,-1.23730170887911,1601.42518789599,0,coarse_recursive
811,80.9989671935347,1717776645.8659,484323.6833056,4976642.13573989,-1.07007998302637,484323.66079099,4976642.056365,-1.08734237559107,484323.628912523,4976642.03797405,-1.08729954775497,1,accepted,0.111878356111428,-0.986608384001164,0.314593446730445,3,15,131,77.887,65.59,12.256,0.041,0,6.2127768130154,2.56136583737029,60.9060168750177,8.52198048522379,1.8750357658959,1609.99839836742,0,coarse_recursive
812,81.0993556263967,1717776645.95734,484324.04568233,4976641.47613436,-1.04763320872701,484324.005765121,4976641.39144804,-1.06481577083166,484324.021624104,4976641.38065991,-1.06694068496742,1,accepted,0.0984589720202048,-1.10623690162488,0.296057533178679,3,11,133,70.427,59.865,10.508,0.054,0,6.0890119346101,2.47230020992279,46.9069456457616,8.67713428403283,-3.37764654817474,1399.06295347473,0,coarse_recursive
813,81.199400279316,1717776646.04899,484324.422081748,4976640.8262923,-1.02524040244878,484324.410272388,4976640.74413231,-1.04444864648178,484324.339216842,4976640.80074877,-1.03824979899941,1,accepted,0.0867125381459031,-0.745383516363528,0.256600253742647,3,13,140,74.167,64.443,9.682,0.042,0,6.42652198955835,2.238706000064,43.3795980909474,7.95849264990234,5.646605801012,1506.15960378073,0,coarse_recursive
814,81.2993188875502,1717776646.14101,484324.812930405,4976640.18629848,-1.00291683043731,484324.746578593,4976640.17678476,-1.01581855125024,484324.475599684,4976640.23779798,-1.00896910134457,1,accepted,0.341239232675703,-0.346769579455717,0.2738927784741,3,25,145,77.856,61.046,16.768,0.042,0,7.18032695810562,2.2069794222317,15.244529413487,7.37192314889104,18.2471581656893,1633.84876654919,0,coarse_recursive
815,81.3993734693835,1717776646.23264,484325.219656828,4976639.55292464,-0.9806034405899,484324.901189563,4976639.62532817,-0.986630080090179,484324.901189563,4976639.62532817,-0.986630080090179,0,notConverged,0.326594045186369,-0.345301008012833,0.293654836127526,3,40,157,86.811,63.039,23.728,0.044,0,7.35669939643815,1.84020676890362,-0.307563314154071,6.38434342718092,31.6430452363943,1810.93122928665,0,coarse_recursive
816,81.4997665714795,1717776646.32482,484325.64157004,4976638.9251028,-0.957880898530569,484325.342082228,4976639.01997609,-0.964072885860452,484324.947880683,4976639.25734085,-0.987402731670891,1,accepted,0.769146959709281,-1.69147644242987,0.296452755445435,3,19,160,74.837,61.48,13.306,0.051,0,7.79472685668837,0.717208380939994,29.908309438044,5.36455310905968,23.0668566829389,1822.24363130634,0,coarse_recursive
817,81.5666478426427,1717776646.41593,484325.931626634,4976638.51104811,-0.942905566868331,484325.240520461,4976638.85067445,-0.972284342772348,484325.293338202,4976638.82047796,-0.971503681258197,1,accepted,0.709336983448637,-1.63855125657165,0.275992633489363,3,12,165,69.188,59.729,9.414,0.045,0,7.49633808576493,0.613407214233922,38.2510052156179,5.14479312059869,16.1619001339102,1545.39423189555,0,coarse_recursive
820,81.8989208689296,1717776646.69069,484327.443659168,4976636.53249132,-0.868168956392734,484326.889143419,4976636.85177472,-0.892127362786675,484326.871146365,4976636.89992845,-0.894654159783137,1,accepted,0.680280053542862,-1.51749037381571,0.339255686792595,3,13,192,71.553,59.9,11.597,0.056,0,8.07622336733345,1.25379549624048,-9.9662652365033,6.29053024737301,29.434952744405,1970.46126158039,0,coarse_recursive
830,82.8988254425692,1717776647.6071,484332.928437865,4976631.18471863,-0.639398132149512,484332.558362299,4976631.55876452,-0.668766526700396,484332.424231401,4976631.53387988,-0.67505668062051,1,accepted,0.613300687980043,-2.04308433095087,0.375900929889485,3,15,198,79.614,66.884,12.689,0.041,0,7.70330340317375,0.0143677434961811,23.5735820404545,6.20421878830714,28.6313400023126,1871.06860584334,0,coarse_recursive
832,83.0989883759986,1717776647.79034,484334.172763644,4976630.23561773,-0.594165993692104,484333.678716939,4976630.57995107,-0.629343806467354,484333.666925027,4976630.50507906,-0.629917598866312,1,accepted,0.573133592129884,-2.04841608730021,0.380624058746451,3,14,193,73.91,63.082,10.786,0.042,0,7.9449256402368,-0.149783448128602,34.3385236391232,6.6393085061033,31.0711413129651,1843.5569510718,0,coarse_recursive
842,84.0996605421504,1717776648.70796,484341.050185355,4976626.27066356,-0.380283940092553,484340.997203603,4976626.37646658,-0.396403246678782,484341.043883069,4976626.392669,-0.412512273417967,1,accepted,0.122168099195706,-1.84654748028705,0.479519010093733,3,19,152,75.126,62.903,12.172,0.051,0,8.80557206367172,-0.625030550130511,30.1581889895185,8.40832815982522,10.6610064720422,1015.59398375761,0,coarse_recursive
855,85.399406406021,1717776649.8992,484351.546517318,4976623.17733577,-0.184775899459737,484351.699123741,4976623.33053504,-0.191961835025221,484351.683578437,4976623.33253537,-0.190974987593584,1,accepted,0.207057158650993,-0.355181586899046,0.578672570517133,3,5,255,73.266,66.115,7.109,0.042,0,10.3431782961211,1.07648204915385,-12.8796447100892,9.53803251633642,66.0876860589635,2906.05526440098,0,coarse_recursive
943,94.1987940886419,1717776657.96548,484444.355823193,4976627.06621538,0.102108992755031,484444.264193921,4976627.07296398,0.110319455364774,484444.240897945,4976627.08340767,0.111054881832016,1,accepted,0.11620407596952,0.512561688103455,0.577163409484685,3,5,243,62.023,54.259,7.722,0.042,0,11.2908589958137,-0.0268284776739293,32.7819178794787,13.7527200658032,71.1528417285625,7357.18155459463,0,coarse_recursive
959,95.7989984956552,1717776659.43307,484463.165328702,4976629.3906253,0.105522648670673,484463.104705193,4976629.24779767,0.116486360065467,484462.871592213,4976628.79812543,0.176041664869543,1,accepted,0.661314760175685,4.04044200360989,0.37334349953423,3,11,136,67.271,59.018,8.214,0.039,0,9.54987972790254,-0.186265894351913,22.9756387139741,11.8790863524233,95.6118884710085,1124.11910929251,0,coarse_recursive
966,96.4987656687502,1717776660.07424,484471.480567774,4976630.46542362,0.108702882682351,484471.464743474,4976630.36883797,0.117617632473171,484471.486794205,4976630.39616134,0.119533179279057,1,accepted,0.0695415895144455,0.620530285866159,0.472384540405303,3,7,208,63.295,55.034,8.22,0.041,0,8.64526839744477,-0.278481574436189,41.8868616617498,12.6097109212259,56.9365614029849,1024.38599864942,0,coarse_recursive
1047,104.571205321983,1717776667.49899,484564.271862073,4976642.61873271,0.126309269507398,484564.405598285,4976642.58157312,0.136063906248023,484564.445489356,4976642.60474982,0.136115523326562,1,accepted,0.174189421373607,0.561856956672144,0.608448643536857,3,5,245,67.284,58.592,8.647,0.045,0,11.3881407807504,-0.210587662244886,75.1595448098531,15.3680562546544,-72.2863431906021,3912.68902158408,0,coarse_recursive
1137,113.574456738946,1717776675.74966,484669.871778365,4976659.07822864,0.125977573173384,484669.824529584,4976658.99187235,0.132247380812395,484669.874925498,4976659.01593319,0.132558623005044,1,accepted,0.0623748977515685,0.377066380119383,0.601987804721906,3,6,249,74.712,66.67,8.003,0.039,0,9.0679913617078,-0.0098641225391759,9.73602796258842,13.3221013523884,-4.32537451922034,2255.9692175986,0,coarse_recursive
28,2.69885396896601,1717776574.09055,484200.464803196,4977499.98371771,-2.13052669075943,484200.486959846,4977500.01321798,-2.1327290920435,484200.472074586,4977500.00461743,-2.13242528338992,1,accepted,0.0221285183072671,-0.108781344741831,0.88909806730954,3,4,75,1071.827,1067.949,3.841,0.037,0,12.7154737762904,-2.07104091299375,69.486991520056,13.6634097982738,-41.2576196599925,2697.27551430647,0,fine_recursive
91,8.99964395989581,1717776579.86573,484193.853855045,4977485.48400909,-1.63795998492176,484194.076483363,4977485.58822484,-1.66318682631886,484194.028116685,4977485.69681066,-1.6675622821746,1,accepted,0.275048406886632,-1.69608669647964,0.461120811844605,3,14,120,3410.795,3400.638,10.12,0.037,0,8.70872385878405,2.05551097925613,5.67180972326155,9.73578524554138,33.4783565703373,1377.18704487938,0,fine_recursive
92,9.09923735126782,1717776579.95723,484193.803258615,4977484.98879146,-1.60809194331152,484194.019671797,4977485.19955391,-1.63802590811885,484194.06899578,4977485.16358127,-1.63644038815487,1,accepted,0.318068732306278,-1.62424624528378,0.445495408203079,3,11,123,1895.158,1886.221,8.899,0.038,0,8.91242739374045,1.7699731182224,6.38453889642515,10.0185344974543,39.5983605720837,1410.19856280903,0,fine_recursive
94,9.29898263593232,1717776580.14045,484193.755599737,4977483.96797225,-1.54852504049152,484194.026038162,4977484.1925449,-1.58182255053541,484194.028201972,4977484.15026828,-1.58602427369285,1,accepted,0.32793874781972,-2.14854779741296,0.303785013386379,3,14,104,2158.721,2148.349,10.332,0.04,0,7.93896263507144,1.03915637062371,22.9560123919443,8.44079939477803,46.8434460965616,1609.4316431481,0,fine_recursive
214,21.2983417054566,1717776591.14116,484219.478058518,4977372.37669366,-1.55481817884345,484219.397202527,4977372.36631424,-1.55285022109934,484219.428691489,4977372.37772604,-1.55242439765133,1,accepted,0.0493778226713651,0.137153559386333,0.882121442543375,3,5,95,1498.482,1493.421,5.021,0.04,0,17.7408004010387,-0.261220811013308,-2.38028499016102,12.3086650615065,79.7589579051109,7698.56559501361,0,fine_recursive
425,42.3992649644748,1717776610.48212,484266.139925541,4977079.73528791,-1.40796638859043,484265.997751746,4977079.76111492,-1.39847866736782,484265.99871732,4977079.749883,-1.39817815916082,1,accepted,0.141960481653189,0.560824235222175,0.893482458409633,3,4,114,1679.492,1674.919,4.534,0.039,0,12.8454436339982,0.659985541637275,44.1309395791819,12.1482902146411,38.1750831270193,1434.909280393,0,fine_recursive
600,59.9053024831122,1717776626.52947,484337.337048046,4976874.16854747,-1.33756629575711,484337.210720442,4976873.97825333,-1.32555669306825,484337.193922172,4976874.14235342,-1.32675793020488,1,accepted,0.145503071957379,0.619273729577502,0.807974600471154,3,6,35,1223.262,1219.206,4.018,0.038,0,12.3651786737529,-0.0702939719967025,85.0961399778158,11.5965516118559,7.34598017929688,1706.45742297843,0,fine_recursive
615,61.3994020232331,1717776627.89899,484341.581879079,4976857.28466684,-1.38070277008684,484341.357909765,4976857.25329046,-1.35806843417784,484341.340112139,4976857.23858924,-1.35533844939594,1,accepted,0.246118668143328,1.45326852580492,0.888590847484838,3,6,81,2407.227,2402.555,4.633,0.039,0,18.8734643714026,1.07331760094935,59.6293960077481,7.93575819768575,-28.3704778395989,1236.49285234834,0,fine_recursive
805,80.3991925637517,1717776645.31585,484321.870846659,4976646.23298506,-1.2071132955039,484322.446522731,4976646.02592335,-1.22620586015249,484322.488595505,4976645.97808777,-1.23107228689332,1,accepted,0.668271099512494,-1.37274908800401,0.48829547649845,3,7,38,2349.082,2344.133,4.911,0.038,0,9.35088282291362,4.37347348814754,28.4006251114661,12.68498768445,-12.1578163279663,1645.0064184528,0,fine_recursive
806,80.4993896516082,1717776645.40743,484322.117161437,4976645.53666971,-1.18386460531432,484322.773532305,4976645.27514369,-1.20772444582,484322.860272165,4976645.20085576,-1.20647765334531,1,accepted,0.815465854271627,-1.29563221410246,0.599527277152315,3,5,37,2346.995,2342.769,4.188,0.038,0,10.1084900271363,4.24767192695987,0.90472700554586,13.6098093461131,-25.4703795642358,1450.81230085701,0,fine_recursive
807,80.5715006113104,1717776645.49905,484322.303040095,4976645.0420795,-1.16712230080167,484323.075116551,4976644.70086382,-1.18976780524868,484323.084996589,4976644.64879079,-1.18694995737092,1,accepted,0.875289651039768,-1.13604103905287,0.543698264790803,3,7,51,2280.966,2275.87,5.054,0.042,0,9.02556191119002,4.06918393150763,2.99885166830777,12.9918745805984,-27.7885133697409,1294.91619246774,0,fine_recursive
808,80.6994285309097,1717776645.59122,484322.68610879,4976644.15533695,-1.13783914222597,484323.48832102,4976643.77533752,-1.15754737249576,484323.473298825,4976643.75065218,-1.15979898420933,1,accepted,0.885120284830045,-1.25820626442031,0.516861923227712,3,9,54,2303.974,2298.435,5.495,0.044,0,7.92525860412717,3.89537496558757,6.88219140022048,12.7355703601845,-39.8852042574145,1095.39170138633,0,fine_recursive
809,80.798897337057,1717776645.68225,484323.003277323,4976643.47530754,-1.11547963402046,484323.801469196,4976643.08234023,-1.13717964012583,484323.865761525,4976642.93776844,-1.15257397942845,1,accepted,1.01628110055701,-2.12534943567835,0.481758040322832,3,12,60,2500.323,2493.454,6.83,0.039,0,7.52836666006198,3.58408743130062,11.1375058931091,11.9927536432993,-44.4543236148572,938.976475977311,0,fine_recursive
810,80.8998163451291,1717776645.77466,484323.339085181,4976642.79514164,-1.09256263463255,484324.202496318,4976642.264669,-1.12969931359272,484324.048982636,4976642.20368841,-1.15466945859162,1,accepted,0.923997466375668,-3.55845889181704,0.310764967017301,3,26,68,2413.65,2401.668,11.941,0.041,0,6.2524179027383,3.18547119534018,15.8744580028016,10.6390912446902,-29.7506611583985,929.00205212919,0,fine_recursive
811,80.9989671935347,1717776645.8659,484323.6833056,4976642.13573989,-1.07007998302637,484324.377596226,4976641.54220459,-1.13223886816663,484324.376933984,4976641.5511012,-1.1356370191984,1,accepted,0.907150892143213,-3.75614149004394,0.25427867796917,3,13,79,2712.37,2704.746,7.583,0.041,0,6.45668358120595,2.85604363680317,18.4193986997719,10.067560520651,-24.5820673196311,937.941634052556,0,fine_recursive
812,81.0993556263967,1717776645.95734,484324.04568233,4976641.47613436,-1.04763320872701,484324.722107143,4976640.88712134,-1.11315324227509,484324.727823148,4976640.90014555,-1.11461967848895,1,accepted,0.892792923068918,-3.83804200184007,0.233057786028697,3,12,79,2717.57,2710.568,6.962,0.04,0,6.38653770269711,2.70930804203451,16.3886091249075,9.77197315742333,-23.1235542437174,926.701046280383,0,fine_recursive
813,81.199400279316,1717776646.04899,484324.422081748,4976640.8262923,-1.02524040244878,484325.085692263,4976640.24581798,-1.09212764000331,484325.17937415,4976640.21590083,-1.09355510177847,1,accepted,0.97266105530541,-3.91414395029653,0.264971765018074,3,15,81,2761.514,2753.244,8.228,0.042,0,6.99829453715441,2.51809978004962,14.2181203523727,9.68161715668724,-25.1150247293678,1001.58011914141,0,fine_recursive
814,81.2993188875502,1717776646.14101,484324.812930405,4976640.18629848,-1.00291683043731,484325.551622136,4976639.57037304,-1.07112385402929,484325.551622136,4976639.57037304,-1.07112385402929,0,insufficientOverlap,0.961784601717155,-3.90797458496954,0.146865742363999,3,39,79,2656.694,2640.057,16.597,0.04,0,7.03057031985861,0.845672707862224,62.2104662961008,6.12192327395032,-3.81464369701761,1102.00669145864,0,fine_recursive
815,81.3993734693835,1717776646.23264,484325.219656828,4976639.55292464,-0.9806034405899,484325.938346804,4976638.9326505,-1.0487848327749,484325.938346804,4976638.9326505,-1.0487848327749,0,inconsistentClasses,0.94934466735984,-3.90650601352666,0.27033510707913,3,32,91,2500.926,2486.483,14.382,0.061,0,8.25462084601594,0.925002937813431,60.2135726277979,5.59979283014433,11.9079247081727,1242.29726999947,0,fine_recursive
816,81.4997665714795,1717776646.32482,484325.64157004,4976638.9251028,-0.957880898530569,484326.340786824,4976638.30108141,-1.02622763854517,484326.340786824,4976638.30108141,-1.02622763854517,0,inconsistentClasses,0.937180246018832,-3.91597974631459,0.36908976190094,3,20,89,2484.211,2474.351,9.813,0.047,0,9.10025134619076,0.420850439539138,69.9194793880595,5.71714263745787,4.6268328402063,1271.28917668638,0,fine_recursive
817,81.5666478426427,1717776646.41593,484325.931626634,4976638.51104811,-0.942905566868331,484326.617421253,4976637.88336261,-1.01110924964663,484325.738664928,4976638.67455431,-1.01782594725267,1,accepted,0.252919939665723,-4.29262159553734,0.392335363042394,3,18,88,2619.883,2610.601,9.24,0.042,0,9.52015764165718,0.333254373404863,64.3486554545429,5.90508489675841,1.6968563404936,1227.63415381915,0,fine_recursive
820,81.8989208689296,1717776646.69069,484327.443659168,4976636.53249132,-0.868168956392734,484327.22287316,4976636.82155226,-0.930596085197979,484327.146326833,4976636.90986757,-0.924423657147513,1,accepted,0.480436621877388,-3.22315693102028,0.297671499123253,3,19,93,2587.187,2577.756,9.391,0.04,0,8.62328327100018,1.15461770236023,35.3482213556507,5.92104150384213,13.0016967171717,1119.19159949234,0,fine_recursive
830,82.8988254425692,1717776647.6071,484332.928437865,4976631.18471863,-0.639398132149512,484332.807885014,4976631.56839356,-0.654835683566707,484332.807885014,4976631.56839356,-0.654835683566707,0,notConverged,0.402168428944346,-0.884506542221466,0.24902056475791,3,40,92,2607.266,2589.774,17.45,0.042,0,7.34143818072052,1.2055672643663,34.8885899375775,8.06880150849524,45.4462669924679,1546.38840739625,0,fine_recursive
832,83.0989883759986,1717776647.79034,484334.172763644,4976630.23561773,-0.594165993692104,484334.100880949,4976630.59540737,-0.616255916066979,484334.019253444,4976630.58144858,-0.62015261484318,1,accepted,0.37837065712057,-1.48892371576205,0.236607656168975,3,24,102,2720.665,2708.839,11.783,0.043,0,8.1290137522643,0.894205101083684,30.7604514187144,8.75139886420233,44.5215344564249,1515.25607340361,0,fine_recursive
842,84.0996605421504,1717776648.70796,484341.050185355,4976626.27066356,-0.380283940092553,484341.004185708,4976626.33819978,-0.395376801838002,484340.936296413,4976626.32975657,-0.397444318823931,1,accepted,0.128306956056262,-0.98321727615403,0.560418575599554,3,5,82,1871.305,1866.894,4.367,0.044,0,10.9011859684942,-0.0378253982457737,35.9444193360532,12.589170013025,34.5248294601763,1283.47727813228,0,fine_recursive
855,85.399406406021,1717776649.8992,484351.546517318,4976623.17733577,-0.184775899459737,484351.745583347,4976623.20254875,-0.187721085622714,484351.627208176,4976623.30107224,-0.186979107195657,1,accepted,0.147721793995053,-0.12623450465875,0.693041766625406,3,6,128,2004.438,1999.124,5.273,0.041,0,13.3088179515441,1.23406259344063,24.7648920071443,13.3840621080999,138.05934079652,3897.47788854326,0,fine_recursive
943,94.1987940886419,1717776657.96548,484444.355823193,4976627.06621538,0.102108992755031,484444.301256958,4976627.06357737,0.11038312536075,484444.275502622,4976627.07011591,0.110306602776999,1,accepted,0.0804152236918431,0.469688456352902,0.763230854302112,3,5,71,2119.772,2115.497,4.236,0.039,0,12.5034202451574,0.025590213644424,16.6628059178161,17.1117217033505,39.5037908842116,7424.4609336858,0,fine_recursive
959,95.7989984956552,1717776659.43307,484463.165328702,4976629.3906253,0.105522648670673,484463.165883745,4976629.15287333,0.125345406122781,484463.144899783,4976629.14562025,0.127415715475411,1,accepted,0.245855266246702,1.25438032850945,0.616794782524512,3,4,47,810.433,806.363,4.032,0.038,0,6.49604275011363,-0.626224520252684,11.8976394977796,12.575597698928,104.350823646332,998.06962166015,0,fine_recursive
966,96.4987656687502,1717776660.07424,484471.480567774,4976630.46542362,0.108702882682351,484471.365547557,4976630.43307986,0.113361633539522,484471.372732924,4976630.46346681,0.110202281967225,1,accepted,0.107852602854431,0.0859092508282195,0.721521096239849,3,6,64,975.159,970.182,4.939,0.038,0,11.4132727427613,-0.345602831397056,36.5798655446144,17.4670692885035,56.3618643731022,635.421180046498,0,fine_recursive
1047,104.571205321983,1717776667.49899,484564.271862073,4976642.61873271,0.126309269507398,484564.394778657,4976642.58437591,0.135758460284273,484564.433350037,4976642.59303683,0.136890383797227,1,accepted,0.16351954190389,0.606253191352788,0.758579566073849,3,6,99,2315.823,2310.499,5.285,0.039,0,11.4035977710622,-0.535980524185567,49.0834212284361,17.6541455283819,14.4083282686606,3112.13477009945,0,fine_recursive
1137,113.574456738946,1717776675.74966,484669.871778365,4976659.07822864,0.125977573173384,484669.80934186,4976659.02373836,0.130037013288446,484669.892636194,4976659.03675188,0.131774160578168,1,accepted,0.0464259653163464,0.332119993872838,0.860496566898858,3,5,109,3980.114,3975.749,4.328,0.037,0,10.7370065284413,-0.236248679514013,14.4060476334659,15.5780407522882,7.44814575883548,2293.49139019432,0,fine_recursive
28,2.69885396896601,1717776574.09055,484200.464803196,4977499.98371771,-2.13052669075943,484200.429305805,4977500.02782675,-2.13405564097929,484200.41701568,4977500.01746299,-2.13313272147974,1,accepted,0.0585012010907134,-0.149314561555606,0.676213538443617,3,4,144,64.685,59.969,4.675,0.041,0,10.1780397337991,-0.958583292231234,97.2469725393671,11.7349931041727,-32.9341701906329,3149.48539867862,0,coarse_binary_quality_recursive
91,8.99964395989581,1717776579.86573,484193.853855045,4977485.48400909,-1.63795998492176,484194.635366504,4977485.35690633,-1.6441353180713,484194.656247174,4977485.41124963,-1.64814499043694,1,accepted,0.805684223457381,-0.583557830337305,0.440362045706187,3,8,198,75.849,67.228,8.579,0.042,0,7.75216090160587,0.635908618807291,7.3044332721016,8.99545331425876,20.327860981855,1422.62055632645,0,coarse_binary_quality_recursive
92,9.09923735126782,1717776579.95723,484193.803258615,4977484.98879146,-1.60809194331152,484194.657458651,4977484.91392265,-1.61860861638119,484194.646161776,4977484.92353761,-1.62095032030028,1,accepted,0.84542522163771,-0.736730732844124,0.395406951607922,3,10,192,81.78,72.159,9.583,0.038,0,7.47064328332706,0.555176008242018,6.24900764577528,8.55803758630098,29.3121845909183,1582.36446234823,0,coarse_binary_quality_recursive
94,9.29898263593232,1717776580.14045,484193.755599737,4977483.96797225,-1.54852504049152,484194.611895347,4977483.9114675,-1.56729824953157,484194.585884283,4977483.93385531,-1.56785488447424,1,accepted,0.830985193953734,-1.10751847885612,0.259120618607881,3,13,141,76.495,66.921,9.536,0.038,0,6.84371017292743,0.489394322485573,12.1691327888122,7.09654509010297,18.5296668509811,1370.56382352387,0,coarse_binary_quality_recursive
