frame,model,zRequested,accepted,reason,errorM,seedErrorM,rank,zEnabled,anchors,offsetM,offsetScatterM,seconds
91,xy,0,1,accepted,0.175859166694315,0.242963342733605,3,0,0,NaN,NaN,0.011273
91,conditional,1,1,accepted,0.175859166694315,0.242963342733605,3,0,0,NaN,NaN,0.011811
91,marginal,1,1,accepted,0.175859166694315,0.242963342733605,3,0,0,NaN,NaN,0.008413
260,xy,0,1,accepted,0.134993292325049,0.153276708767639,3,0,0,NaN,NaN,0.006493
260,conditional,1,1,accepted,0.105785872222208,0.153276708767639,3,1,10,217.792992283368,0.259862169382169,0.01146
260,marginal,1,1,accepted,0.0146608903107865,0.153276708767639,3,1,10,217.792992283368,0.259862169382169,0.013152
615,xy,0,1,accepted,0.144178720834418,0.157995869806567,3,0,0,NaN,NaN,0.006002
615,conditional,1,1,accepted,0.144178720834418,0.157995869806567,3,1,9,224.154074636644,0.561246594357015,0.009308
615,marginal,1,1,accepted,0.144178720834418,0.157995869806567,3,1,9,224.154074636644,0.561246594357015,0.008942
840,xy,0,1,accepted,0.333499986340148,0.34883400089199,3,0,0,NaN,NaN,0.006358
840,conditional,1,1,accepted,0.333499986340148,0.34883400089199,3,1,4,224.540949199274,0.127305624928461,0.010087
840,marginal,1,1,accepted,0.333499986340148,0.34883400089199,3,1,4,224.540949199274,0.127305624928461,0.009848
950,xy,0,1,accepted,0.1571957923351,0.174285746446361,3,0,0,NaN,NaN,0.006676
950,conditional,1,1,accepted,0.1571957923351,0.174285746446361,3,1,6,229.212061307538,0.279254635149677,0.01093
950,marginal,1,1,accepted,0.1571957923351,0.174285746446361,3,1,6,229.212061307538,0.279254635149677,0.009984
951,xy,0,1,accepted,0.179744148919977,0.180295980841862,3,0,0,NaN,NaN,0.006742
951,conditional,1,1,accepted,0.179744148919977,0.180295980841862,3,0,0,NaN,NaN,0.007832
951,marginal,1,1,accepted,0.179744148919977,0.180295980841862,3,0,0,NaN,NaN,0.00809
952,xy,0,1,accepted,0.197450411717862,0.202852344538322,3,0,0,NaN,NaN,0.006379
952,conditional,1,1,accepted,0.197450411717862,0.202852344538322,3,1,4,229.802646156396,0.384258342448,0.010325
952,marginal,1,1,accepted,0.197450411717862,0.202852344538322,3,1,4,229.802646156396,0.384258342448,0.010805
953,xy,0,1,accepted,0.239294242661551,0.221742287412083,3,0,0,NaN,NaN,0.007131
953,conditional,1,1,accepted,0.239294242661551,0.221742287412083,3,1,5,229.271116728516,0.179167511141593,0.011133
953,marginal,1,1,accepted,0.239294242661551,0.221742287412083,3,1,5,229.271116728516,0.179167511141593,0.011752
954,xy,0,1,accepted,0.293864214218806,0.265907716203279,3,0,0,NaN,NaN,0.006893
954,conditional,1,1,accepted,0.107068232739764,0.265907716203279,3,1,4,229.79036355474,0.14316587018877,0.01098
954,marginal,1,1,accepted,0.107068232739764,0.265907716203279,3,1,4,229.79036355474,0.14316587018877,0.011015
955,xy,0,1,accepted,0.304522303383583,0.322067323910349,3,0,0,NaN,NaN,0.006725
955,conditional,1,1,accepted,0.304522303383583,0.322067323910349,3,0,0,NaN,NaN,0.007397
955,marginal,1,1,accepted,0.304522303383583,0.322067323910349,3,0,0,NaN,NaN,0.007565
956,xy,0,1,accepted,0.32430736449481,0.33274951714811,3,0,0,NaN,NaN,0.006585
956,conditional,1,1,accepted,0.128763008553704,0.33274951714811,3,1,4,229.740309575421,0.205275464978606,0.011887
956,marginal,1,1,accepted,0.128763064440107,0.33274951714811,3,1,4,229.740309575421,0.205275464978606,0.010957
957,xy,0,1,accepted,0.345709457186021,0.352118926032124,3,0,0,NaN,NaN,0.006467
957,conditional,1,1,accepted,0.143864080399099,0.352118926032124,3,1,4,230.014122753421,0.454011331121685,0.01013
957,marginal,1,1,accepted,0.143864080399099,0.352118926032124,3,1,4,230.014122753421,0.454011331121685,0.009872
958,xy,0,1,accepted,0.386346402929595,0.374874434669726,3,0,0,NaN,NaN,0.00616
958,conditional,1,1,accepted,0.386346402929595,0.374874434669726,3,1,6,229.812012462392,0.521670970126971,0.009572
958,marginal,1,1,accepted,0.386346402929595,0.374874434669726,3,1,6,229.812012462392,0.521670970126971,0.009084
959,xy,0,1,accepted,0.35755372916288,0.41513148886675,3,0,0,NaN,NaN,0.007317
959,conditional,1,1,accepted,0.122757449521489,0.41513148886675,3,1,4,229.943116127471,0.136469575104065,0.010663
959,marginal,1,1,accepted,0.122758458038753,0.41513148886675,3,1,4,229.943116127471,0.136469575104065,0.00979
