frame,model,zRequested,class,source,target,referenceDistanceM,heightResidualM,heightCost,planarStandardizedSquaredResidual,robustWeight,accepted
91,xy,0,pole,28,902,0.153856842413825,NaN,0,0.141627138761827,0.0454919190951248,1
91,xy,0,pole,29,916,0.201364688879971,NaN,0,0.0421689298335306,0.0293696565093278,1
91,xy,0,pole,30,903,0.153820625650287,NaN,0,0.0257643081069728,0.0478575546979756,1
91,xy,0,trafficSign,31,1166,0.513599389790771,NaN,0,1.37489767797691,0.00334018972353736,1
91,xy,0,trafficSign,32,1145,0.162175199888419,NaN,0,0.185755610700922,0.0137774531544194,1
91,xy,0,trafficSign,33,1164,2.24636700533749,NaN,0,1.97498844788749,0.00408721699630369,1
91,xy,0,trafficSign,34,1164,1.97719744422554,NaN,0,1.22709322920338,0.00315899811332848,1
91,xy,0,trafficSign,35,1176,0.45177163830544,NaN,0,1.02627848198256,0.00880580489529809,1
91,xy,0,trafficSign,36,1176,0.233594982530261,NaN,0,0.0352188323035317,0.0276312778081027,1
91,xy,0,trafficSign,37,1174,0.323458026506354,NaN,0,0.289830463569607,0.00693929529997745,1
91,xy,0,trafficSign,38,1153,0.530031651017468,NaN,0,1.22070309073099,0.00439321600976138,1
91,xy,0,trafficSign,39,1153,0.118697591480032,NaN,0,0.451004579705559,0.0238880458191209,1
91,xy,0,trafficSign,40,1154,0.0331867699937014,NaN,0,0.286209240567651,0.0207244957906813,1
91,xy,0,trafficSign,41,1144,0.278292738677024,NaN,0,0.106022394345173,0.0125599413360951,1
91,xy,0,trafficSign,42,1143,0.181032687997021,NaN,0,0.0439619445143592,0.00481525495627283,1
91,xy,0,trafficSign,43,1158,0.585559123039963,NaN,0,2.18771704659095,0.0176387643527748,1
91,xy,0,trafficSign,44,1152,0.298567780956571,NaN,0,0.234299746341566,0.0169990964356711,1
91,xy,0,trafficSign,45,1156,0.500522393637361,NaN,0,0.335555497157184,0.00274341088996988,1
91,xy,0,trafficSign,46,1156,0.0803915325404817,NaN,0,0.000993103560354064,0.00289487186879576,1
91,xy,0,trafficSign,47,1156,0.300464511477649,NaN,0,0.128712959794012,0.0179432436229197,1
91,xy,0,pole,82,917,0.167981752775739,NaN,0,0.0108324633263244,0.035819996924347,1
91,xy,0,pole,83,907,0.190409508472098,NaN,0,0.0976838995085367,0.0256551492883231,1
91,xy,0,pole,84,907,0.438876948032823,NaN,0,1.35177853343394,0.0145364576456788,1
91,xy,0,trafficSign,88,1146,0.182954558187327,NaN,0,0.0990799763181793,0.00313835998058115,1
91,xy,0,trafficSign,89,1143,0.410420297156934,NaN,0,0.711845917869059,0.0043020293865352,1
91,xy,0,trafficSign,90,1152,0.147950246273562,NaN,0,0.884120246545215,0.00652888484693304,1
91,xy,0,trafficSign,91,1152,0.175892271294148,NaN,0,0.240807253386897,0.0204105683956618,1
91,xy,0,pole,97,916,0.0652530558282762,NaN,0,0.274832042646555,0.0260723271853277,1
91,conditional,1,pole,28,902,0.153856842413825,NaN,0,0.141627138761827,0.0454919190951248,1
91,conditional,1,pole,29,916,0.201364688879971,NaN,0,0.0421689298335306,0.0293696565093278,1
91,conditional,1,pole,30,903,0.153820625650287,NaN,0,0.0257643081069728,0.0478575546979756,1
