time,positionErrorM,Vx,Ax,Vy,Ay,measuredLongitudinalSpeed,estimatedSpeed,invariantVyDerivative,invariantCorrectionNorm
39,0.233599549481948,1.68406781519109,0.0466821548788752,-13.9178142284954,0.503048276023985,14.1694450378418,14.0193308436983,0.0241804114735968,0.277242822052293
40,0.207289271320268,1.92289133910941,0.24782297168204,-13.9675070110647,-0.105880533829419,13.9833335876465,14.0992469020925,-0.0186008284687968,0.12592496173024
41,0.223207432120196,2.0293448649005,0.175462844076478,-13.5742948851284,0.156122701609938,13.6694450378418,13.7251492599942,-0.00871995718930277,0.0791247435204399
42,0.0684293426965409,2.385494967728,0.429921078253588,-13.4719490647036,0.149574755811715,13.4194450378418,13.6815203045211,-0.040585608157604,0.120674269309234
43,0.120947087928273,2.87004748028075,0.54939176248987,-12.7994429905395,1.04261539324194,13.3888893127441,13.117275380472,0.0411396791947248,0.490626868761052
44,1.03861318785236,2.75617920830167,-0.224816303157584,-11.5179535008982,0.770140919201875,13.3722229003906,11.8431320467656,0.220323330174927,0.472728415104847
45,0.70223070691634,1.84292353515857,-0.808397563949174,-15.3594702129435,-4.77416945702859,13.216667175293,15.4696377584848,-0.369310863620885,2.2023999952054
46,5.71418338592961,1.15107765473372,0.187114891994516,-21.4792331213231,-5.01772643560911,12.8555555343628,21.5100542827621,-1.69952644062857,3.88942899332145
47,3.4949106604412,10.5650244096837,7.33842755240691,1.18511801780656,27.8773765351202,12.4805555343628,10.6312861636465,0.244228836053095,8.53880527679716
48,20.2308672721128,-3.562240261405,-23.4820798115586,16.7873514632753,7.31181090486591,12.2805557250977,17.1611399630533,-0.821100300011787,11.8296519957238
49,21.2273038977219,-47.3591418722784,-91.1354036299048,-97.2865709776851,-172.286212103717,12.2000007629395,108.201502815232,-66.0498582303158,603.752460474061
49.4,97.1101507645979,-293.6428489008,-1247.49206930114,-402.467374577042,-1529.59564563214,12.1083335876465,498.202880671634,-1417.48284787302,27885.5534260497
