caseName,time,positionErrorM,yawErrorDeg,speedMps,accelerationMps2
baseline,39,0.233599549481948,-0.322346059808964,14.0193308436983,0.505209651129943
baseline,39.1,0.214789121401665,-0.286651150371775,14.170480837757,0.148865215702586
baseline,39.2,0.218889084685405,-0.288068753384745,14.162942252332,0.195118411926857
baseline,39.3,0.252240286739611,-0.308377759645831,13.9438869718027,0.490011293224815
baseline,39.4,0.247950476382544,-0.141459522730075,13.9690944735381,0.423166255561109
baseline,39.5,0.212288803600778,0.0108683666729273,14.200820927173,0.366105540633414
baseline,39.6,0.236293792099675,0.14245876395775,13.9992651536291,0.353343459351646
baseline,39.7,0.20519395802705,0.21742348357806,14.1857926451808,0.339938210850949
baseline,39.8,0.227658151488946,0.212836931000903,13.9784367989201,0.321951024482592
baseline,39.9,0.230065313839068,0.227739400104087,13.9398356822038,0.352519168976495
baseline,40,0.207289271320268,0.312718975706879,14.0992469020925,0.269493808346908
baseline,40.1,0.235578331509879,0.319768610087006,13.8838506127515,0.391614737473509
baseline,40.2,0.241320791046179,0.323142242426483,13.850663751095,0.400292718091392
baseline,40.3,0.248161502076368,0.322798072841827,13.8135143326524,0.403126968796748
baseline,40.4,0.251737750764433,0.318660932372849,13.7865138998056,0.386081098077429
baseline,40.5,0.257103625894596,0.0975676365705436,13.7493584959043,0.408272081295028
baseline,40.6,0.258185935950317,0.112412048947071,13.7212903752822,0.399014397952925
baseline,40.7,0.259571866187342,0.0440748952229527,13.6996112041965,0.386393185191227
baseline,40.8,0.24908802956625,0.117367127160397,13.7109279562757,0.337037729973249
baseline,40.9,0.239751114611767,0.16029667437235,13.7118274888518,0.284975526723283
baseline,41,0.223207432120196,0.150665381739256,13.7251492599942,0.234864870956455
baseline,41.1,0.210739716319684,0.386170460880181,13.7355559030075,0.196162492262294
baseline,41.2,0.196891930421888,0.123340437691708,13.7336416638834,0.211384048456963
baseline,41.3,0.182257654084354,0.0109112622303862,13.7251595876748,0.248413250093319
baseline,41.4,0.16560224490959,-0.055454807076295,13.7177496360173,0.276165362899135
baseline,41.5,0.151284019853137,0.00522649365077791,13.6917009529042,0.329779038656647
baseline,41.6,0.135892069827966,0.0199107348406324,13.6600986459835,0.387758192301878
baseline,41.7,0.125846014958383,0.0284364000331807,13.6181789472405,0.458433983294076
baseline,41.8,0.0979206356367681,0.126162645548743,13.6508054657647,0.451674288114718
baseline,41.9,0.0759799372572074,0.136042071772183,13.6726330388432,0.467497021918966
baseline,42,0.0684293426965409,0.364364119055331,13.6815203045211,0.455197474842361
baseline,42.1,0.0754050550316179,0.477058778304469,13.6931617989332,0.445808603539664
baseline,42.2,0.093811876407937,0.528608001159577,13.7014307049782,0.435613807597423
baseline,42.3,0.109824379073417,0.0788794121464433,13.6873046718242,0.490882527305936
baseline,42.4,0.123899624713639,0.181503087674283,13.6462822724801,0.531369573670722
baseline,42.5,0.136488391877829,-0.104338682934258,13.6051363611437,0.612604519911373
baseline,42.6,0.138355163790612,0.2346802450571,13.5197386035785,0.683412961897559
baseline,42.7,0.137252155164202,0.150337057250849,13.4400423999926,0.775525240556633
baseline,42.8,0.141471100262197,0.195200495782716,13.3880159072011,0.808405264362868
baseline,42.9,0.135050723929124,-0.243963732733497,13.2894017377085,0.949321325915694
baseline,43,0.120947087928273,-0.267346602721776,13.117275380472,1.17850675302128
baseline,43.1,0.129677726975132,-0.213171573959787,12.9217872444555,1.40450475588963
baseline,43.2,0.172348599496274,-0.0883419347575014,12.7299806430693,1.55671006897033
baseline,43.3,0.24266030663727,0.0552860923243095,12.5434921139134,1.65393461496909
baseline,43.4,0.334649522899931,0.0372940484323263,12.3519951396048,1.73103302079035
baseline,43.5,0.445424401948746,0.0110136783149477,12.1676378956945,1.77551756002712
baseline,43.6,0.569396234179708,0.099487312355508,11.9910020020907,1.77106671532569
baseline,43.7,0.701609288835048,0.0775177210114277,11.8570265593268,1.67948135325816
baseline,43.8,0.815382255733778,0.156163138167223,11.8366504189773,1.3675140657543
baseline,43.9,0.92335892594814,0.344300203542075,11.8415780228495,1.05837845509573
baseline,44,1.03861318785236,0.231634089938818,11.8431320467656,0.802283868462124
baseline,44.1,1.13889359623526,0.0834839797057765,11.9086789365324,0.52106618139544
baseline,44.2,1.22203450226013,0.132610733148941,12.0303789027607,0.462267477608007
baseline,44.3,1.27727437417133,0.0651786446561835,12.2346788326935,0.773035243360247
baseline,44.4,1.30739569476085,0.0804073247325097,12.497612618453,1.26796982861797
baseline,44.5,1.3006711341051,0.0648521508196599,12.8388099794185,1.84441585918792
baseline,44.6,1.25468092988486,0.0865521896317174,13.2474774070356,2.45286323290515
baseline,44.7,1.16426506267645,0.158103130732803,13.734923295552,3.10312186366745
baseline,44.8,1.03949361037451,0.0521759601965674,14.2470962632386,3.66439461575309
baseline,44.9,0.874987219048279,0.0900355393329731,14.8389561283011,4.27916029149442
baseline,45,0.70223070691634,-0.0612972715662775,15.4696377584848,4.84212769615007
baseline,45.1,0.59552887522758,-0.123430361595486,16.1314955658867,5.34029819872254
baseline,45.2,0.683340045237127,-0.152428104183914,16.8048786095795,5.74477436043316
baseline,45.3,0.978805856885241,-0.180263165530809,17.4639771640784,6.01110392796908
baseline,45.4,1.43982316617205,-0.325276518371295,18.1433299891687,6.30068382110385
baseline,45.5,2.00932664191068,-0.478817782227488,18.8671785961212,6.61727854239237
baseline,45.6,2.68024364414544,-0.61496520195913,19.640290394969,6.96547534663411
baseline,45.7,3.44837691891071,-0.764023789542976,20.4678494845934,7.34779838147101
baseline,45.8,4.11908748401796,-0.358842873807379,20.80144270682,6.48222067330113
baseline,45.9,5.02196887456937,-0.563759088486766,21.6154081296268,6.83404611129386
baseline,46,5.71418338592961,-0.299369038351922,21.5100542827621,5.02121405293746
baseline,46.1,6.34185961623236,-0.167229691214694,21.0779782088309,2.99150586213853
baseline,46.2,6.90541323437985,-0.212022729489915,20.4628217220994,2.29029448176681
baseline,46.3,7.33941932106955,-0.164862311924966,19.4779524277082,4.16150079286146
baseline,46.4,7.57631861435627,-0.152324995641735,17.9687574451341,7.39435061718016
baseline,46.5,7.5819699403191,-0.0764164581807805,16.0684521543768,11.2516490759291
baseline,46.6,7.33415183614622,0.126915621970541,13.9586760643644,15.3104947959908
baseline,46.7,6.80504440792976,0.116982156657565,11.9123709496502,19.3295376156111
baseline,46.8,5.94225185822691,0.592542759162579,10.396421276459,23.0275116454325
baseline,46.9,4.79140897097068,0.819846457425226,9.87620683710008,26.3418132666226
baseline,47,3.4949106604412,0.865822767717839,10.6312861636465,28.8270817361521
baseline,47.1,2.28110449523559,1.19043746431006,12.3022507111338,30.5652716078488
baseline,47.2,2.23466964934698,1.4666551323619,14.431205033326,31.7959457878722
baseline,47.3,3.85631046201767,1.71017056727561,16.5616926399102,32.0570716734461
baseline,47.4,6.10806466692031,1.67430884083035,18.4308545104991,31.6121050472114
baseline,47.5,8.58479516125491,1.8567850955441,19.8141186080006,30.534208650403
baseline,47.6,11.1486843402738,1.77774481564623,20.6341244712646,29.0006470669191
baseline,47.7,13.6829527077268,1.61866392498365,20.7338583355772,27.1270663015273
baseline,47.8,16.0863088817356,1.36680613074498,20.1961842645804,25.6984607623491
baseline,47.9,18.2890880729465,1.22117187200162,18.9215921536759,24.4810766406525
baseline,48,20.2308672721128,0.923441390208717,17.1611399630533,24.5941182193004
perfectPose,39,0.232583509253135,0.0208863830035304,14.0004106387159,0.542357116738577
perfectPose,39.1,0.212511858509395,0.0225582181351994,14.1468220309884,0.190655629193246
perfectPose,39.2,0.21747370941637,0.00140899269700003,14.1328857347855,0.219168672165385
perfectPose,39.3,0.25182432601383,-0.00566189519356982,13.9122761407219,0.52621234109482
perfectPose,39.4,0.250442859677574,0.0161724495835308,13.9333934632346,0.453999034662493
perfectPose,39.5,0.215420436322797,0.0187720514126772,14.1787385701923,0.352263007495861
perfectPose,39.6,0.240332296879611,0.0130226193557383,13.9831376500975,0.323585018787511
perfectPose,39.7,0.207585294789603,-0.00683814895077271,14.1912245163098,0.356202913802479
perfectPose,39.8,0.234825267839916,0.0146140277076688,13.987832970788,0.258181537747289
perfectPose,39.9,0.231913837259969,0.0269738983617161,13.978975077709,0.252976864819256
perfectPose,40,0.203082936916138,0.00926833646220891,14.1482587496861,0.309805131447692
perfectPose,40.1,0.228263680977291,-0.009861645230792,13.9338046885829,0.317003526340164
perfectPose,40.2,0.22764558786286,0.00274771715944328,13.9125275538993,0.325061862095308
perfectPose,40.3,0.227452381697245,0.00248089906079813,13.885867006827,0.341313593416783
perfectPose,40.4,0.224158654230329,0.00101617316935507,13.8651234461028,0.345219511487203
perfectPose,40.5,0.220277008193609,-0.00300606029993583,13.8406842551823,0.356839617119874
perfectPose,40.6,0.211679777558553,-0.014310933179635,13.8223669629425,0.358027735069482
perfectPose,40.7,0.204655323124762,-0.0372862255370421,13.8029247543,0.362729400013545
perfectPose,40.8,0.195581118721717,-0.0414861616117649,13.7817411578156,0.372515010951839
perfectPose,40.9,0.185691805188761,-0.0348689942148906,13.757652254156,0.383685638918269
perfectPose,41,0.172112944280594,-0.024860532712355,13.735795940986,0.391336410261879
perfectPose,41.1,0.165910376495303,0.0143837199139615,13.7011309816359,0.418043841298899
perfectPose,41.2,0.156494121277288,0.0418179502959941,13.6691451329877,0.436663992465224
perfectPose,41.3,0.14831054193868,0.0044860936276831,13.6306943979082,0.464133845074146
perfectPose,41.4,0.140428155657576,0.0121802332746087,13.5910402157809,0.493328054618944
perfectPose,41.5,0.134766921316773,0.00877853329701469,13.5432605922077,0.531851731415335
perfectPose,41.6,0.130053270688369,-0.00610236669203289,13.4931111776958,0.566618096350474
perfectPose,41.7,0.13188343831707,0.00235199242382957,13.4369912910317,0.606222828121984
perfectPose,41.8,0.137083024590971,-0.0455096738719696,13.3755249255633,0.648255512398949
perfectPose,41.9,0.150455760704965,-0.0409057063637924,13.3011498718887,0.709332495602579
perfectPose,42,0.166867569066195,-0.0121447786631592,13.230175617445,0.754535858599513
perfectPose,42.1,0.188931950238516,0.0181625842246987,13.1554434527777,0.79972820638968
perfectPose,42.2,0.217213619133804,0.0404693138225515,13.0804550745557,0.834479880830723
perfectPose,42.3,0.25101727017785,0.0388156057356533,13.007285989597,0.860138403966647
perfectPose,42.4,0.293515736158932,0.0369622273976068,12.9305289370876,0.887563899813984
perfectPose,42.5,0.341538364289031,-0.000893632379694522,12.856145251499,0.904386559651227
