variant,rmseAllCm,rmseCm,p95Cm,maxCm,fusedAbove30cm,headingRmseDeg
production,8.21556148642554,7.87541991450812,16.4868110337317,23.5787482376,0,0.385792310067414
lever_bias2_gain,7.06312512716781,6.67929338220227,12.3437335556053,19.3189468845724,0,0.388930011902387
lever_bias2_gain_height,6.84349439718648,6.442264148749,12.4401537418211,19.3996644324729,0,0.333898765879461
