time,fusedM,seedM,matchM,matchAccepted,oracleMatchM,oracleAccepted,fusedYawDeg,oracleYawDeg
0,0.640312423976002,0.640312423976002,0.640312423976002,0,0,0,1.99999999980355,0
0.0998559667310051,0.601131989688591,0.640342167749173,0.0922447121943671,1,0.0646423720439271,1,1.47006424604255,0.016555327508372
0.200121057709047,0.549212766474835,0.601317304944902,0.0926827080486827,1,0.0598053223516832,1,1.07992386587567,-0.00354490851052742
0.299872987759305,0.495733236547963,0.549793043160455,0.0688058544675959,1,0.0667120260416841,1,0.790208266002825,0.011228379172951
0.39948784948268,0.442606630723707,0.496754150500797,0.0714275781437904,1,0.0703727740373237,1,0.582109067801851,0.00743377116105563
0.499382309785561,0.395722874589488,0.44386749665442,0.0810395740505763,1,0.0810311554319443,1,0.437797923943338,0.0854271420628118
0.599357398516022,0.355481853478683,0.396882338001868,0.0838590375945043,1,0.0697382734815884,1,0.335525748397742,0.0799312868251713
0.699386846412172,0.320707557686885,0.356651284867139,0.0817951466652318,1,0.0817926740468067,1,0.262543721861452,0.0966199113306267
0.799663381425096,0.288323147503753,0.322028291891125,0.077414004653376,1,0.0774116048982711,1,0.207278146991128,0.0894981550381422
0.900221075567739,0.25867615816817,0.288497614301228,0.0687821727693763,1,0.0571769857624884,1,0.166631236848809,0.015157358170007
1.00122898844631,0.233346771602924,0.258362472009261,0.0501066565914845,1,0.0506103100753861,1,0.139676579663834,0.0261877232031592
1.09968202053745,0.211391538107901,0.234035870713441,0.0334290663063816,1,0.0366204572641493,1,0.118358429156099,0.0133233046496938
1.19983423171688,0.192237796411432,0.214488818774631,0.0292343081287666,1,0.0366562974782808,1,0.101315267693092,0.0137097208335175
1.30036955797316,0.180035792894855,0.196501093458819,0.0307950552053958,1,0.0410054003730631,1,0.0813432860255142,-0.00148051707033127
1.40021434076099,0.17031767642666,0.183922982249247,0.010341783845729,1,0.0238164838271,1,0.0778057472817981,0.0061728503047581
1.50082093214358,0.163183534664378,0.174918891252498,0.00421392480262205,1,0.00564254994068669,1,0.0725007593081271,0.0650627448354367
1.59970233526769,0.158064325928912,0.168175130213322,0.0250750155104383,1,0.0124831346660904,1,0.072215490344564,0.0724094264388784
1.69951356622597,0.153716955504097,0.162699612012211,0.0154309926959914,1,0.0154145625657048,1,0.0723171388853801,0.0755945249815701
1.79962520309991,0.150416147303426,0.159265948077473,0.00433593442672625,1,0.00433958225153447,1,0.0598587477206149,0.036234973553709
1.89961953861631,0.147958135442772,0.155899168566604,0.0083544652674355,1,0.00834588398666032,1,0.0475837196381871,0.029858488013442
1.99971192870431,0.145543848092888,0.153597900235147,0.00715858706372339,1,0.00715095121455189,1,0.0332930237217893,0.016163125404098
2.09959052341338,0.14428638019521,0.150418451610804,0.0131729978121821,1,0.0131644712177101,1,0.0293074557672071,0.0279088847509215
2.20015810104069,0.142770845903716,0.149919697098561,0.0220190563970468,1,0.0220134927436571,1,0.0285787723985428,0.0334882435297274
2.30030302965247,0.142317600551442,0.148318087874049,0.0259832093285348,1,0.0259719717219595,1,0.0216967696696664,0.0249312965940067
2.39968927076991,0.142539285841583,0.147004930146337,0.0263942981948803,1,0.0263904114431933,1,0.00906859153518623,-0.00470319298956553
2.50014813006584,0.142190201644689,0.146182924979327,0.0265699570509408,1,0.0187239270700716,1,-0.0222001771832263,-0.00784596443901323
2.59939028038044,0.145000517672797,0.148810361791831,0.0388134461291556,1,0.0388119853835534,1,-0.0376063278306836,-0.0627622663272591
2.69970764979056,0.149497394440271,0.152103605863887,0.0436733432752317,1,0.031384939749408,1,-0.0196566984209666,0.0210969641030747
