population,samples,rawRmseMps,leverArmOnlyRmseMps,leverArmAndOffsetRmseMps,locallyFittedLeverArmM
12-11-24 fit (1-40 s),3901,0.246968124425955,0.0538014805901093,0.0536486390710002,2.35979889445838
12-11-24 held out (>40 s),3692,0.0945084126635568,0.0591600266699564,0.0618085622270237,1.66130653674638
12-09-31 evaluation drive,11403,0.274666919295065,0.25385156386869,0.257571801620782,2.32455499064877
