variant,usesReference,rmseCm,medianCm,p95Cm,maxCm,fusedAbove30cm,headingRmseDeg,seedRmseCm,acceptedMatches,matchRmseCm,matchAbove30cm
baseline,0,24.0885810024525,15.1274084076204,51.8859427353965,75.9301362969893,211,0.479075841831948,25.2808634253229,1148,16.8382757220355,73
gain,0,19.3847814185018,12.3931295233282,39.2504178456203,71.9087290108235,131,0.48302192008489,20.4620607075585,1148,16.8490290885626,73
lever,0,18.8657495068487,13.2934171042843,40.4296160249568,72.5664707728221,100,0.502127766952145,19.3153615314895,1148,16.8286980104906,68
lever_bias2,0,18.6616457415077,13.3310212713793,39.929858824106,72.5664707694465,94,0.502141408729823,19.0845566203258,1148,16.828329641989,68
lever_gain,0,17.4154065287736,11.0543321752546,37.6068711059736,71.40914374143,78,0.503258432050991,17.8249768207949,1148,17.0243460028568,77
lever_bias2_gain,0,17.2978347245779,11.0026343244814,37.3533399141962,71.409143736282,76,0.50249298129439,17.6836261389246,1148,16.9981203429753,75
lever_bias2_gain_height,0,16.4557673910642,10.0808751379262,37.0522400606725,71.5405412955464,73,0.452061961991679,16.865215492337,1148,16.0321464587824,65
reference_vy (diagnostic),1,16.6453071469773,13.4885294313463,32.27272926692,69.2598325752547,64,0.504838769868889,16.8429586975468,1148,16.6116554464366,67
reference_vy_gain (diagnostic),1,16.2830100713744,10.7463400589898,33.4187638386354,70.4089720665833,67,0.493874436417411,16.4421465425723,1148,16.9369464023792,75
