dataset,frame,batch,milliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,801,9,67.405,23,23,23,0,0,1,1,1,1,1,NaN,1,60,0,0,0,0,11,11,5,5,5
Mississippi,802,9,67.799,12,12,12,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,803,9,67.328,19,19,19,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,804,9,70.794,23,23,23,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,805,9,66.591,18,18,18,0,0,1,1,1,1,1,NaN,1,63,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,806,9,69.258,17,17,17,0,0,1,1,1,1,1,NaN,1,65,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,807,9,65.541,16,16,16,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,808,9,56.75,21,21,21,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,809,9,55.465,17,17,17,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,810,9,59.313,16,16,16,0,0,1,1,1,1,1,NaN,1,60,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,811,9,55.655,16,16,16,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,11,11,4,4,4
Mississippi,812,9,56.903,23,23,23,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,9,9,NaN,NaN,NaN
Mississippi,813,9,57.625,14,14,14,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,814,9,55.722,20,20,20,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,815,9,52.695,16,16,16,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,11,11,NaN,NaN,NaN
Mississippi,816,9,54.655,21,21,21,0,0,1,1,1,1,1,NaN,1,55,0,0,0,0,14,14,NaN,NaN,NaN
Mississippi,817,9,53.886,15,15,15,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,13,13,NaN,NaN,NaN
Mississippi,818,9,56.062,19,19,19,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,9,9,NaN,NaN,NaN
Mississippi,819,9,57.421,20,20,20,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,820,9,58.229,23,23,23,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,14,14,NaN,NaN,NaN
Mississippi,821,9,54.142,25,25,25,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,11,11,1,1,1
Mississippi,822,9,54.316,19,19,19,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,12,12,NaN,NaN,NaN
Mississippi,823,9,53.225,20,20,20,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,12,12,NaN,NaN,NaN
Mississippi,824,9,58.628,24,24,24,0,0,1,1,1,1,1,NaN,1,74,0,0,0,0,18,18,NaN,NaN,NaN
Mississippi,825,9,60.661,19,19,19,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,826,9,60.7,26,26,26,0,0,1,1,1,1,1,NaN,1,72,0,0,0,0,15,15,NaN,NaN,NaN
Mississippi,827,9,62.189,29,29,29,0,0,1,1,1,1,1,NaN,1,71,0,0,0,0,12,12,NaN,NaN,NaN
Mississippi,828,9,60.35,21,21,21,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,11,11,NaN,NaN,NaN
Mississippi,829,9,59.047,21,21,21,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,11,11,NaN,NaN,NaN
Mississippi,830,9,59.879,20,20,20,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,9,9,NaN,NaN,NaN
Mississippi,831,9,61.507,28,28,28,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,12,12,5,5,5
Mississippi,832,9,62.382,24,24,24,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,833,9,68.613,25,25,25,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,13,13,NaN,NaN,NaN
Mississippi,834,9,66.522,29,29,29,0,0,1,1,1,1,1,NaN,1,71,0,0,0,0,14,14,NaN,NaN,NaN
Mississippi,835,9,66.025,25,25,25,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,12,12,NaN,NaN,NaN
Mississippi,836,9,68.069,32,32,32,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,16,16,NaN,NaN,NaN
Mississippi,837,9,64.321,28,28,28,0,0,1,1,1,1,1,NaN,1,69,0,0,0,0,16,16,NaN,NaN,NaN
Mississippi,838,9,65.487,33,33,33,0,0,1,1,1,1,1,NaN,1,73,0,0,0,0,18,18,NaN,NaN,NaN
Mississippi,839,9,66.29,30,30,30,0,0,1,1,1,1,1,NaN,1,65,0,0,0,0,11,11,NaN,NaN,NaN
Mississippi,840,9,64.576,31,31,31,0,0,1,1,1,1,1,NaN,1,69,0,0,0,0,12,12,NaN,NaN,NaN
