dataset,frame,batch,milliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,301,4,65.569,34,34,34,0,0,1,1,1,1,1,NaN,1,39,0,0,0,0,3,3,2,2,2
Mississippi,302,4,65.976,37,37,37,0,0,1,1,1,1,1,NaN,1,43,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,303,4,66.568,37,37,37,0,0,1,1,1,1,1,NaN,1,55,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,304,4,64.537,31,31,31,0,0,1,1,1,1,1,NaN,1,50,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,305,4,66.363,34,34,34,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,306,4,67.602,30,30,30,0,0,1,1,1,1,1,NaN,1,46,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,307,4,67.222,34,34,34,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,308,4,68.079,29,29,29,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,309,4,63.663,23,23,23,0,0,1,1,1,1,1,NaN,1,20,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,310,4,64.691,27,27,27,0,0,1,1,1,1,1,NaN,1,83,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,311,4,65.891,21,21,21,0,0,1,1,1,1,1,NaN,1,79,0,0,0,0,7,7,4,4,4
Mississippi,312,4,65.738,19,19,19,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,313,4,64.839,14,14,14,0,0,1,1,1,1,1,NaN,1,65,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,314,4,65.006,25,25,25,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,2,2,NaN,NaN,NaN
