dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,91,1,threads8,62.039,130.267,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,101,1,baseline,147.023,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,serial,112.209,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads4,70.84,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads8,64.033,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,111,1,baseline,179.244,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,serial,135.364,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,threads4,76.454,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,threads8,67.873,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,121,1,baseline,216.382,216.382,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,serial,151.835,216.382,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,threads4,85.402,216.382,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,threads8,68.974,216.382,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,131,1,baseline,236.14,236.14,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,serial,163.409,236.14,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,threads4,82.675,236.14,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,threads8,76.476,236.14,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,141,1,baseline,212.706,212.706,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,serial,153.448,212.706,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,threads4,81.017,212.706,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,threads8,72.444,212.706,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,151,1,baseline,176.059,176.059,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,151,1,serial,125.815,176.059,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,151,1,threads4,74.163,176.059,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,151,1,threads8,63.634,176.059,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,161,1,baseline,227.599,227.599,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,161,1,serial,163.341,227.599,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
