dataset,frame,batch,milliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,701,8,69.13,21,21,21,0,0,1,1,1,1,1,NaN,1,36,0,0,0,0,7,7,1,1,1
Mississippi,702,8,72.149,18,18,18,0,0,1,1,1,1,1,NaN,1,55,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,703,8,63.598,19,19,19,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,704,8,65.264,18,18,18,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,705,8,63.309,18,18,18,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,706,8,65.123,22,22,22,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,707,8,64.597,30,30,30,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,708,8,64.61,25,25,25,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,709,8,64.284,25,25,25,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,710,8,65.635,30,30,30,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,711,8,63.832,27,27,27,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,5,5,3,3,3
Mississippi,712,8,60.121,15,15,15,0,0,1,1,1,1,1,NaN,1,63,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,713,8,58.355,23,23,23,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,714,8,57.614,21,21,21,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,715,8,57.763,23,23,23,0,0,1,1,1,1,1,NaN,1,65,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,716,8,56.362,27,27,27,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,717,8,59.172,19,19,19,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,718,8,55.963,16,16,16,0,0,1,1,1,1,1,NaN,1,65,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,719,8,55.065,18,18,18,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,720,8,57.761,18,18,18,0,0,1,1,1,1,1,NaN,1,70,0,0,0,0,2,2,NaN,NaN,NaN
Mississippi,721,8,58.542,23,23,23,0,0,1,1,1,1,1,NaN,1,74,0,0,0,0,3,3,2,2,2
Mississippi,722,8,57.69,17,17,17,0,0,1,1,1,1,1,NaN,1,72,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,723,8,57.783,15,15,15,0,0,1,1,1,1,1,NaN,1,75,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,724,8,62.808,20,20,20,0,0,1,1,1,1,1,NaN,1,71,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,725,8,60.528,21,21,21,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,3,3,NaN,NaN,NaN
