dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,91,1,threads8,45.214,150.37,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,101,1,baseline,146.909,146.909,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,serial,115.897,146.909,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads4,59.557,146.909,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads8,51.811,146.909,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,111,1,baseline,194.88,194.88,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,serial,131.204,194.88,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,threads4,69.986,194.88,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,threads8,65.045,194.88,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,121,1,baseline,237.981,237.981,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,serial,154.169,237.981,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,threads4,79.218,237.981,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,121,1,threads8,66.032,237.981,18,18,18,0,0,1,1,1,1,1,1,1,71,0,0,0,0,10,10,2,2,2
Mississippi,131,1,baseline,246.029,246.029,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,serial,173.749,246.029,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,threads4,75.672,246.029,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,131,1,threads8,67.008,246.029,13,13,13,0,0,1,1,1,1,1,1,1,69,0,0,0,0,8,8,0,0,0
Mississippi,141,1,baseline,217.826,217.826,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,serial,147.8,217.826,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,threads4,78.759,217.826,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,141,1,threads8,63.964,217.826,12,12,12,0,0,1,1,1,1,1,1,1,71,0,0,0,0,5,5,2,2,2
Mississippi,151,1,baseline,174.804,174.804,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
