run,scenario,rmseAllCm,rmseCm,medianCm,p95Cm,maxCm,above30cm,headingRmseDeg,runtimeSeconds
"0.3 m lattice",both,5.95600300129393,5.42107828206695,3.9677382530725,9.90484204185003,17.4506446858545,0,0.388694270401419,25.710152
"0.3 m lattice",lidar_only,14.8252743529488,14.2384292609121,11.1868316385853,26.7026335348804,38.097138779134,39,0.42093501322204,18.03316
"0.3 m lattice",gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.092437
"0.3 m lattice",gnss_outage,6.63391125983623,6.17082013251416,4.34918750880481,12.3759876492266,18.7063398806547,0,0.391019748922168,23.788678
"0.3 m lattice",lidar_outage,6.03422123202181,5.50845711011794,4.3707690644933,9.91400003608405,17.4468021354122,0,0.379673851482958,20.76984
"0.3 m lattice",both_outage,28.7031457202446,28.8479909403816,4.81856058606691,67.4321563398847,128.234817818753,164,0.373181895961221,23.948311
"0.3 m lattice",alternating,15.493872368272,15.4011208592244,12.5043702909411,26.801519216281,40.4503897550461,26,0.414895128458637,11.772689
"0.6 m lattice, radial-std pole gate",both,5.61140286609893,5.01279606158215,3.84684655232106,9.47332945259769,16.7829613007021,0,0.490853060267784,29.651344
"0.6 m lattice, radial-std pole gate",lidar_only,13.5632801843984,12.921032973848,10.2364887578095,22.8285788840453,35.7715541864101,14,0.504547394183954,20.346937
"0.6 m lattice, radial-std pole gate",gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.131557
"0.6 m lattice, radial-std pole gate",gnss_outage,6.47690584478535,5.98180392077705,4.29881758903187,11.4367702072519,16.7829635524431,0,0.495563199420354,27.380577
"0.6 m lattice, radial-std pole gate",lidar_outage,5.66629606414369,5.07528499180997,4.04380158146796,9.56985534139852,16.7829176629259,0,0.458959641961583,23.295818
"0.6 m lattice, radial-std pole gate",both_outage,21.8958002266574,21.9376466769756,4.4086636466932,60.5222422998037,76.0912107146497,164,0.45654364188947,21.326949
"0.6 m lattice, radial-std pole gate",alternating,13.7230260612736,13.5864895904196,10.4626574342603,24.2209331140985,35.9452939996545,18,0.498447815128986,11.282277
"0.6 m lattice, density-core pole gate",both,5.45615814877914,4.8454164331751,3.67926929741698,9.10009244503623,16.6760022531736,0,0.472885078615451,31.614601
"0.6 m lattice, density-core pole gate",lidar_only,13.7313255628849,13.0354632556119,10.1800265463676,22.8392782664102,34.0740610060157,19,0.494685079817671,21.531553
"0.6 m lattice, density-core pole gate",gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.122382
"0.6 m lattice, density-core pole gate",gnss_outage,6.28088892065996,5.77365012038919,4.03298668052681,11.2119759911019,20.2134159505613,0,0.478881984649081,28.222446
"0.6 m lattice, density-core pole gate",lidar_outage,5.5772263332742,4.98380250966355,4.02401703848242,9.1770204228916,16.6759573362374,0,0.446400293629452,23.52138
"0.6 m lattice, density-core pole gate",both_outage,24.1885871443285,24.2683828134732,4.32781005347538,63.0264136277488,95.3367632855844,165,0.444917977778289,22.404023
"0.6 m lattice, density-core pole gate",alternating,13.7600022720483,13.6217682225768,10.6300021308338,24.6057033580489,34.147006327805,20,0.483909336637242,10.247982
