frame,originalErrorM,correctedEpochErrorM
1,0.033713786414,0.033713230169
2,0.035312020928,0.035311664546
3,0.023201919713,0.023201719467
4,0.028791722281,0.028791707471
5,0.021287800522,0.021287189528
6,0.037584423301,0.037584419233
7,0.034122071847,0.034072519874
8,0.033228698917,0.033204286578
9,0.038866641203,0.038874746742
10,0.036475298464,0.036483694908
11,0.023962175291,0.023974526153
12,0.039142853744,0.039141512535
13,0.036317590693,0.036271833985
14,0.036314804736,0.036292527518
15,0.035424182656,0.035349456094
16,0.013559837989,0.013516428586
17,0.024506033634,0.021203917398
18,0.091069960452,0.075614954211
19,0.035302693037,0.035158193122
20,0.029145717507,0.029175822023
21,0.016521836956,0.016506676509
22,0.020899494064,0.020961735547
23,0.047047014440,0.047184868878
24,0.044751456359,0.044758035595
25,0.034167110698,0.033802303133
26,0.028742923105,0.029030335694
27,0.058954655967,0.034423395856
28,0.058767052066,0.059379151169
29,0.033931783141,0.033975289793
30,0.043888099260,0.044310186269
31,0.035539261616,0.035590206746
32,0.023325932145,0.023316141966
33,0.065059187079,0.064475499207
34,0.005708060268,0.005992058695
35,0.046357213615,0.045697659133
36,0.027294482636,0.027004810241
37,0.042956486814,0.019322994644
38,0.022909783143,0.022107094738
39,0.078975620938,0.078402853828
40,0.082326325017,0.082506082892
41,0.018071613733,0.018789480883
42,0.028133580450,0.027722701061
43,0.006652005521,0.006463054395
44,0.031730916028,0.031892963112
45,0.071541706430,0.070908421143
46,0.014533947726,0.014466690039
47,0.029086889861,0.030093695703
48,0.028420283352,0.035625545196
49,0.006055259033,0.005987031966
50,0.020981758338,0.021211804346
51,0.025091519763,0.025367438992
52,0.019139545186,0.019102863155
53,0.022978452425,0.023518005724
54,0.045565863530,0.045388315163
55,0.033481763994,0.033558165904
56,0.058572405949,0.058574422064
57,0.057604990087,0.039465449644
58,0.062152879378,0.062231108881
59,0.065414762012,0.064812714604
60,0.075925948152,0.075872561943
61,0.042591280381,0.042503889887
62,0.077253813309,0.077164848519
63,0.058645312649,0.058675027998
64,0.049837707668,0.049826472081
65,0.076043299220,0.076370443392
66,0.112685199731,0.112637057438
67,0.097887842625,0.058346766874
68,0.085065730296,0.079713552945
69,0.068324900421,0.068258641516
70,0.046102234949,0.046561604363
71,0.199797388396,0.200289886404
72,0.154124481731,0.153785229180
73,0.176465838786,0.177139392141
74,0.125015672818,0.124845471916
75,0.065640212598,0.066857692206
