frame,time,accepted,rank,positionErrorM,headingErrorDeg,x,y,yaw
27,2.59939028038044,1,3,0.0349080323299085,-0.00919183350746374,484200.500770592,4977500.10541235,-2.13099229125716
28,2.69970764979056,1,3,0.05456336591662,-0.0934104965851851,484200.48634485,4977500.0331828,-2.13215545187472
29,2.80056496957375,1,3,0.0349508690670836,-0.0241293826447118,484200.374469324,4977499.89604497,-2.12879757043899
30,2.9001767101967,1,3,0.0470228024117664,-0.0378554784931694,484200.327788222,4977499.79206753,-2.12641918579675
31,3.00015361956907,1,3,0.0388714997934965,0.0214568028953361,484200.205340457,4977499.61057176,-2.12460125900396
32,3.09918665615537,1,3,0.03326066523142,-0.0796611667713447,484200.147992061,4977499.52042316,-2.12534464361852
33,3.19946891318574,1,3,0.0595564747444983,-0.0731705182201769,484200.132905223,4977499.38923621,-2.12344241609309
34,3.29970045233424,1,3,0.00113766573604301,-0.048686913654272,484199.99704164,4977499.21696948,-2.12100579887222
35,3.39939100074286,1,3,0.0432646905711025,0.0419734949518002,484199.938669243,4977499.10633389,-2.11756020071474
36,3.49943137249049,1,3,0.0226776917529511,0.0189798888348162,484199.844395073,4977498.92615917,-2.11665479128025
37,3.60100134353679,1,3,0.0127020312930424,0.0423820391985823,484199.740915869,4977498.76493316,-2.11516182934086
38,3.69993060353405,1,3,0.0257137176906454,-0.0748451641434077,484199.639002065,4977498.585579,-2.11576091163762
39,3.8000713706786,1,3,0.0749818435845741,-0.0506954099626306,484199.61059946,4977498.47045097,-2.11400199338035
40,3.89960404342418,1,3,0.0777881676921192,0.013300958635002,484199.514464293,4977498.31149124,-2.11204169772612
41,4.00033287790665,1,3,0.023821856105927,0.0350200423758791,484199.328755338,4977498.09574528,-2.1113064567038
42,4.10035244231813,1,3,0.0219749605711403,-0.0270435305218748,484199.256071717,4977497.96107949,-2.11250817656571
43,4.20032284939796,1,3,0.00601938098596735,0.0511786648907816,484199.140655666,4977497.77214134,-2.11111517339976
44,4.30057831698303,1,3,0.0284635969498131,0.0832591307360449,484199.06192281,4977497.61966945,-2.11075611746665
45,4.39962409806272,1,3,0.0688767349168915,0.146292281195929,484198.991053946,4977497.48206295,-2.10985123177962
46,4.49971830879264,1,3,0.0199052019876605,-0.0191514418301127,484198.8279914,4977497.25316425,-2.11265278227476
47,4.59934903610982,1,3,0.0253764078352393,0.0844388147943064,484198.75252531,4977497.12648766,-2.11182842357243
48,4.69972882752839,1,3,0.0424817093133402,0.0863266623207386,484198.630902765,4977496.97976528,-2.11267195308099
49,4.80060955556475,1,3,0.0102938730129691,-0.00809876901039863,484198.551736307,4977496.7638499,-2.1150740776486
50,4.90102601991328,1,3,0.0259874208915045,-0.0114391449347114,484198.439920419,4977496.60173624,-2.11577791877327
51,4.99962886482469,1,3,0.0307486912824388,0.0987591320684851,484198.347644749,4977496.45445062,-2.11451569832457
52,5.09975610720074,1,3,0.0239393943903726,-0.0286145371915776,484198.266231753,4977496.3021959,-2.11677346691275
53,5.19959360742091,1,3,0.0313950146173707,0.128058673575425,484198.202691991,4977496.1874569,-2.11435402048376
54,5.29954944936544,1,3,0.0516216356830064,0.0500856633352143,484198.064809332,4977495.98859522,-2.11646159082743
55,5.40013159212805,1,3,0.0343068554462224,0.000300551258002369,484197.991173688,4977495.85919693,-2.11765935168351
56,5.49980081301712,1,3,0.0648743572393005,0.0469962821247944,484197.869051735,4977495.69295154,-2.11697881728839
57,5.60016655948378,1,3,0.0382308420990525,-0.0203483241273513,484197.810644342,4977495.55539612,-2.118672293075
58,5.69954447766676,1,3,0.068856398150875,0.142733113916155,484197.693582818,4977495.41216056,-2.11621379385873
59,5.79959629344927,1,3,0.0659210332522358,0.0833741604321427,484197.638926178,4977495.26807808,-2.11710436760866
60,5.89969804683854,1,3,0.0754960820070334,0.0455083247399466,484197.481655978,4977495.05535727,-2.11735990432222
61,6.00006145247989,1,3,0.0405714535359964,0.0329172652534062,484197.418441151,4977494.87936732,-2.11644894690475
62,6.10028778979435,1,3,0.0722398253409957,-0.0404329200967107,484197.281044312,4977494.69656429,-2.11624619100944
63,6.200692810108,1,3,0.0589214025359373,0.126301717981108,484197.190015327,4977494.53041788,-2.11081914926698
64,6.30006812737395,1,3,0.0584828965259645,0.109038724622573,484197.090559824,4977494.3658148,-2.10974746809924
65,6.40010797893818,1,3,0.078642283698554,0.0200292448739445,484196.959683916,4977494.15405453,-2.11059136619031
66,6.49936235356276,1,3,0.0870203098647101,0.0373513330990657,484196.855538918,4977494.00513905,-2.10841159565718
67,6.59974552617345,1,3,0.0577361363066527,-0.0108898989048552,484196.777747433,4977493.81013742,-2.10596358886494
68,6.6999136029467,1,3,0.0925109121683595,0.0387410064773715,484196.637286161,4977493.63189758,-2.10076803661951
69,6.79977034995281,1,3,0.0673796262289108,-0.14395825552138,484196.549668883,4977493.42551422,-2.09832645138538
70,6.90044560554469,1,3,0.0512278275254733,-0.125841188270272,484196.436385848,4977493.17185288,-2.09079442289062
71,6.99951947652819,1,3,0.210282922035994,0.122174424666912,484196.157641432,4977492.92042255,-2.07799395121375
72,7.09941471710617,1,3,0.190387861250824,-0.286740117931398,484196.068485209,4977492.6360206,-2.07525188664084
73,7.19946159114635,1,3,0.186215224522399,-0.00763119011609987,484195.928238855,4977492.40877963,-2.05890488796309
74,7.29997480960797,1,3,0.131025833980584,-0.283195253657755,484195.837728143,4977492.16564053,-2.05025699498977
75,7.40095775368317,1,3,0.079258843838726,-0.458023147791462,484195.748648746,4977491.88435447,-2.03765328287273
76,7.50037000397079,1,3,0.0740352055444468,-0.133661979516687,484195.610946398,4977491.58464734,-2.0153923566105
77,7.59933749744821,1,3,0.0601965427970028,-0.456796087831462,484195.513163995,4977491.26921102,-2.00485482279484
78,7.69972847280996,1,3,0.0786363411838397,-0.157089199244862,484195.367671112,4977490.92144754,-1.98016023795503
79,7.80006196790559,1,3,0.0901335514158378,-0.075737392450343,484195.23082453,4977490.5654097,-1.95870171532568
80,7.89999050022142,1,3,0.135548544037566,-0.280357385012424,484195.181092766,4977490.23901802,-1.93980984532858
81,8.00000434261545,1,3,0.157334196180955,-0.231800284145479,484195.053183305,4977489.86047341,-1.91454351612589
82,8.09993287493128,1,3,0.295647565734311,-0.217751336529096,484195.035756311,4977489.41782408,-1.8887843434818
83,8.2007657460945,1,3,0.304329801887196,0.202635623373705,484194.918150957,4977489.06881938,-1.85439049153295
84,8.29939407999269,1,3,0.301408221555981,-0.103206284842232,484194.766497813,4977488.60267574,-1.83310740482466
85,8.39974266040703,1,3,0.0998996311491584,0.241682718488099,484194.458717054,4977488.29119335,-1.80007559477796
86,8.49977158811978,1,3,0.447812163377241,-0.447071402836976,484194.681763316,4977487.71654995,-1.78616444806889
87,8.59983068646994,1,3,0.195329974998908,-1.18130759500412,484194.116780543,4977487.57322691,-1.77154303044736
88,8.70036081089219,1,3,0.224570504403708,-0.874393799244767,484194.271167959,4977486.99950152,-1.73924588513151
89,8.79990622813116,1,3,0.236794440911607,-1.28245115505258,484194.017118031,4977486.68695382,-1.71853604218041
90,8.89980484990127,1,3,0.307641551975661,-0.780955650387454,484194.224896424,4977485.97570103,-1.68151067569149
91,8.99986524870995,0,3,0.186781814052334,-1.31042195045573,484193.928792457,4977485.65600103,-1.66088361591913
92,9.09968688333631,1,3,0.27361709917601,-1.6637726575479,484194.035188205,4977485.13365549,-1.63711361231256
93,9.19970228628056,1,3,0.530827413640444,-0.256203718429908,484193.300983521,4977484.23381338,-1.58279558689435
94,9.29955903328667,1,3,0.541391314981706,-1.29072457345553,484193.232437858,4977483.82766564,-1.57099665590383
95,9.39990345223378,0,3,0.130791158238016,-0.645362223864911,484193.863912728,4977483.51420792,-1.52910305986116
96,9.50034826657781,0,3,0.393548687481589,-0.972264206927472,484193.379403967,4977482.87263565,-1.50343454837356
97,9.59934567060095,0,3,0.44798854518026,-1.13092266365859,484193.357915579,4977482.35337911,-1.47511424300252
98,9.69944638362341,0,3,0.345695278056409,-0.94950539717391,484193.518831274,4977481.76525102,-1.44043848912743
99,9.79979808513818,0,3,0.296373836429765,-0.81500829976586,484193.654713577,4977481.17711083,-1.40781644080841
100,9.89962752251559,0,3,0.217763876861591,-0.726998497202964,484193.814625362,4977480.66314183,-1.37565866596776
101,10.0009886399253,0,3,0.155884067297266,-1.15133852788521,484193.986549949,4977480.24195912,-1.35416062621507
102,10.1003847645274,0,3,0.131431875530505,-0.74416998281487,484194.143484661,4977479.55095622,-1.32000201906306
103,10.2004789752573,0,3,0.101863408875007,-0.67152121206256,484194.322089062,4977478.99281234,-1.29284199445947
104,10.3001175053256,0,3,0.0776104274640398,-0.683114668960742,484194.559061228,4977478.40460834,-1.26798619363186
105,10.3999947995761,1,3,0.0360701647458524,-0.721036564236946,484194.720925239,4977477.91833752,-1.2449173551771
106,10.4997714383381,1,3,0.0224391839233485,-0.550523259397438,484194.980213805,4977477.32089799,-1.22093258137454
107,10.5995790280125,1,3,0.0658856420700066,-0.340342530433822,484195.245285688,4977476.73087525,-1.19891314400713
108,10.6995980722406,1,3,0.135187504203136,-0.539250847566759,484195.535797965,4977476.22048934,-1.18619732657647
109,10.8019038427115,1,3,0.10673169385345,-0.224825925020762,484195.767085306,4977475.59759099,-1.16644394746717
110,10.8997838927834,1,3,0.154278732958523,-0.147171962943005,484196.023926881,4977475.08168806,-1.15347084400218
111,10.9997142457411,1,3,0.130635366554137,0.157448465653384,484196.302914064,4977474.43763779,-1.13778475820481
112,11.0996526615416,1,3,0.143623571484223,0.0696193480467788,484196.588554757,4977473.84504953,-1.13056467536874
113,11.1999827754452,1,3,0.139603256919723,-0.0203562010068645,484196.881674995,4977473.2227306,-1.12471479534705
114,11.3000715242493,1,3,0.166372554972397,0.0656254863421141,484197.232299982,4977472.59047572,-1.1172255092815
115,11.3999537602422,1,3,0.132390394899128,0.162495285442361,484197.534661229,4977471.91963608,-1.11059395392995
116,11.5003078025823,1,3,0.180430092581332,0.0479077114539926,484197.933274726,4977471.19199396,-1.10890633636791
117,11.5996230386651,1,3,0.175802817588375,0.382900503660775,484198.236825893,4977470.64016156,-1.10007126467197
118,11.699571598042,1,3,0.129258342903488,0.228878973574482,484198.546635701,4977469.94736623,-1.10135519785688
119,11.7999612729452,1,3,0.154427960550123,0.188739218079097,484198.936432505,4977469.25979994,-1.10213496039525
120,11.8996081259479,1,3,0.177156406163731,0.727670366160331,484199.316806311,4977468.58981071,-1.0939382077748
121,12.0001507347719,1,3,0.105437272501815,0.307696118964557,484199.595324318,4977467.90061627,-1.10351043793662
122,12.100458480789,1,3,0.121316980278138,0.130765401590868,484199.994358667,4977467.17055697,-1.10790921128215
123,12.1993926825286,1,3,0.121262251643172,0.28093919724255,484200.368120967,4977466.40861788,-1.10736646647862
124,12.2993550267657,1,3,0.28501041034034,0.716765215793906,484200.836301782,4977465.88618999,-1.10209086390026
125,12.3995475521589,0,3,0.137345209920018,0.499763362455005,484201.117487009,4977465.03482409,-1.10930940068347
126,12.4997273330587,1,3,0.0722417579157452,0.252467797135175,484201.450043261,4977464.20130726,-1.11778600025748
127,12.5997471575619,1,3,0.0818912464794898,0.352913982279666,484201.775861594,4977463.3841935,-1.1211197555463
128,12.6998691981039,1,3,0.10414941141643,0.703273446698025,484202.255680852,4977462.67200829,-1.12084753416038
129,12.800947335742,1,3,0.0267780041662331,0.394232913078872,484202.561417001,4977461.93884727,-1.13175837559938
130,12.8995621448717,1,3,0.0735754191632457,0.38849551074691,484202.917291157,4977461.06456601,-1.13848168835692
131,12.9997192977935,1,3,0.0708992161298328,0.415388113985807,484203.303950886,4977460.26802943,-1.14383333698214
132,13.100463737778,1,3,0.247847597652229,0.646787341817739,484203.911024843,4977459.66833815,-1.14690236453796
133,13.2001410215099,1,3,0.144421455291518,0.604349538702654,484204.019139223,4977458.57777445,-1.15442689679391
134,13.3004430455096,1,3,0.127722224954684,0.608195495854811,484204.431139315,4977457.74619747,-1.16121299455863
135,13.4001770292324,1,3,0.133427128683098,0.436338612421169,484204.757147707,4977456.93964071,-1.17105723872945
136,13.4996605446463,1,3,0.136277759108145,0.309632032039688,484205.140456435,4977456.07515058,-1.1801971902407
137,13.6000036631349,0,3,0.0465812028439742,0.20504619818277,484205.621436067,4977455.25218274,-1.188946247127
138,13.6996395922862,1,3,0.416462782733012,-0.952151926126086,484206.413947287,4977454.37223406,-1.21609675040657
139,13.7999483786701,1,3,0.199221495483004,-0.500856096798586,484206.528311716,4977453.66200097,-1.21491777257755
140,13.9004548347475,1,3,0.169133953891168,-0.251965226614833,484206.859444048,4977452.75988279,-1.21767358998344
141,13.9999211841091,1,3,0.0649040811455536,0.0195864724980921,484207.153824536,4977451.77863651,-1.21977905343562
142,14.1000968035417,1,3,0.0268866524420352,0.169073059030218,484207.510767024,4977450.82070746,-1.22383929330406
143,14.1999249404606,1,3,0.104385364091277,-0.116797769497763,484207.944220299,4977449.93465476,-1.23589153420658
144,14.2999491865227,1,3,0.0442087843427032,-0.0640882140155709,484208.252832645,4977448.96742252,-1.24162255189348
145,14.4000938550428,1,3,0.0240220159589606,0.060625328637173,484208.563281384,4977448.02015106,-1.24707872523289
146,14.5004263097716,1,3,0.115093963026605,0.547708573948865,484208.876420118,4977446.94232123,-1.24447838707459
147,14.601482339615,1,3,0.00729278455175584,-0.000575149012176378,484209.27511434,4977446.09046314,-1.26174957143414
148,14.7016392324451,1,3,0.0575578679680755,0.165290062087396,484209.570429916,4977445.15007206,-1.26519482130968
149,14.8023940760978,1,3,0.0443385523285204,-0.240835850458355,484209.990805818,4977444.10930638,-1.2791451442333
150,14.9013553273743,0,3,0.0516734063228725,-0.233860274551772,484210.290327667,4977443.12828754,-1.28543488738477
151,15.0012596711619,1,3,0.0227087337393643,-0.218131421351641,484210.622773878,4977442.17905665,-1.29233278124612
152,15.1027521348811,1,3,0.0880976427533714,-0.0682837829108501,484210.879015543,4977441.15418176,-1.29670993038907
153,15.2025914557431,1,3,0.0715968043579122,0.139144126121986,484211.203274463,4977440.23445482,-1.29972956235961
154,15.3030487544889,1,3,0.0692724970678429,0.185546082432685,484211.518423623,4977439.22455943,-1.3051417142218
155,15.4028485414123,1,3,0.0894683266457108,0.0396317792535188,484211.813640042,4977438.25247,-1.3148801525338
156,15.5039516478537,1,3,0.151766136136752,-0.0431092635090834,484212.069653062,4977437.28262368,-1.32299635788661
157,15.6027745303449,1,3,0.176872583761772,0.112486161286642,484212.320056544,4977436.24867803,-1.3272684054535
158,15.7027701663198,1,3,0.0903587750967325,-0.0216477954945335,484212.781697868,4977435.11196005,-1.33656946351629
159,15.804560955221,1,3,0.132938991152456,-0.00370430774943011,484213.160129442,4977434.06765182,-1.34267876710067
160,15.9043001407779,1,3,0.132895023162041,-0.00773463390543395,484213.404960644,4977433.03399053,-1.34910869035066
161,16.0046125684457,1,3,0.0974791201691273,0.0181482081466724,484213.623289751,4977432.03590409,-1.35550887920697
162,16.1046407158833,1,3,0.0428227261921456,0.165288952967255,484213.85960837,4977431.13708856,-1.35957463823547
163,16.205523784745,1,3,0.100567644090055,0.557446293246601,484214.07441567,4977430.01971882,-1.3591235039161
164,16.3042265048699,1,3,0.0792963321481726,0.368430433759382,484214.330792826,4977429.05212099,-1.36885325694513
165,16.4042640156088,1,3,0.0944672493009188,0.34088673002125,484214.565575056,4977428.0202195,-1.37539742232505
166,16.5060238535975,1,3,0.144929058951604,0.432194754657903,484214.760724045,4977426.96714912,-1.38007423378465
167,16.6058980267476,1,3,0.148574863227006,0.609748977784195,484215.026071002,4977426.04132023,-1.38315231399637
168,16.7061870461622,0,3,0.106155580049725,-0.236726227890627,484215.469682737,4977424.94282416,-1.40471647540989
169,16.8063005036781,0,3,0.0808370931993762,-0.33678537261071,484215.639988165,4977423.92646866,-1.41307355903653
170,16.906330991941,1,3,0.0680108625254852,-0.176444290281375,484215.861557123,4977422.85848255,-1.41696211782363
171,17.0056415463732,1,3,0.0167740600495028,-0.0854085631437626,484216.036404334,4977421.77257741,-1.42257421248233
172,17.1057066268325,1,3,0.0044243766859279,0.0379310538034432,484216.217853263,4977420.71919593,-1.42766028872822
173,17.2057345141785,1,3,0.0335753452883445,0.39448074238419,484216.38936172,4977419.68117177,-1.42902200131199
174,17.3056854143807,1,3,0.0812536147661194,0.0629832826639962,484216.528701396,4977418.63388197,-1.44214474069665
175,17.4059715727866,1,3,0.184901584098923,0.135348512657687,484216.601913888,4977417.56472021,-1.44820988964175
176,17.5064023421787,1,3,0.0728983339019463,0.700129864048475,484216.93773355,4977416.54283689,-1.44568744065622
177,17.6055979360787,1,3,0.601966213198723,3.24793549724923,484216.525676728,4977415.49508672,-1.40866183638872
178,17.7058146500002,1,3,0.0880241868146176,0.636849332597607,484217.199204003,4977414.2994616,-1.46157290323229
179,17.8054937543739,1,3,0.0948563621549109,0.873123357557606,484217.4026599,4977413.17040921,-1.46490356425661
180,17.9055825031781,1,3,0.0757869421897192,0.636035574333745,484217.500976651,4977412.15358831,-1.47609742674428
181,18.0058988322214,1,3,0.133665743884612,0.894522017619549,484217.589046629,4977411.03041756,-1.47931374167978
182,18.1057233278565,1,3,0.324943765916385,1.32630638764443,484217.613633429,4977409.76822645,-1.47849324218545
183,18.2068605063109,1,3,0.283057682516731,1.57172788025567,484217.724095732,4977408.74163665,-1.48134080333092
184,18.3057330663171,1,3,0.0648800006162151,0.175438999456921,484218.006097039,4977407.83071212,-1.51246467955857
185,18.4058441830076,1,3,0.123160055924007,0.159926264683372,484218.057079831,4977406.74480418,-1.51945738840281
186,18.5062395799283,1,3,0.0591816120698564,-0.0987337998803397,484218.220759014,4977405.62354524,-1.530781657527
187,18.6060934659257,1,3,0.363828131347291,2.04271413741432,484218.039249097,4977404.3433444,-1.50030167724868
188,18.706451669733,1,3,0.069885858517679,-0.499840838691428,484218.498124222,4977403.32034766,-1.55069955814426
189,18.8072317422808,1,3,0.053570531521055,-0.244055913560366,484218.541645362,4977402.18790272,-1.55163486145551
190,18.9057375729874,1,3,0.0801894240590785,-0.243617795314567,484218.599369295,4977401.04675877,-1.55632162038938
191,19.0057477740976,1,3,0.0257850917903,0.126132765686991,484218.667724677,4977399.96880891,-1.5543219155482
192,19.1056367724747,1,3,0.0416793443585885,0.138354334774941,484218.669991608,4977398.8601366,-1.55769995344595
193,19.2054841561796,1,3,0.0217619296588299,0.322781297294254,484218.770024805,4977397.6870088,-1.55752329264949
194,19.3055840889269,1,3,0.191285505001967,-0.412430809015713,484218.991014599,4977396.49309796,-1.5729308926848
195,19.4060876839956,1,3,0.123199259276995,-0.408277880740532,484218.974847339,4977395.36015009,-1.57511192854863
196,19.5060854007041,1,3,0.0780259008084514,-0.36293319981991,484218.976758514,4977394.2348492,-1.57673838538806
197,19.6057821913136,1,3,0.0515741402542942,-0.18850471967491,484218.965844771,4977393.01799601,-1.57577236837607
198,19.705793952974,1,3,0.0455391147536263,-0.146792370740227,484218.980525605,4977391.84151519,-1.57687373012493
199,19.8058806210445,1,3,0.0422238793228397,-0.00605946973820872,484218.97920071,4977390.67662574,-1.57617079645131
200,19.9059792533334,1,3,0.035568129761535,-0.488168846116833,484219.044832026,4977389.48046475,-1.58636353433405
201,20.0062500663289,1,3,0.0440478922265298,-0.555993032690707,484219.04826789,4977388.35458144,-1.58892407459631
202,20.1062069486402,1,3,0.0434521586858535,-0.359302905389523,484219.059834641,4977387.11620661,-1.58681613016033
203,20.1999057645129,1,3,0.0528273100501238,-0.031451374741983,484219.147153043,4977385.94162198,-1.58231486021352
204,20.2999219477323,1,3,0.069343862040007,-0.105344904309408,484219.2237776,4977384.78905064,-1.5831574219435
205,20.3998660855502,1,3,0.0373798101794131,-0.139510724476338,484219.214095163,4977383.57998749,-1.58339437132113
206,20.5004219590509,1,3,0.0945409528920862,0.0169248337738718,484219.144796084,4977382.26382929,-1.57948001518882
207,20.6002563381707,1,3,0.0452630745997964,0.0102744176214489,484219.188878113,4977381.09744476,-1.57814028533548
208,20.6993689628178,1,3,0.0359584072663588,0.0686250897976857,484219.262448474,4977379.85062665,-1.5749868727102
209,20.7995359992242,1,3,0.0385207783981021,0.0451253575364775,484219.254456593,4977378.62020174,-1.57261253420675
210,20.8995181104306,1,3,0.086731557901191,0.343115921838642,484219.263091906,4977377.32971399,-1.56432915566928
211,20.9997954257186,1,3,0.063626217744003,0.226918023476107,484219.329557778,4977376.08379009,-1.56270624001985
212,21.0996376075894,1,3,0.0914830257766401,0.176223018379767,484219.371554805,4977374.80034075,-1.55972278338029
213,21.2000990678024,1,3,0.07673657288029,0.00260321922242853,484219.380499435,4977373.56610686,-1.5586852969001
214,21.3002809294358,1,3,0.0137700294374628,0.269543285221313,484219.483480297,4977372.37011824,-1.55005702259288
215,21.3998393512599,1,3,0.0361692666368201,0.29781905800867,484219.507658755,4977371.06473129,-1.54495915302652
216,21.4997998748551,1,3,0.0209096379437776,0.144904529975718,484219.575124616,4977369.83551283,-1.54259325732114
217,21.5994110952946,1,3,0.0250340344429279,0.14878086873004,484219.628835058,4977368.55807416,-1.53761116256975
218,21.69960700188,1,3,0.0549180780254733,0.0190856847580357,484219.676801039,4977367.30013222,-1.53452339475712
219,21.8004026799298,1,3,0.0621305972704623,0.108135103122257,484219.744420143,4977366.00964709,-1.52773093190939
220,21.8996869651001,1,3,0.0665407027059345,0.135009248508456,484219.818117325,4977364.73044248,-1.52177787003992
221,21.9993491635132,1,3,0.0876967632431937,0.0171966759333439,484219.938375565,4977363.49111575,-1.51831257446997
222,22.0994041003962,1,3,0.0842722681586102,-0.0486660114958115,484220.038699618,4977362.19575159,-1.51384648329972
223,22.1995641143266,1,3,0.169729851580443,0.257806047907217,484220.05942967,4977360.95166418,-1.50231632575103
224,22.2996580649649,1,3,0.0725838456322987,-0.0135043192961132,484220.243373412,4977359.58248018,-1.50072383286479
225,22.3999691921741,1,3,0.0967285572494527,0.0532258588320268,484220.36620686,4977358.30516873,-1.49300874551258
226,22.4999903171358,1,3,0.0807969435337738,0.102841385030081,484220.477865927,4977356.97513082,-1.48567503997417
227,22.6013441519779,1,3,0.0809686210396324,0.00567993497297834,484220.620355112,4977355.65745433,-1.48066025586248
228,22.6994556836645,1,3,0.108206119543476,0.0699528723819488,484220.781942878,4977354.41957589,-1.47266172572337
229,22.7995103604557,1,3,0.108585707768059,0.136406747950655,484220.93509471,4977353.11592718,-1.46470462929978
230,22.8994825881774,1,3,0.100792350727103,0.175293937220119,484221.0735498,4977351.79339251,-1.45760895226039
231,22.9996954007234,1,3,0.0170691761716682,-0.158645899697435,484221.306380513,4977350.40207423,-1.45659039057595
232,23.0996522830347,1,3,0.0638027589446395,0.168444280893391,484221.420299759,4977349.12449628,-1.44460860970704
233,23.1994624736262,1,3,0.0523929564164824,0.147348572958505,484221.61307457,4977347.80000616,-1.43843157337854
234,23.2994674729024,1,3,0.0108096146047282,-0.203781043788746,484221.865063934,4977346.47668658,-1.43798781049809
235,23.3991307116823,1,3,0.0359445760949741,-0.120628597155446,484222.077120413,4977345.12170274,-1.43006505286297
236,23.499477211363,1,3,0.0191997610563536,-0.095895530961553,484222.279047746,4977343.85315787,-1.42307752491875
237,23.5997984821487,1,3,0.0130023971173647,-0.131885438410319,484222.50051522,4977342.51630931,-1.41704209026894
238,23.6996505475041,1,3,0.00851673896248647,-0.0730668414857966,484222.736671102,4977341.20294297,-1.40942071735802
239,23.8000443838746,1,3,0.0200078162368773,-0.0599988917635792,484222.975387013,4977339.9000223,-1.40227537839214
240,23.9009961169456,1,3,0.0284688136277143,-0.0390753696528856,484223.216589972,4977338.56835142,-1.39578388275436
241,23.9998866232793,1,3,0.061659258468587,0.0570320319524918,484223.440141601,4977337.22471787,-1.38723397534707
242,24.1000024216204,1,3,0.0726402085918531,0.0617591340048905,484223.707822292,4977335.88321706,-1.38105641430767
243,24.1998888190806,1,3,0.0885340180550064,0.265638380191039,484223.995302973,4977334.53295429,-1.37143487712042
244,24.2997068124231,1,3,0.0338476760160294,0.0406271359985548,484224.337430475,4977333.25285407,-1.36966782396083
245,24.4000525318287,1,3,0.0181077242620866,0.0795214520013828,484224.627161746,4977331.94144373,-1.36413572856094
246,24.4996023706266,1,3,0.0251821592753539,0.135276426832424,484224.946964871,4977330.66269738,-1.35946795527746
247,24.600234450996,1,3,0.0284905026115469,0.225767718805527,484225.257098181,4977329.33166017,-1.35513123201421
248,24.6993616407784,1,3,0.014966465439736,0.196272745449162,484225.586674037,4977327.9898373,-1.35371728348457
249,24.7992974556618,1,3,0.0562968518204043,0.15524427862285,484225.939341868,4977326.68817853,-1.35223653145469
250,24.8994780168368,1,3,0.0643722143858758,-0.0732922233645386,484226.255205754,4977325.27537392,-1.35408546917763
251,24.9997353050638,1,3,0.00898325333485589,0.0384559781920426,484226.542011858,4977323.97897262,-1.3504498315078
