cgShiftM,start,cost,success,parameters
-0.15,0,0.0005460595310210463,True,"[4.086961956818519, 4.00465666942655, 0.6491094602092886, 0.04130160451760193]"
-0.15,1,0.0005460595310176432,True,"[4.086961995548636, 4.004656749962143, 0.6491092887475077, 0.04130160447125028]"
-0.15,2,0.0005460595310238907,True,"[4.086962035108351, 4.004656855043804, 0.6491089457691094, 0.04130160449109384]"
0.0,0,0.0005457397133985752,True,"[4.00062205137347, 4.117326663168857, 0.6797974396720615, 0.0413010677345819]"
0.0,1,0.0005457397132846225,True,"[4.00062215104162, 4.117326605015623, 0.6797989722693984, 0.041301068623404616]"
0.0,2,0.000545739713350929,True,"[4.000622066950642, 4.1173265914826915, 0.6797981610569604, 0.041301067746879944]"
0.15,0,0.0005454246245977632,True,"[3.906707762868776, 4.218160648111879, 0.6910059935882477, 0.04130057737708046]"
0.15,1,0.0005454246245450943,True,"[3.9067077963046533, 4.218160595044313, 0.6910067625757548, 0.04130057798139653]"
0.15,2,0.0005454246245868632,True,"[3.906707708316743, 4.218160502715598, 0.6910064941567315, 0.04130057763513664]"
