model,cgShiftM,massKg,lfM,lrM,outputPointXM,CfNPerRad,CrNPerRad,IzKgM2,steeringRatio,steeringWheelZeroDeg,fitCost
cg_-0.15,-0.15,2273.0,1.224605,1.864395,-2.5097988944583816,135376.87293933262,124680.85280581444,4350.147852562977,16.2,2.366407623321291,0.0005460595310176432
cg_-0.15,-0.15,2530.6998827006014,1.224605,1.864395,-2.5097988944583816,150725.13702945152,138816.46263558537,4843.343009331896,16.2,2.366407623321291,0.0005460595310176432
cg_-0.15,-0.15,2858.0,1.224605,1.864395,-2.5097988944583816,170218.6990147878,156769.85363793123,5469.741558567967,16.2,2.366407623321291,0.0005460595310176432
cg_+0.00,0.0,2273.0,1.3746049999999999,1.7143950000000001,-2.3597988944583816,124178.82898505156,139550.58470228594,4485.72224015285,16.2,2.3663769215012733,0.0005457397132846225
cg_+0.00,0.0,2530.6998827006014,1.3746049999999999,1.7143950000000001,-2.3597988944583816,138257.52219373867,155372.04062335036,4994.2880541057175,16.2,2.3663769215012733,0.0005457397132846225
cg_+0.00,0.0,2858.0,1.3746049999999999,1.7143950000000001,-2.3597988944583816,156138.6243903552,175466.5952833846,5640.208606404243,16.2,2.3663769215012733,0.0005457397132846225
cg_+0.15,0.15,2273.0,1.5246049999999998,1.5643950000000002,-2.2097988944583817,113047.52903109942,154355.9254507223,4536.280065915629,16.2,2.366348809784958,0.0005454246245450943
cg_+0.15,0.15,2530.6998827006014,1.5246049999999998,1.5643950000000002,-2.2097988944583817,125864.21841557242,171855.92715894664,5050.577840171473,16.2,2.366348809784958,0.0005454246245450943
cg_+0.15,0.15,2858.0,1.5246049999999998,1.5643950000000002,-2.2097988944583817,142142.47161059486,194082.37348797373,5703.778455075612,16.2,2.366348809784958,0.0005454246245450943
