time,positionErrorM,headingErrorDeg
0.15,0.640380324706415,1.99653322932884
0.25,0.161131960198348,1.5704780072804
0.35,0.394532857951933,1.14893861795351
0.45,0.743453233398055,0.78949198936059
0.55,0.78837700271092,0.499261267631589
0.65,0.57910778523399,0.275532299660667
0.75,0.278535060436051,0.111587100627441
0.85,0.0536869235750801,-0.000885360114754992
0.95,0.103748567370617,-0.0770394065447504
1.05,0.0888601433150327,-0.14030793092633
1.15,0.0229283496417266,-0.169770922907731
1.25,0.124280469474693,-0.20047222326379
1.35,0.196006152738236,-0.231689575298398
1.45,0.196703393290125,-0.237543353356485
1.55,0.141442169609823,-0.229958581733271
1.65,0.0770960739184453,-0.213526337786241
1.75,0.0423915809203375,-0.198456591698169
1.85,0.033539644084983,-0.180614948882307
1.95,0.0178641724277564,-0.170397915252045
2.05,0.029566171625485,-0.156208125338544
2.15,0.0631368095190244,-0.140479203583262
2.25,0.0867760149817691,-0.13774420852737
2.35,0.0972343234108379,-0.144361401675186
2.45,0.11293735636376,-0.183797979084972
2.55,0.125516192844421,-0.222666783792277
2.65,0.121375307842945,-0.231475731991878
2.75,0.0925522608372249,-0.245880139781387
2.85,0.0619913154282833,-0.243590637298665
2.95,0.0353918363259351,-0.188338033304129
3.05,0.0142013968854865,-0.146998790908994
3.15,0.0299168455311396,-0.152284542463665
3.25,0.0279999968181647,-0.153731350415256
3.35,0.0255988438177064,-0.16224689759219
3.45,0.0586808232018444,-0.175637835101998
3.55,0.0936213856003706,-0.166390441218698
3.65,0.10331822323224,-0.19205538408149
3.75,0.0800408249463411,-0.192067323688631
3.85,0.0594718769632381,-0.168839524868242
3.95,0.0529299349996311,-0.166053355037259
4.05,0.0443613660910206,-0.173741833044875
4.15,0.0226982670117745,-0.197499848747705
4.25,0.0255248811351318,-0.206509673796082
4.35,0.0444798900736363,-0.185118588304779
4.45,0.0599621914606111,-0.161811674837396
4.55,0.0768867980828431,-0.115581958454148
4.65,0.0675048215060983,-0.0920866303339533
4.75,0.0523552051745034,-0.0942606291691282
4.85,0.0683540529312393,-0.0904906123069761
4.95,0.106542568421764,-0.0777959778047233
5.05,0.150877073475595,-0.0815303744657748
5.15,0.168415986049083,-0.0830190330173114
5.25,0.154814513412298,-0.06637540133169
5.35,0.128198277703427,-0.0515190613299216
5.45,0.105924870202027,-0.0405369593475075
5.55,0.10069619172437,-0.0456663520355064
5.65,0.0979406751166376,-0.0493668549617833
5.75,0.0793513294436508,-0.045156937233211
5.85,0.0662484436849024,-0.0375839938231201
5.95,0.0773012774898033,-0.048335542319512
6.05,0.114113493956886,-0.0365800049623127
6.15,0.158235774340949,-0.0261392018635701
6.25,0.194553065846762,-0.0183600444242092
6.35,0.224591829906337,0.00851584619505135
6.45,0.231504991689217,-0.00387210727012754
6.55,0.20683140355232,-0.0205949467128701
6.65,0.178118826619953,-0.0117397676056825
6.75,0.189471819190083,-0.0146653688315454
6.85,0.217857883144103,-0.0318038851639681
6.95,0.190775108829602,-0.102359753647732
7.05,0.133534094644321,-0.185039907893751
7.15,0.148305424736891,-0.244578926162583
