frame,timeSeconds,accepted,directionalAccepted,reason,positionErrorM,yawErrorDeg,totalMs,perceptionMs,registrationMs
1,0,1,0,accepted,0.134860601637797,-0.12518474428082,748.364,648.461,96.026
2,0.0997334406846495,1,0,accepted,0.102034786357153,-0.106499168659031,261.564,233.457,26.856
3,0.200060373387542,1,0,accepted,0.0874973629602675,-0.16882405342932,175.325,158.093,16.263
4,0.299495001150299,1,0,accepted,0.0969378701677724,-0.249422029614973,136.192,125.319,10.022
5,0.399469478792207,1,0,accepted,0.0823455444956223,-0.307391348397802,309.391,278.95,26.607
6,0.498996376479702,1,0,accepted,0.0920139297441358,-0.293593394209286,114.688,107.397,7.031
7,0.573130554228286,1,0,accepted,0.116981829922629,-0.286274154561377,111.259,102.53,8.498
8,0.696147889792836,1,0,accepted,0.105211070054158,-0.232138234861615,110.08,103.902,5.983
9,0.799459374788818,1,0,accepted,0.1019678819491,-0.31782122793981,107.895,100.931,6.727
10,0.899978804618634,1,0,accepted,0.101494908945242,-0.282377086872034,109.154,100.427,8.449
11,1.00110747592308,1,0,accepted,0.105301075901343,-0.175034701532907,106.379,99.154,6.906
12,1.09932750687244,1,0,accepted,0.106434701325184,-0.327472576685385,102.738,95.176,7.317
13,1.1998355002191,1,0,accepted,0.113116558330612,-0.299610162485116,101.393,95.483,5.635
14,1.30017228829188,1,0,accepted,0.0794967398868594,-0.160912924168388,100.048,93.079,6.705
15,1.40011696184408,1,0,accepted,0.100661965637377,-0.144135126022539,101.19,94.811,6.163
16,1.500786810402,1,0,accepted,0.0789810036094081,-0.167029527674553,115.295,98.423,16.639
17,1.57549928812889,1,0,accepted,0.0799970349718686,-0.0930708150562414,106.723,100.647,5.84
18,1.65633070789942,1,0,accepted,0.0835887470081141,-0.109959465959209,108.495,100.755,7.533
19,1.79961184337568,1,0,accepted,0.0879001990391531,-0.152583897097254,110.394,99.816,10.337
20,1.89930433627326,1,0,accepted,0.0751016725527477,0.00454264509447191,106.169,99.369,6.585
21,1.99968899340895,1,0,accepted,0.084229912479161,-0.191137201705466,101.929,95.152,6.561
22,2.0993672330735,1,0,accepted,0.076720725740317,-0.0756329382222336,99.485,89.078,10.198
23,2.20011879636184,1,0,accepted,0.0973170629356231,-0.146047370105636,97.034,91.012,5.786
24,2.29986766709318,1,0,accepted,0.114053722022449,-0.422306044389229,97.469,87.129,10.142
25,2.39972715196075,1,0,accepted,0.0947625647252989,-0.0814770856486819,113.008,98.082,14.685
26,2.49945517199059,1,0,accepted,0.0752902733426234,-0.275374821758805,90.863,84.304,6.281
27,2.56185423536358,1,0,accepted,0.0799750599208371,-0.245271009058716,90.941,82.475,8.249
28,2.69884937333735,1,0,accepted,0.0812151442091789,-0.0158733128825027,95.148,82.8,12.136
29,2.80011666049517,1,0,accepted,0.0220171439589732,-0.0855587561203254,112.846,105.746,6.905
30,2.89948734012308,1,0,accepted,0.0222234525993811,-0.195615012811938,90.485,84.449,5.793
31,2.99980634214198,1,0,accepted,0.0516230694628343,-0.259431429591845,91.652,83.443,7.98
32,3.09880677664998,1,0,accepted,0.0445121137652323,-0.160852330702168,91.021,83.34,7.501
33,3.19947641315354,1,0,accepted,0.0560230997433643,-0.274266953429057,88.078,80.03,7.849
34,3.29912658923988,1,0,accepted,0.0685160992205121,-0.171104095816605,89.082,80.837,8.039
35,3.3994090096613,1,0,accepted,0.0779900693125147,-0.115208277632629,85.61,79.529,5.893
36,3.49925963867291,1,0,accepted,0.0615429147562756,-0.450971709791839,105.316,79.499,25.56
37,3.57495953963439,1,0,accepted,0.0503183946944942,-0.00342008523648538,87.283,80.405,6.632
38,3.69884593822158,1,0,accepted,0.0432967085337073,-0.156006551518206,76.476,69.818,6.45
39,3.80007568257803,1,0,accepted,0.0315065539992433,-0.181775764779599,84.387,78.732,5.463
40,3.89908649645848,0,0,inconsistentClasses,0.0402056509696693,-0.176931253438191,83.261,75.719,6.821
41,4.00030373403299,1,0,accepted,0.0660403199459445,-0.276447867863076,88.222,78.299,9.376
42,4.10020445780172,1,0,accepted,0.0467520236051668,-0.1750672670124,82.141,75.765,6.149
43,4.20008894025792,1,0,accepted,0.0443418552410633,-0.0769649303270789,85.49,78.794,6.5
44,4.30009813305904,1,0,accepted,0.0901968998144341,-0.0133006359338885,76.112,70.64,5.23
45,4.39958215463379,1,0,accepted,0.0628277875264477,0.00645324764225658,91.744,86.326,5.12
46,4.49928543835649,1,0,accepted,0.0306601280061923,-0.111099007347883,76.975,71.352,5.431
47,4.5683208422274,0,0,inconsistentClasses,0.0177317655132927,-0.101017107621111,82.658,75.371,7.117
48,4.69414388308581,1,0,accepted,0.060320356508219,-0.119786042590539,80.315,72.541,7.598
49,4.80012412626773,1,0,accepted,0.105672258248569,-0.174074388946334,84.506,75.563,8.749
50,4.90081137669491,0,0,inconsistentClasses,0.112109956562803,-0.155898525143169,86.973,80.965,5.764
51,4.99950595995465,1,0,accepted,0.0825901588626507,-0.0184881258685429,83.378,78.127,4.983
52,5.09931421444968,1,0,accepted,0.0766105294993877,-0.0233956577478561,81.009,75.231,5.542
53,5.1988879640878,1,0,accepted,0.0974654258871867,0.0539388342804295,81.599,74.574,6.795
54,5.29900489047013,1,0,accepted,0.106469083200233,-0.0187656817896055,85.262,79.073,5.948
55,5.40014436642576,1,0,accepted,0.11993299508004,-0.204386647285296,93.626,85.659,7.736
56,5.49940828761358,1,0,accepted,0.0513114699872338,-0.0159987149488731,99.787,88.46,11.072
57,5.57116865483589,1,0,accepted,0.0883136709734339,-0.0203123940178626,96.833,85.745,10.845
58,5.69890171416485,1,0,accepted,0.0994161116216413,-0.0436234068720736,95.729,88.062,7.461
59,5.79957487544745,0,0,inconsistentClasses,0.109199783070856,-0.0452536330658276,97.075,90.697,6.182
60,5.89913620714338,0,0,inconsistentClasses,0.118911280336292,-0.0521945541991046,97.442,87.25,9.648
61,5.99996308114972,0,0,inconsistentClasses,0.12755698652596,-0.063962218885049,85.688,79.35,6.115
62,6.0997577339028,1,0,accepted,0.166487477515559,0.0222322745347374,84.174,78.378,5.595
63,6.20051533171726,1,0,accepted,0.194010684440498,0.0475469481371804,90.343,83.932,6.168
64,6.2997248207368,1,0,accepted,0.155480005135075,-0.0489156262578392,92.637,84.912,7.423
65,6.40007254642848,1,0,accepted,0.15701742835403,-0.0631471355402509,97.701,89.95,7.472
66,6.49879562548468,1,0,accepted,0.184426708640725,-0.136958833286954,94.025,86.67,7.129
