method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,260,1,2,50,61.483,55.213,6.246,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,2,2,51,79.514,64.142,15.35,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,2,52,64.705,55.971,8.713,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,2,53,76.534,62.654,13.86,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,2,54,63.244,57.354,5.869,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,2,55,78.175,63.029,15.124,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,56,64.994,58.523,6.451,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,2,2,57,78.69,62.134,16.534,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,2,58,66.716,59.225,7.468,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,3,2,59,77.81,62.562,15.226,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,62.955,54.958,7.975,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,550,1,2,61,87.704,72.826,14.859,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,2,62,74.717,67.548,7.142,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,2,2,63,90.163,73.223,16.918,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,64,74.89,67.942,6.922,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,3,2,65,89.484,76.309,13.152,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,2,66,89.03,83.209,5.801,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,700,1,2,67,88.814,75.572,13.216,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,2,68,73.203,67.527,5.656,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,2,2,69,84.067,70.325,13.723,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,2,70,71.213,64.582,6.609,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,3,2,71,81.298,69.7,11.579,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,2,72,68.663,63.501,5.137,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,900,1,2,73,93.614,77.654,15.936,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,2,74,76.189,69.181,6.971,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,2,2,75,94.187,78.002,16.159,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,2,76,76.346,69.12,7.204,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,3,2,77,92.809,77.683,15.101,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,2,78,78.085,71.123,6.94,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,1050,1,2,79,92.944,75.389,17.532,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,2,80,68.123,61.01,7.093,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,2,2,81,86.751,70.418,16.312,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,2,82,72.801,66.373,6.409,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,3,2,83,83.105,67.574,15.508,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,2,84,70.072,64.33,5.723,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
