method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,260,3,2,50,64.384,58.666,5.698,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,1050,1,2,51,71.004,63.354,7.627,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,2,52,87.985,71.589,16.375,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,900,2,2,53,74.189,67.753,6.407,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,2,54,93.221,77.247,15.949,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,3,2,55,74.4,68.133,6.241,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,900,3,2,56,93.496,79.338,14.137,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,550,2,2,57,95.837,78.542,17.272,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,58,87.851,81.205,6.627,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,3,2,59,77.662,63.289,14.351,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,61.457,54.063,7.371,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,2,2,61,65.4,58.115,7.259,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,2,2,62,83.498,67.618,15.857,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,1,2,63,74.662,59.942,14.7,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,64,62.603,55.943,6.64,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,700,3,2,65,68.752,62.753,5.976,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,700,3,2,66,82.28,70.533,11.727,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,900,1,2,67,73.161,66.814,6.327,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,1,2,68,100.783,84.087,16.675,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,2,69,64.119,58.257,5.842,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,2,70,73.169,61.064,12.086,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,550,3,2,71,87.798,73.948,13.828,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,2,72,75.583,69.756,5.803,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,120,1,2,73,64.759,57.878,6.857,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,120,1,2,74,85.667,64.345,21.3,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,1050,2,2,75,88.348,71.741,16.583,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,2,76,68.463,61.359,7.084,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,120,2,2,77,84.644,64.771,19.853,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,2,78,67.574,60.07,7.483,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,260,2,2,79,66.348,58.955,7.372,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,2,80,79.941,65.148,14.773,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,550,1,2,81,72.241,65.094,7.124,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,2,82,91.661,76.398,15.242,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,700,2,2,83,83.18,69.745,13.412,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,2,84,70.483,62.012,8.445,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,550,3,3,85,73.956,67.519,6.416,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,550,3,3,86,89.095,75.362,13.707,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,120,1,3,87,86.901,66.81,20.067,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,3,88,65.717,57.853,7.844,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,550,2,3,89,75.65,69.107,6.524,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,3,90,92.318,76.162,16.136,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,1,3,91,80.042,65.716,14.304,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,3,92,61.424,54.476,6.924,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,1050,3,3,93,84.296,69.397,14.862,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,3,94,70.976,63.666,7.289,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,900,2,3,95,74.212,68.188,6.004,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,3,96,94.599,79.114,15.463,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,700,2,3,97,99.719,84.481,15.215,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,3,98,71.945,65.396,6.527,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,1050,1,3,99,85.335,68.311,17.002,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,3,100,70.308,63.374,6.914,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,120,2,3,101,65.283,57.85,7.412,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,2,3,102,90.689,68.664,22.003,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,3,3,103,66.493,59.197,7.277,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,120,3,3,104,84.697,65.072,19.605,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,350,2,3,105,78.671,63.129,15.521,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,3,106,66.716,58.562,8.132,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,1050,2,3,107,69.148,62.989,6.139,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,3,108,85.003,68.199,16.782,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,700,1,3,109,70.771,65.351,5.401,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,1,3,110,84.96,72.747,12.188,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,900,3,3,111,92.469,78.343,14.105,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,3,112,75.688,69.406,6.253,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,700,3,3,113,78.919,68.263,10.634,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,3,114,67.147,61.93,5.198,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,550,1,3,115,76.443,69.213,7.207,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,3,116,91.35,76.628,14.701,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,260,2,3,117,64.186,58.112,6.054,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,3,118,77.101,62.021,15.059,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,3,119,77.461,63.67,13.771,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,3,120,67.431,58.036,9.373,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,900,1,3,121,93.127,77.684,15.421,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,3,122,74.395,66.771,7.604,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,3,123,60.407,54.951,5.434,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,3,124,76.4,64.449,11.929,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,350,3,3,125,79.261,65.303,13.937,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,3,126,65.002,57.591,7.38,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,260,2,4,127,65.297,58.732,6.541,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,4,128,77.581,62.166,15.394,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,1050,1,4,129,84.636,67.506,17.104,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,4,130,72,64.776,7.194,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,120,3,4,131,85.333,66.375,18.935,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,4,132,68.34,61.732,6.588,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,700,1,4,133,73.173,67.084,6.07,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,1,4,134,85.386,72.473,12.888,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,3,4,135,81.789,73.274,8.49,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,700,3,4,136,88.9,77.488,11.383,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,260,3,4,137,76.638,62.558,14.06,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,4,138,63.127,57.097,6.012,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,120,2,4,139,91.398,69.768,21.61,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,4,140,69.606,61.508,8.077,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,1050,2,4,141,86.577,69.874,16.68,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,4,142,67.731,60.282,7.425,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,550,3,4,143,86.759,72.851,13.886,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,4,144,70.199,64.122,6.051,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,2,4,145,74.517,67.468,7.027,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,4,146,91.398,73.176,18.196,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,1,4,147,79.526,65.122,14.382,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,4,148,66.334,59.623,6.691,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,700,2,4,149,88.455,73.582,14.853,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,4,150,71.007,63.341,7.644,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,900,2,4,151,78.35,71.855,6.471,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,4,152,97.436,81.07,16.342,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,1050,3,4,153,67.176,61.643,5.509,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,1050,3,4,154,84.679,69.923,14.733,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,350,2,4,155,78.776,62.368,16.387,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,4,156,63.037,55.629,7.387,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,900,3,4,157,97.088,83.256,13.811,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,4,158,74.41,67.75,6.637,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,120,1,4,159,84.648,64.094,20.525,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,4,160,65.39,58.435,6.931,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,900,1,4,161,93.901,77.697,16.177,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
