accelerationRowScale,spectralRadius,dominantDecayRatePerSecond,dominantTimeConstantSeconds
0.5,0.989949058270958,-0.101017934693838,9.8992322801963
1,0.977389408404206,-0.228701307055081,4.37251545641214
2,0.951576970641509,-0.496347015171408,2.01471947938412
5,0.870518968202568,-1.38665730002598,0.721158717428788
10,0.906178190622991,-0.985193138859946,1.01502939936954
