label,split,frames,precision,recall,f1,precisionTol,recallTol,f1Tol
support01,tuning,59,0.6018306636155606,0.5805739514348786,0.5910112359550562,0.6498855835240275,0.6578366445916115,0.6538369424980107
support01,interleaved,58,0.6061946902654868,0.5817409766454352,0.5937161430119177,0.6460176991150443,0.6794055201698513,0.662291084870221
support02,tuning,59,0.4765625,0.673289183222958,0.5580969807868252,0.5171875,0.7505518763796909,0.6123909311291468
support02,interleaved,58,0.5,0.6794055201698513,0.5760576057605761,0.5390625,0.7855626326963907,0.6393769017894038
support03,tuning,59,0.47344461305007585,0.6887417218543046,0.5611510791366906,0.5144157814871017,0.7858719646799117,0.6218084297899636
support03,interleaved,58,0.4822485207100592,0.692144373673036,0.5684394071490846,0.5236686390532544,0.7983014861995754,0.6324582452305719
support04,tuning,59,0.4657933042212518,0.7064017660044151,0.5614035087719298,0.5109170305676856,0.8035320088300221,0.6246543998474593
support04,interleaved,58,0.46554149085794655,0.70276008492569,0.560067681895093,0.5063291139240507,0.8067940552016986,0.6221858370855505
support05,tuning,59,0.6443850267379679,0.5320088300220751,0.5828295042321644,0.7005347593582888,0.6026490066225165,0.647915647589543
support05,interleaved,58,0.6909090909090909,0.564755838641189,0.6214953271028038,0.7428571428571429,0.6454352441613588,0.6907279559556061
support06,tuning,59,0.4806201550387597,0.6843267108167771,0.5646630236794171,0.5271317829457365,0.7836644591611479,0.6302954346662489
support06,interleaved,58,0.4954128440366973,0.6878980891719745,0.576,0.5382262996941896,0.7876857749469215,0.6394891608271756
support07,tuning,59,0.44105409153952846,0.7019867549668874,0.5417376490630323,0.4868238557558946,0.7947019867549668,0.6037800761175737
support07,interleaved,58,0.4475806451612903,0.7070063694267515,0.5481481481481482,0.4852150537634409,0.8004246284501062,0.6041787360799433
metricCore,tuning,59,0.6722488038277512,0.6203090507726269,0.6452353616532721,0.7200956937799043,0.7041942604856513,0.7120562116464896
metricCore,interleaved,58,0.6385809312638581,0.6114649681528662,0.6247288503253796,0.6829268292682927,0.7197452229299363,0.7008528076198915
smoothPeak,tuning,59,0.6533333333333333,0.6490066225165563,0.6511627906976745,0.6911111111111111,0.7593818984547461,0.7236398440221454
smoothPeak,interleaved,58,0.609704641350211,0.613588110403397,0.6116402116402117,0.6518987341772152,0.7494692144373672,0.6972872937182966
box40,tuning,59,0.47166921898928027,0.6799116997792495,0.5569620253164557,0.5130168453292496,0.7902869757174393,0.6221581255884772
box40,interleaved,58,0.4910979228486647,0.70276008492569,0.5781659388646289,0.5341246290801187,0.8365180467091295,0.6519640739480966
box50,tuning,59,0.6812865497076024,0.5143487858719646,0.5861635220125786,0.7368421052631579,0.5761589403973509,0.6466684364215556
box50,interleaved,58,0.6554621848739496,0.4968152866242038,0.5652173913043478,0.7086834733893558,0.5881104033970276,0.6427916276851393
box58,tuning,59,0.7870370370370371,0.37527593818984545,0.5082212257100149,0.8518518518518519,0.39514348785871967,0.5398636244426961
box58,interleaved,58,0.7796610169491526,0.39065817409766457,0.5205091937765205,0.847457627118644,0.4437367303609342,0.5824809787910036
