label,coreRadius,isolationRadius,minimumCoreFraction,minimumCoreIsolation,precision,recall,f1,f1Tol
support01,0.15,0.6,0.35,0.35,0.604049493813273,0.581168831168831,0.592388306674021,0.65820902973856
support02,0.18,0.6,0.55,0.35,0.48828125,0.676406926406926,0.567150635208712,0.625997767088555
support03,0.2,0.6,0.55,0.4,0.477902621722846,0.69047619047619,0.564851704293935,0.627214457402297
support04,0.2,0.6,0.45,0.4,0.465665236051502,0.704545454545455,0.560723514211886,0.623406376614836
support05,0.2,0.6,0.45,0.5,0.66798418972332,0.548701298701299,0.602495543672014,0.669697499192519
support06,0.22,0.6,0.55,0.45,0.488067744418784,0.686147186147186,0.570400359874044,0.634941819243442
support07,0.25,0.6,0.55,0.5,0.444368600682594,0.704545454545455,0.54499790707409,0.603989541854738
