variant,population,frames,accepted,rmseM,medianM,p95M,maxM,above30cm,yawRmseDeg
recursive_original_matching,all,1170,1169,0.172856271607741,0.110423140313637,0.361274765629774,0.68281122157378,76,0.531269192518242
recursive_original_matching,accepted,1169,1169,0.171913126950274,0.110402297673446,0.360324453697744,0.68281122157378,75,0.528267612126248
frozen_seed_aided_matching,all,1170,1168,0.122338148640392,0.0902936506212333,0.220096498681336,0.640312423976002,9,0.433843407242115
frozen_seed_aided_matching,accepted,1168,1168,0.12046082673036,0.090263572947373,0.219504082713798,0.402030982406239,7,0.426296548457177
fused_seed_matching,all,1169,1168,0.127901672239052,0.0903163282884471,0.227194749185195,0.640312423976002,16,0.413529717999916
fused_seed_matching,accepted,1168,1168,0.126577313205322,0.0902972829435394,0.225378504324916,0.552186725629133,15,0.409546798412635
fused_seed_aided_matching,all,1169,1167,0.117034915778359,0.0853132882131101,0.211950211216971,0.640312423976002,3,0.409978426156207
fused_seed_aided_matching,accepted,1167,1167,0.115059950563302,0.0852396046765801,0.211525499201117,0.333491352834659,1,0.401933901895544
original_fusion,all,1169,1169,0.0965750626058171,0.0610220171705862,0.195537058164798,0.640312423976002,5,0.513735262856079
original_fusion,accepted,1169,1169,0.0965750626058171,0.0610220171705862,0.195537058164798,0.640312423976002,5,0.513735262856079
feedback_fusion,all,1169,1169,0.0859851867219076,0.0509796622825481,0.177341680270183,0.640312423976002,2,0.397429495042076
feedback_fusion,accepted,1169,1169,0.0859851867219076,0.0509796622825481,0.177341680270183,0.640312423976002,2,0.397429495042076
aided_fusion,all,1169,1169,0.082155614863831,0.0506280062665531,0.167344715967965,0.640312423976002,2,0.392279359493224
aided_fusion,accepted,1169,1169,0.082155614863831,0.0506280062665531,0.167344715967965,0.640312423976002,2,0.392279359493224
gnss_only,all,1169,1169,0.0919322844200876,0.0616823310595346,0.192688547091038,0.640312423976002,3,1.4599287264436
gnss_only,accepted,1169,1169,0.0919322844200876,0.0616823310595346,0.192688547091038,0.640312423976002,3,1.4599287264436
