variant,frame,source,globalTarget,referenceDistanceM,accepted,poseErrorM
frozen_aided,950,65,1298,0.121294281509289,1,0.0575280868521346
frozen_aided,951,65,1298,0.0879495417748463,1,0.0564705343181863
frozen_aided,952,65,1298,0.0701385642154113,1,0.0607934770811562
frozen_aided,953,69,1298,0.029365790959151,1,0.0724200314866148
frozen_aided,954,49,1298,0.02079187020897,1,0.107068275055285
frozen_aided,955,45,1298,0.0364567062771833,1,0.111712462234772
frozen_aided,956,41,1298,0.0502701750594095,1,0.128759389786449
frozen_aided,957,38,1298,0.0620214396919226,1,0.143859376367082
frozen_aided,958,36,1298,0.0651159276786777,1,0.154592810869431
frozen_aided,959,43,1298,0.0740219687133706,1,0.122747284274632
feedback_only,950,65,1300,0.334847186299022,1,0.157186035879529
feedback_only,951,65,1300,0.367607741962521,1,0.179736501062659
feedback_only,952,65,1300,0.385631530835065,1,0.197433073299869
feedback_only,953,69,1298,0.029365790959151,1,0.072419253602782
feedback_only,954,49,1298,0.02079187020897,1,0.107072388990516
feedback_only,955,45,1298,0.0364567062771833,1,0.111704762326336
feedback_only,956,41,1298,0.0502701750594095,1,0.128763311377519
feedback_only,957,38,1298,0.0620214396919226,1,0.143868511974593
feedback_only,958,36,1298,0.0651159276786777,1,0.154591137927322
feedback_only,959,43,1298,0.0740219687133706,1,0.122753375848479
closed_aided,950,65,1298,0.121294281509289,1,0.0575292102385451
closed_aided,951,65,1298,0.0879495417748463,1,0.0564730758945585
closed_aided,952,65,1298,0.0701385642154113,1,0.0607931771105966
closed_aided,953,69,1298,0.029365790959151,1,0.0724180961572082
closed_aided,954,49,1298,0.02079187020897,1,0.107063608545194
closed_aided,955,45,1298,0.0364567062771833,1,0.111694530660151
closed_aided,956,41,1298,0.0502701750594095,1,0.128755527056439
closed_aided,957,38,1298,0.0620214396919226,1,0.143854621374593
closed_aided,958,36,1298,0.0651159276786777,1,0.154584627112788
closed_aided,959,43,1298,0.0740219687133706,1,0.122745891172148
