frame,seconds,confirmedComponents
354,0.052297,109
355,0.052652,110
356,0.048081,105
357,0.048482,115
358,0.05304,113
359,0.045981,108
360,0.054605,110
361,0.052808,108
362,0.050847,106
363,0.050672,102
364,0.048788,110
365,0.049513,106
366,0.047066,108
367,0.051437,107
368,0.048963,101
369,0.046981,108
370,0.051399,104
371,0.050078,102
372,0.049583,108
373,0.050833,102
374,0.053202,103
375,0.050053,102
376,0.051839,106
377,0.049583,96
378,0.052769,95
379,0.048038,102
380,0.054196,93
381,0.045642,95
382,0.045828,96
383,0.047598,100
384,0.050368,102
385,0.047277,101
386,0.051245,98
387,0.047289,92
388,0.042215,89
389,0.044952,78
390,0.043681,73
391,0.045435,83
392,0.047351,84
393,0.048458,93
394,0.047174,103
395,0.04855,99
396,0.048889,99
397,0.046535,100
398,0.049623,98
399,0.054171,95
400,0.046625,97
401,0.047696,98
402,0.044965,101
403,0.04403,104
404,0.044346,101
405,0.045519,98
406,0.046953,102
407,0.04751,104
408,0.047639,101
409,0.045496,98
410,0.048298,104
411,0.051821,101
412,0.049069,103
413,0.053369,106
414,0.048195,122
415,0.047442,137
416,0.049428,127
417,0.048075,124
418,0.045754,126
419,0.045683,108
420,0.046167,103
421,0.044258,105
422,0.050877,111
423,0.045174,109
424,0.043822,119
425,0.04306,118
426,0.044817,118
427,0.046264,115
428,0.049843,116
429,0.046737,115
430,0.048282,111
431,0.051655,108
432,0.047436,102
433,0.051876,103
434,0.049875,98
435,0.044939,104
436,0.044912,98
437,0.051519,104
438,0.046527,98
439,0.048892,97
440,0.046325,101
441,0.048334,97
442,0.043934,92
443,0.046809,97
444,0.045046,97
445,0.043065,103
446,0.040983,104
447,0.043003,101
448,0.041873,99
449,0.042764,95
450,0.043163,100
451,0.043826,107
452,0.046453,100
453,0.047337,105
454,0.052311,102
455,0.047623,103
456,0.046997,102
457,0.046229,102
458,0.049621,105
459,0.049506,107
460,0.0493,101
461,0.04872,100
462,0.052129,98
463,0.049525,97
464,0.052584,96
465,0.050164,103
466,0.049074,104
467,0.048443,104
468,0.050027,99
469,0.05037,98
470,0.055771,101
471,0.058136,95
472,0.05648,97
473,0.056364,100
474,0.050314,100
475,0.053018,91
476,0.055442,94
477,0.054281,92
478,0.05341,86
479,0.050843,89
480,0.051786,88
481,0.048516,82
482,0.053202,78
483,0.049648,78
484,0.051474,79
485,0.049749,78
486,0.049657,81
487,0.049749,80
488,0.051446,87
489,0.05015,89
490,0.0484,81
491,0.051343,71
492,0.048213,75
493,0.048094,67
494,0.047195,58
495,0.046273,60
496,0.049334,61
497,0.053087,48
498,0.050563,72
499,0.055007,78
500,0.057384,83
501,0.056852,92
502,0.051336,96
503,0.052052,93
504,0.053834,92
505,0.05509,93
506,0.055907,126
507,0.057268,134
508,0.054572,137
509,0.052758,134
510,0.05664,126
511,0.058341,132
512,0.05873,124
513,0.060064,126
514,0.053807,120
515,0.054,123
516,0.054958,122
517,0.054667,127
518,0.054745,126
519,0.054932,127
520,0.055149,119
521,0.055153,118
522,0.05926,118
523,0.058616,109
524,0.054181,107
525,0.05707,97
526,0.052837,97
527,0.055888,94
528,0.05497,94
529,0.059309,91
530,0.056132,100
531,0.056763,107
532,0.062889,111
533,0.054397,115
534,0.058475,116
535,0.056201,124
536,0.05875,122
537,0.06181,112
538,0.063285,113
539,0.06143,112
540,0.060805,111
541,0.065116,112
542,0.068174,104
543,0.063619,111
544,0.059541,111
545,0.057322,107
546,0.06151,110
547,0.06337,113
548,0.05685,112
549,0.060158,112
550,0.059492,110
551,0.061284,114
552,0.060538,113
553,0.058489,121
554,0.057426,118
555,0.060388,111
556,0.057489,111
557,0.059014,104
558,0.058738,100
559,0.067206,100
560,0.063323,100
561,0.059172,100
562,0.059941,102
563,0.059295,104
564,0.060372,106
565,0.058788,104
566,0.059361,108
567,0.057816,101
568,0.056802,105
569,0.059742,104
570,0.056039,109
571,0.06148,117
572,0.053363,118
573,0.058918,124
574,0.06348,122
575,0.053377,117
576,0.057833,117
577,0.058895,109
578,0.055479,94
579,0.053604,86
580,0.055047,85
581,0.058273,75
582,0.057205,78
583,0.058005,89
584,0.065914,93
585,0.060732,99
586,0.060661,98
587,0.065671,97
588,0.058619,91
589,0.0643,86
