frame,aidUsed,candidates,selected,maxRelativeSupport,validCandidates,maxModeSecondMoment
205,1,2,1,1,2,0
206,1,2,2,0.723353648933371,2,0.00289860340490959
207,1,2,2,1,2,0
208,1,2,2,1,2,0
209,1,2,2,1,2,0
210,1,2,2,1,2,0
211,1,2,1,1,2,0
212,1,2,2,0.56577494177305,2,0.00492571743852869
213,1,1,1,1,1,0
214,1,1,1,1,1,0
215,1,1,1,1,1,0
216,1,1,1,1,1,0
217,1,1,1,1,1,0
218,1,1,1,1,1,0
219,1,1,1,1,1,0
220,1,1,1,1,1,0
221,1,1,1,1,1,0
222,1,1,1,1,1,0
223,1,2,2,1,2,0
224,1,2,2,1,2,0
225,1,2,2,0.551087319352116,2,0.00111607237550493
226,1,2,2,1,2,0
227,1,2,2,1,2,0
228,1,2,2,1,2,0
229,1,2,1,1,2,0
230,1,2,1,1,2,0
231,1,2,2,1,2,0
232,1,2,1,1,2,0
233,1,2,2,1,2,0
234,1,2,1,1,2,0
235,1,2,2,1,2,0
236,1,2,2,1,2,0
237,1,2,2,1,2,0
238,1,1,1,1,1,0
239,1,1,1,1,1,0
240,1,1,1,1,1,0
241,1,1,1,1,1,0
242,1,1,1,1,1,0
243,1,1,1,1,1,0
244,1,1,1,1,1,0
245,1,1,1,1,1,0
246,1,1,1,1,1,0
247,1,1,1,1,1,0
248,1,1,1,1,1,0
249,1,1,1,1,1,0
250,1,1,1,1,1,0
251,1,1,1,1,1,0
252,1,1,1,1,1,0
253,1,1,1,1,1,0
254,1,1,1,1,1,0
255,1,1,1,1,1,0
256,1,1,1,1,1,0
257,1,1,1,1,1,0
258,1,1,1,1,1,0
259,1,1,1,1,1,0
260,1,1,1,1,1,0
261,1,1,1,1,1,0
262,1,1,1,1,1,0
263,1,1,1,1,1,0
264,1,1,1,1,1,0
265,1,1,1,1,1,0
266,1,1,1,1,1,0
267,1,2,2,1,2,0
268,1,2,2,0.71731102503046,2,0.0138173089871985
269,1,1,1,1,1,0
270,1,1,1,1,1,0
271,1,1,1,1,1,0
272,1,1,1,1,1,0
273,1,1,1,1,1,0
274,1,1,1,1,1,0
275,1,1,1,1,1,0
276,1,1,1,1,1,0
277,1,1,1,1,1,0
278,1,1,1,1,1,0
279,1,1,1,1,1,0
280,1,1,1,1,1,0
281,1,1,1,1,1,0
282,1,1,1,1,1,0
283,1,2,1,1,2,0
284,1,2,2,1,2,0
285,1,2,2,0.614595368943319,2,0.0011518645715826
286,1,1,1,1,1,0
287,1,1,1,1,1,0
288,1,1,1,1,1,0
289,1,1,1,1,1,0
290,1,1,1,1,1,0
291,1,1,1,1,1,0
292,1,1,1,1,1,0
293,1,2,1,1,2,0
294,1,2,1,1,2,0
295,1,2,2,1,2,0
296,1,2,2,1,2,0
297,1,2,2,1,2,0
298,1,2,2,1,2,0
299,1,2,2,1,2,0
300,1,2,2,1,2,0
301,1,2,1,1,2,0
