frame,originalM,frozenAidedM,frozenAccepted,feedbackM,closedAidedM,originalFusionM,aidedFusionM
1,0.640312423976002,0.640312423976002,0,0.640312423976002,0.640312423976002,0.640312423976002,0.640312423976002
2,0.0922447129909101,0.0922446890402522,1,0.0922447121943671,0.0922446890068914,0.431858044691537,0.431858042352315
3,0.0926799983031066,0.0926799983348161,1,0.0926805674041768,0.0926809957014265,0.285858769716065,0.285858984995519
4,0.0925565778467366,0.0925565778467366,1,0.0925595715818323,0.0925595715818323,0.190125868828783,0.190126509444424
5,0.0949183431779253,0.0949183431542088,1,0.0714279311828541,0.0949203832304581,0.130110517103081,0.130110765478865
6,0.102653170912721,0.102653170929769,1,0.0810413734542056,0.102656868394848,0.096585558181135,0.0965778945867509
7,0.108766034397792,0.108765603732378,1,0.0838618018381239,0.108766943699033,0.0796385047276345,0.0796191142878844
8,0.104870349869055,0.10486681844606,1,0.0817952481858973,0.104867952067618,0.0709067715745481,0.0708807121023797
9,0.105524437694327,0.105524058807498,1,0.0774140809611738,0.105524989967209,0.0666595705301962,0.0666240750851118
10,0.0972497600063243,0.0972497600063243,1,0.0687786029853972,0.0687793284601176,0.0628419466698129,0.0590141967373123
11,0.0718298538165633,0.0718298538165633,1,0.0501048890966546,0.050105670855655,0.0556511459598091,0.0501905617097636
12,0.0545955474024624,0.0545955474024624,1,0.0334264341706308,0.0334269525795735,0.047638419965143,0.040950151190724
13,0.0292266078901316,0.0292266073249517,1,0.0292260467936744,0.0562805101113081,0.0349380264074461,0.0356316106556458
14,0.0307842629708401,0.0385300402680629,1,0.0307791633901476,0.0385306417637793,0.0250085305806188,0.0296749324674631
15,0.0103478548419929,0.0443061574919611,1,0.0103392724971722,0.0443128165011186,0.0192082160314345,0.0264763076983851
16,0.00421002055447637,0.0449998691895636,1,0.00420827696807981,0.0450012654921097,0.0161937547422463,0.0251044765799955
17,0.012486458240155,0.0513237015855208,1,0.0124879099835388,0.051328879321051,0.0159484849835721,0.0257047144188157
18,0.0154220998124307,0.0154266702426167,1,0.0154205663528368,0.0154269733350603,0.0167922306004732,0.0232959709279002
19,0.00433826862751229,0.00434306026241748,1,0.00433971453052015,0.00434036936481534,0.0171333554044361,0.0215385552522592
20,0.00834746650717868,0.00835155673618954,1,0.00835072614977293,0.00835183502425626,0.0175437811243432,0.0204436127714996
21,0.0071557953187891,0.00715321334954833,1,0.00715454823926827,0.0071533509342999,0.0180416335883891,0.0199191900411174
22,0.0131680437055474,0.0131659137074873,1,0.0131672638084775,0.0131660139067878,0.0182875344726579,0.0194866134876087
23,0.02201578084088,0.0306863493493409,1,0.0220148581112403,0.0306863616735741,0.0185817021508144,0.0201949083794184
24,0.0259734375786654,0.0259744907685199,1,0.0259735924526572,0.0259744976477429,0.0195871125924473,0.020639740960253
25,0.026392658751027,0.0263897060982649,1,0.026390359805184,0.0263897102750504,0.0204198224304088,0.0211009020517035
26,0.0265692731904674,0.0187239724668379,1,0.0187240367454798,0.0187239742412675,0.0220204126603217,0.0226635543001576
27,0.0388123924574225,0.0388120709436614,1,0.0388120721676274,0.0388120720326988,0.020807952163968,0.0212003298785029
28,0.0436777109976418,0.0313870532731191,1,0.0313857615607775,0.0313857671062278,0.0182726019410893,0.0191386127608368
29,0.0399340592688377,0.0399368520655215,1,0.0399334250671935,0.0413004185530009,0.0191030974477108,0.0206310346676702
30,0.056320213015003,0.0563202126625043,1,0.0563201748502932,0.0563201782783884,0.0252795297586449,0.0261832951612914
31,0.0589502232300751,0.058948960251529,1,0.0589522992577602,0.0589487850809724,0.0293551999941206,0.029921504148864
32,0.0484144182847386,0.0484046704200587,1,0.0484085213548688,0.0484025582225813,0.032378871564316,0.0327414529542705
33,0.058412738158447,0.0584033860027412,1,0.0584082307231506,0.0584007378440419,0.0341694498743195,0.0343682874950087
34,0.0598039103579716,0.0597972603093423,1,0.0597960154366293,0.0597960468996126,0.0343914219796594,0.0344958449445294
35,0.0577121108878764,0.057697661845088,1,0.0577041773465385,0.0576975624548392,0.0338842348294321,0.0339376027822155
36,0.0600756109853553,0.0600756109853553,1,0.0600756193248691,0.0600756203499016,0.0359505814192068,0.0359815718314186
37,0.0621901772249971,0.0621889918324535,1,0.0621802852819791,0.0621803269785694,0.0360704416983462,0.0360876396753833
38,0.0597178917419798,0.0597084650708886,1,0.0597027813650396,0.0597028025196435,0.0361067907849165,0.0361167299435938
39,0.0564606023613022,0.0564594951280715,1,0.0564548774567993,0.0564548918263241,0.0345544953815296,0.0345610541079472
40,0.0555857264696761,0.0555857264696761,1,0.0555828929507265,0.0555829025717711,0.0321113555125285,0.0321169959076965
41,0.048347008724803,0.030349387226797,1,0.0483468661033086,0.0303494360506328,0.0305627065077232,0.0342584802190221
42,0.0524179992703317,0.0519294060563359,1,0.0524155937915627,0.0519292423774576,0.0316860832757905,0.0383784221536039
43,0.0554915747699457,0.0394126311913637,1,0.0394041606050865,0.0394127491951117,0.0323130606824568,0.0403265287957908
44,0.044160247346988,0.0449651409453458,1,0.0449634630044156,0.0449655770791365,0.0334176859348068,0.0431364415778318
45,0.0466288792363231,0.046871626165305,1,0.0468701472106707,0.0468701768747369,0.0349167107168388,0.0452669964983195
46,0.0448480491781359,0.0491862276017375,1,0.0491798636346277,0.0491799685608361,0.0363176700259316,0.0438402051129937
47,0.0300599507757089,0.0300563629140642,1,0.0300560374758884,0.0300560614003307,0.037635451069482,0.0427980859234229
48,0.0380299848998529,0.0407181134320435,1,0.0380367789509475,0.0407181827735813,0.0375465548052764,0.0413529083648057
49,0.0413171706748476,0.0413233159546314,1,0.0413188323886239,0.0413233522895224,0.0371133549169188,0.0396504496680696
50,0.0272272900191796,0.0272304357708446,1,0.0272138931909361,0.0272305652039397,0.0365354289834295,0.0382331572883421
51,0.0263528323289788,0.0263611898338161,1,0.0263571488269704,0.0263612422059954,0.0368553582213101,0.0379803632567708
52,0.0351502620797089,0.0351570387167429,1,0.0351473593630451,0.0351570305331824,0.037788286115505,0.0385158568295193
53,0.0320483840738348,0.0320511051018626,1,0.0320444926819831,0.0320445861953426,0.0383998690126681,0.0388776533385615
54,0.0301180601560491,0.0301180601560491,1,0.0301143963601335,0.0301144752203145,0.0380572999697212,0.0383772954131309
55,0.0228305127767516,0.0473179535113139,1,0.0228394901702958,0.0228395339656914,0.037226322328975,0.0374419088496424
56,0.0269366182958253,0.0478931867721506,1,0.0269371633920621,0.0269371868386386,0.0357819310583717,0.0359242783049832
57,0.0276187565187265,0.0489468751071252,1,0.027619128809732,0.0276191406028568,0.0349286775738756,0.0350240642755471
58,0.0289110669572487,0.0289110669572487,1,0.0289169566552441,0.0289169659620917,0.0329528888811658,0.0330164696383636
59,0.0200433324814095,0.0200453824814148,1,0.0200443021919251,0.0200443047672709,0.0309984210438498,0.0310414593025949
60,0.0272898092472442,0.0272916964598206,1,0.0272897236687858,0.0272897251016285,0.0293650239648423,0.0293940323850999
61,0.0233307864437171,0.0233292635263659,1,0.0233278971131231,0.0233292360381119,0.0285529748254402,0.0285728101057204
62,0.0233289635266309,0.0233275756628818,1,0.0233256352082318,0.0233256304062857,0.0281940428434209,0.0282077395576241
63,0.0254732482240557,0.025472509511719,1,0.0254722022344627,0.0254722013733188,0.0284433390121545,0.028452929187314
64,0.0197845200762539,0.0322649041172335,1,0.0322532889201245,0.0322532932466863,0.0296580365606835,0.032075281948131
65,0.0213079254942086,0.0333606922093643,1,0.0333515799921731,0.0333515824911317,0.029828692356425,0.0336825630833921
66,0.0162914647353142,0.0295797261854228,1,0.0295768329951292,0.029576835098329,0.0314311125066455,0.0355008779755608
67,0.0315683788460806,0.0315791680463728,1,0.0315739780194241,0.0315739790596756,0.0339260440354416,0.0365135808337297
