method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,1050,1,1,1,66.413,60.446,5.948,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,1,2,63.397,57.097,6.282,1,accepted,9,484567.744671438,4976643.22878636,0.130099583961663
baseline,550,3,1,3,71.882,65.734,6.127,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,1,4,71.965,66.095,5.851,1,accepted,5,484318.962687318,4976932.61300383,-1.20160717375879
baseline,900,2,1,5,76.632,69.509,7.101,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,1,6,74.9,68.632,6.249,1,accepted,7,484396.929362611,4976621.57990651,0.080828694240269
baseline,900,3,1,7,71.341,64.511,6.806,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,1,8,75.991,69.553,6.418,1,accepted,7,484396.929370908,4976621.57989948,0.0808291910972212
baseline,550,1,1,9,75.964,69.835,6.11,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,1,10,80.882,73.342,7.52,1,accepted,6,484318.962702742,4976932.6130101,-1.20160731710632
baseline,900,1,1,11,77.79,71.494,6.276,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,1,12,73.614,65.867,7.725,1,accepted,7,484396.929373517,4976621.57989727,0.0808293473814087
optimized,260,1,1,13,61.846,56.321,5.506,1,accepted,6,484229.74607375,4977312.00892775,-1.34325284674689
baseline,260,1,1,14,64.427,58.9,5.508,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,700,1,1,15,73.951,68.444,5.487,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,1,16,73.901,68.268,5.613,1,accepted,6,484338.416542136,4976756.31465472,-1.68420390083657
baseline,350,3,1,17,68.491,59.941,8.527,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,1,18,67.176,60.679,6.478,1,accepted,6,484253.513802062,4977184.32301768,-1.50048700329925
baseline,260,3,1,19,60.991,54.305,6.665,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,20,60.943,53.385,7.536,1,accepted,7,484229.746076659,4977312.00893592,-1.34325289609273
baseline,700,3,1,21,70.897,65.838,5.039,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,1,22,73.244,67.774,5.449,1,accepted,5,484338.416533011,4976756.31465603,-1.68420417830009
baseline,550,2,1,23,74.717,67.794,6.902,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,1,24,72.384,65.552,6.815,1,accepted,7,484318.962687536,4976932.61300397,-1.20160709812633
optimized,350,1,1,25,60.316,52.824,7.468,1,accepted,6,484253.5138075,4977184.32301833,-1.50048669051772
baseline,350,1,1,26,63.118,55.833,7.263,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,260,2,1,27,61.055,54.845,6.186,1,accepted,8,484229.746083516,4977312.00893911,-1.34325425495361
baseline,260,2,1,28,65.218,58.201,6.996,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,700,2,1,29,67.381,61.488,5.875,1,accepted,7,484338.41653501,4976756.31465577,-1.68420411746847
baseline,700,2,1,30,68.228,61.449,6.756,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,1050,2,1,31,66.351,60.091,6.235,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,1,32,72.729,65.516,7.193,1,accepted,8,484567.744675421,4976643.22880354,0.130098199399703
baseline,120,3,1,33,66.955,58.981,7.953,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,1,34,68.272,60.595,7.655,1,accepted,7,484199.299964952,4977468.70882245,-1.10663759997524
optimized,350,2,1,35,66.934,60.007,6.91,1,accepted,7,484253.513801978,4977184.32301979,-1.50048698823153
baseline,350,2,1,36,65.239,57.07,8.146,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,120,1,1,37,69.166,60.873,8.273,1,accepted,8,484199.299975088,4977468.70882965,-1.10663732442017
baseline,120,1,1,38,65.525,57.321,8.182,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,1050,3,1,39,74.037,67.92,6.099,1,accepted,7,484567.744672978,4976643.22879299,0.130099049219898
baseline,1050,3,1,40,67.524,60.585,6.918,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,120,2,1,41,66.115,58.53,7.566,1,accepted,8,484199.342380273,4977468.71796395,-1.10937061277174
baseline,120,2,1,42,72.595,64.396,8.176,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,1050,3,2,43,74.808,68.513,6.274,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,2,44,68.777,61.96,6.797,1,accepted,7,484567.744672978,4976643.22879299,0.130099049219898
baseline,700,1,2,45,67.988,62.112,5.857,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,2,46,69.138,63.493,5.625,1,accepted,6,484338.416542136,4976756.31465472,-1.68420390083657
optimized,120,3,2,47,63.498,56.7,6.779,1,accepted,7,484199.299964952,4977468.70882245,-1.10663759997524
baseline,120,3,2,48,68.94,60.628,8.289,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,260,3,2,49,66.298,60.146,6.132,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,2,50,64.093,57.145,6.925,1,accepted,7,484229.746076659,4977312.00893592,-1.34325289609273
optimized,1050,1,2,51,74.69,66.907,7.754,1,accepted,9,484567.744671438,4976643.22878636,0.130099583961663
baseline,1050,1,2,52,65.829,59.773,6.035,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,900,2,2,53,71.561,64.955,6.587,1,accepted,7,484396.929362611,4976621.57990651,0.080828694240269
baseline,900,2,2,54,74.956,67.579,7.354,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,3,2,55,73.417,66.1,7.295,1,accepted,7,484396.929370908,4976621.57989948,0.0808291910972212
baseline,900,3,2,56,74.843,68.943,5.88,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,550,2,2,57,77.959,71.684,6.255,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,58,75.854,68.175,7.656,1,accepted,7,484318.962687536,4976932.61300397,-1.20160709812633
baseline,350,3,2,59,65.82,58.714,7.086,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,59.603,52.478,7.105,1,accepted,6,484253.513802062,4977184.32301768,-1.50048700329925
optimized,350,2,2,61,67.886,57.128,10.737,1,accepted,7,484253.513801978,4977184.32301979,-1.50048698823153
baseline,350,2,2,62,65.928,58.113,7.792,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,1,2,63,62.583,56.088,6.478,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,64,63.508,57.141,6.349,1,accepted,6,484253.5138075,4977184.32301833,-1.50048669051772
optimized,700,3,2,65,71.189,65.197,5.971,1,accepted,5,484338.416533011,4976756.31465603,-1.68420417830009
baseline,700,3,2,66,68.945,62.684,6.237,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,900,1,2,67,73.807,67.077,6.71,1,accepted,7,484396.929373517,4976621.57989727,0.0808293473814087
baseline,900,1,2,68,74.287,67.02,7.245,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,2,69,63.165,57.715,5.425,1,accepted,6,484229.74607375,4977312.00892775,-1.34325284674689
baseline,260,1,2,70,64.758,58.714,6.024,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
