pyramid,level,mapRadiusM,sourceRadiusM,frozenRmseCm,frozenAbove30cm,ceilingRmseCm,loopRmseCm,loopP95Cm,loopMaxCm,loopAbove30cm,loopAbove50cm,loopFrame851Cm,msPerFrame
1.5/0.5,1,1.5,0.5,13.0010114882511,17,12.99624429862,13.0056582436385,22.2572784881733,36.2496558108362,17,0,14.8697427768313,8.35383931623932
2.0/0.5,1,2,0.5,13.0262799383321,16,13.0220244030674,13.0311570964568,22.3729913508885,36.2496558108362,16,0,14.8697427768313,6.22322478632478
1.5/0.5 -> 0.8/0.3,1,1.5,0.5,13.0010114882511,17,12.99624429862,13.0045841212984,22.2575274531519,36.2495966269186,17,0,14.8683903748148,11.6380017094017
1.5/0.5 -> 0.8/0.3,2,0.8,0.3,13.2100661550058,27,13.2086170361918,13.2115044651019,23.2249106456397,54.0613204758625,27,1,3.57549803670969,11.6380017094017
2.0/0.5 -> 0.0/0.0,1,2,0.5,13.0262799383321,16,13.0220244030674,13.0255572379065,22.373040962486,36.2495268422492,16,0,14.8690120049379,12.546347008547
2.0/0.5 -> 0.0/0.0,2,0,0,12.7860613802793,22,12.7876448637063,12.7867961643597,23.3895869534729,44.2570381452487,22,0,4.89819696258216,12.546347008547
1.5/0.5 -> 0.0/0.0,1,1.5,0.5,13.0010114882511,17,12.99624429862,13.0002866721083,22.2559855112177,36.2495268422492,17,0,14.8690120049379,12.5734128205128
1.5/0.5 -> 0.0/0.0,2,0,0,13.0773185399888,27,13.0788682662083,13.078037070863,23.7526234656988,53.0923907284944,27,1,4.89819696258216,12.5734128205128
