frame,currentErrorM,currentAccepted,alias_selectErrorM,alias_selectAccepted,alias_trackErrorM,alias_trackAccepted
1,0.640312423976002,0,0.640312423976002,0,0.640312423976002,0
2,0.0922430870503347,1,0.0922431196784343,1,0.0922431196784343,1
3,0.0926785257788798,1,0.0926814132861536,1,0.0926814132861536,1
4,0.0925724873489899,1,0.0925776417452633,1,0.0925776417452633,1
5,0.0949738347918856,1,0.0949758414040964,1,0.0949758414040964,1
6,0.102746649836902,1,0.102746021738733,1,0.102746021738733,1
7,0.108833888488254,1,0.108833690346919,1,0.108833690346919,1
8,0.104955765090398,1,0.104952302406139,1,0.104952302406139,1
9,0.105598512159387,1,0.105598546055358,1,0.105598546055358,1
10,0.0973357229971645,1,0.0973332394388309,1,0.0973332394388309,1
11,0.0718838415589802,1,0.0718837123528431,1,0.0718837123528431,1
12,0.0546249043873225,1,0.063865719367919,1,0.063865719367919,1
13,0.0294439735380881,1,0.056278275687162,1,0.056278275687162,1
14,0.0309230503737418,1,0.0385465942174105,1,0.0385465942174105,1
15,0.0103924100584584,1,0.0513199849764967,1,0.0513199849764967,1
16,0.00405592104870046,1,0.0450786252762701,1,0.0450786252762701,1
17,0.0123947128811014,1,0.0249390321950762,1,0.0249390321950762,1
18,0.0151157977237078,1,0.0151246708520815,1,0.0151246708520815,1
19,0.00472584356675747,1,0.00472548753526893,1,0.00472548753526893,1
20,0.00716796628588864,1,0.0583322846787101,1,0.0583322846787101,1
21,0.00532529280485141,1,0.00533466094103223,1,0.00533466094103223,1
22,0.0111535173147194,1,0.0111536731966723,1,0.0111536731966723,1
23,0.0189528991137164,1,0.0189529002805725,1,0.0189529002805725,1
24,0.02199996309021,1,0.0219998396809442,1,0.0219998396809442,1
25,0.0220380342034743,1,0.022033216123264,1,0.022033216123264,1
26,0.0211565401158193,1,0.0211448368730605,1,0.0211448368730605,1
27,0.0343698776472953,1,0.0343688757441818,1,0.0343688757441818,1
28,0.0408295308110958,1,0.0408295304196029,1,0.0408295304196029,1
29,0.0345336868221794,1,0.0345348488235501,1,0.0345348488235501,1
30,0.0481398539287885,1,0.0481398020754461,1,0.0481398020754461,1
31,0.0508676847575176,1,0.0508643279483323,1,0.0508643279483323,1
32,0.0420989037267692,1,0.0420826789281013,1,0.0420826789281013,1
33,0.0512196183362215,1,0.0606225950796067,1,0.0606225950796067,1
34,0.0512927757631981,1,0.0618068731324637,1,0.0618068731324637,1
35,0.0512234702761172,1,0.0512184482813637,1,0.0512184482813637,1
36,0.054337333064255,1,0.0543363665398909,1,0.0543363665398909,1
37,0.0565297277983185,1,0.0565189769742117,1,0.0565189769742117,1
38,0.0537894704711933,1,0.0537792532134976,1,0.0537792532134976,1
39,0.050747524424171,1,0.0507493916870177,1,0.0507493916870177,1
40,0.0512356270100696,1,0.0512360743380113,1,0.0512360743380113,1
41,0.0450429427308063,1,0.0273875707003171,1,0.0273875707003171,1
42,0.0504616847578004,1,0.0522741151318261,1,0.0522741151318261,1
43,0.0550640660448483,1,0.0550682797236935,1,0.0550682797236935,1
44,0.0444575215578686,1,0.0451660417412559,1,0.0451660417412559,1
45,0.0474043202334258,1,0.0474580018619724,1,0.0474580018619724,1
46,0.045298017901659,1,0.0496448958469589,1,0.0496448958469589,1
47,0.0318086893336037,1,0.031810587845971,1,0.031810587845971,1
48,0.0411668094102755,1,0.0438914103221003,1,0.0438914103221003,1
49,0.0447710333433779,1,0.0447676503725172,1,0.0447676503725172,1
50,0.0301537162314586,1,0.0358204453071641,1,0.0358204453071641,1
51,0.029414972064722,1,0.0294163029996217,1,0.0294163029996217,1
52,0.0364541859821754,1,0.036451771053246,1,0.036451771053246,1
53,0.0330374470484293,1,0.0330370291355162,1,0.0330370291355162,1
54,0.0319354279498713,1,0.0319354302485192,1,0.0319354302485192,1
55,0.0248789104984826,1,0.0491740451503439,1,0.0491740451503439,1
56,0.0285228265219602,1,0.0493415469744619,1,0.0493415469744619,1
57,0.0289787585392501,1,0.0289813617302041,1,0.0289813617302041,1
58,0.0303847071616638,1,0.0303847149746919,1,0.0303847149746919,1
59,0.0206844365246669,1,0.0206854433186649,1,0.0206854433186649,1
60,0.0270666090495797,1,0.0270666795010041,1,0.0270666795010041,1
61,0.0223755588839063,1,0.0223730266119111,1,0.0223730266119111,1
62,0.0192480106703295,1,0.0192477454091981,1,0.0192477454091981,1
63,0.019140820554731,1,0.0191400636325565,1,0.0191400636325565,1
64,0.0124132281516434,1,0.012413227033898,1,0.012413227033898,1
65,0.0158976271621989,1,0.0158976271621989,1,0.0158976271621989,1
66,0.0152762270707008,1,0.030441992353147,1,0.030441992353147,1
67,0.0326408155166533,1,0.0326342394739429,1,0.0326342394739429,1
68,0.0167278059196593,1,0.0167199901263287,1,0.0167199901263287,1
69,0.0157093973634262,1,0.0157286741430642,1,0.0157286741430642,1
70,0.00734390737164936,1,0.0073443509747276,1,0.0073443509747276,1
71,0.00646045666309144,1,0.00645332359476191,1,0.00645332359476191,1
72,0.0203148854593456,1,0.0203148854037401,1,0.0203148854037401,1
73,0.0091580025908125,1,0.00792624772405706,1,0.00792624772405706,1
74,0.0291772395817574,1,0.0291772484788474,1,0.0291772484788474,1
75,0.0410228968716543,1,0.0410252829094866,1,0.0410252829094866,1
76,0.0603341652826539,1,0.0603395575147564,1,0.0603395575147564,1
77,0.0872268956796838,1,0.0872268985422047,1,0.0872268985422047,1
78,0.0811441684400249,1,0.0840320682879007,1,0.0840320682879007,1
79,0.0911586295364723,1,0.0911615393585623,1,0.0911615393585623,1
80,0.082106148132921,1,0.0821061488482608,1,0.0821061488482608,1
81,0.0701117718807368,1,0.0701117718807368,1,0.0701117718807368,1
82,0.0739236829525202,1,0.0773359797302973,1,0.0773359797302973,1
83,0.0851127827624888,1,0.0851153367034872,1,0.0851153367034872,1
84,0.09232117541693,1,0.0980513083842553,1,0.0980513083842553,1
85,0.100662375534418,1,0.103115958701851,1,0.103115958701851,1
86,0.114981918472178,1,0.11497560443432,1,0.11497560443432,1
87,0.115001988827199,1,0.115009568963752,1,0.115009568963752,1
88,0.114980712755901,1,0.114978396173083,1,0.114978396173083,1
89,0.114039041446819,1,0.114042721159322,1,0.114042721159322,1
90,0.111606918796398,1,0.111620658458942,1,0.111620658458942,1
91,0.105296677375241,1,0.105295380865382,1,0.105295380865382,1
92,0.0924554295055357,1,0.0924554294590747,1,0.0924554294590747,1
93,0.0949894200614741,1,0.0949960768138271,1,0.0949960768138271,1
94,0.0795157703759261,1,0.0795141496656496,1,0.0795141496656496,1
95,0.0869093220257377,1,0.0869156832561802,1,0.0869156832561802,1
96,0.0959197941374383,1,0.0959197950112055,1,0.0959197950112055,1
97,0.0984914195371008,1,0.0984884611880775,1,0.0984884611880775,1
98,0.0853543643847462,1,0.080003632079891,1,0.080003632079891,1
99,0.083512312536375,1,0.0774372035793328,1,0.0774372035793328,1
100,0.0695492471892291,1,0.0620458745924031,1,0.0620458745924031,1
101,0.0542194544245215,1,0.0462603662234081,1,0.0462603662234081,1
