frame,truthErrM,aliasErrM,truthSim,truthCost,truthPairs,truthMatchedFraction,truthMeanQ,truthCurbQ,truthPoleQ,truthSignQ,aliasSim,aliasCost,aliasPairs,aliasMatchedFraction,aliasMeanQ,aliasCurbQ,aliasPoleQ,aliasSignQ,truthHSim,truthHCostSum,truthHCostMax,aliasHSim,aliasHCostSum,aliasHCostMax
164,0.164761502784324,0.473206869121493,0.477900429965846,0.786328363868149,97,0.989795918367347,1.40420777982328,1.27021274157088,1.9172705579257,3.35207023058368,0.40909256115552,0.900335911368546,97,0.989795918367347,2.07599093968982,2.03928880933139,0.990755034432784,3.59013715820387,0.477900429947352,1.56143169082006,1.49636626077027,0.409092561151732,3.64581843647552,1.34792879586013
165,0.10594143208692,0.487107334055265,0.438933934346541,0.708416709125848,92,0.989247311827957,1.63542756999473,1.67238704931216,1.5252464746688,0.784197307983179,0.389692382727854,0.911585595311436,92,0.989247311827957,2.2217209406652,2.17699810947447,3.33813092284926,1.61327691036572,0.438933934319337,3.31422054476507,2.56261581495582,0.389692382697381,4.89584738152877,2.1664917949263
166,0.13766001218601,0.57752514917067,0.617230468919781,0.738682426491587,87,0.988636363636364,1.73488061459572,1.74777844709905,1.88648309785798,0.070848416273672,0.507300215503973,1.1292633216382,87,0.988636363636364,2.35494416913679,2.32829135561526,3.28719864653472,0.811456968311069,0.617230468939476,2.82820599160002,2.15458417081797,0.507300215552512,4.98948645549523,1.7777967241196
167,0.168758904626035,0.587767642935913,0.644832308106823,0.584857182464396,96,1,1.6292030033608,1.64691236799784,1.62635124602379,0.0496189727120606,0.457322313433862,1.13941421840745,96,1,1.69166710922891,1.61375578339844,3.21020537106872,1.11099512477181,0.64483230813318,0.528772261076874,0.447775163287738,0.4573223134965,1.99252768859424,1.96683888539458
168,0.172981157541699,0.572019725484252,0.548616898826964,0.572619923643393,100,1,1.54819638740483,1.55076966741882,2.01460689811958,0.0305939746173864,0.36746163091477,1.16641763065625,100,1,1.76623574333162,1.56773693241247,4.81923377852254,1.73818694004015,0.548616898830859,3.94991125791145,1.8962846273628,0.57830449262236,2.98974864766182,1.73087546343218
175,0.0578773258818984,0.402686186565113,0.626211258501791,0.531319295934186,99,1,2.40439929737672,2.46410243861745,1.5981179362168,0.0174294653876488,0.664721413647812,0.413762614974923,99,1,1.91539969797899,1.94582249606636,1.66830622704306,0.0440305615097958,0.626211258504094,0.0409387853238846,0.0382705218664774,0.664721413644003,0.575465603455294,0.56497531542734
176,0.0420315537019006,0.385960904400474,0.515300679914907,0.573847505870347,92,1,2.80630981567636,2.94917051538067,1.35812441713297,0.355193574602002,0.514006832326348,0.574430921875305,92,1,2.06532381583204,2.08912929742958,2.23208772138093,0.63668108406417,0.5153006799146,0.354730802705712,0.283115195281504,0.5140068323246,2.50673773666123,1.66736279131992
177,0.0474125013243188,0.377994838575176,0.55592154216899,0.514389146025113,91,1,2.74261232237304,2.90336911790661,0.522796390438638,0.35008037606514,0.527015083343579,0.58793821236841,91,1,1.9711393469542,2.03097264745508,1.32824876284549,0.714005243884075,0.555921542153124,0.140954629892489,0.0685299194409082,0.527015083394392,0.786258820840764,0.680507469656712
178,0.0612431968824172,0.362599868748925,0.528163605088153,0.521732030520291,93,0.98936170212766,3.03389208671814,3.2125069356343,0.497929550445525,0.336071231410141,0.485043735388718,0.647606183677485,93,0.98936170212766,2.31681104793583,2.40595614222777,1.1640948958475,0.744431750413194,0.528163605077723,0.525511475126762,0.504993759611799,0.485043735291937,1.6013572957214,1.59024830561825
196,0.050845408223875,0.365852678728544,0.548170036077066,0.55308097373255,100,1,1.53889217256698,1.57931497243403,0.880832750119567,0.330963874986507,0.61875351145691,0.420779268692406,100,1,0.962490144023348,0.96615740884057,1.07178165395099,0.176933946676634,0.548170036066851,0.110042088307749,0.0526868850408991,0.618753511467384,0.961651233430134,0.863042138568351
