frame,alias_screenErrorM,alias_screenAccepted
1,0.640312423976002,0
2,0.0922430870503347,1
3,0.0926785257788798,1
4,0.0925724873489899,1
5,0.0949738347918856,1
6,0.102746649836902,1
7,0.108833888488254,1
8,0.104955765090398,1
9,0.105598512159387,1
10,0.0973357229971645,1
11,0.0718838415589802,1
12,0.0546249043873225,1
13,0.0562782747480649,1
14,0.0385465942174105,1
15,0.0513199849764967,1
16,0.00405356983549679,1
17,0.05134956873566,1
18,0.0151229257448907,1
19,0.00472584290311233,1
20,0.00716796628588864,1
21,0.00532529280485141,1
22,0.0111535173147194,1
23,0.0189528991137164,1
24,0.02199996309021,1
25,0.0220380342034743,1
26,0.0211565401158193,1
27,0.0343698776472953,1
28,0.0408295308110958,1
29,0.0345348488235501,1
30,0.0481398539287885,1
31,0.0508676847575176,1
32,0.0420989037267692,1
33,0.0512196183362215,1
34,0.0512927757631981,1
35,0.0512234702761172,1
36,0.054337333064255,1
37,0.0565297277983185,1
38,0.0537894704711933,1
39,0.050747524424171,1
40,0.0512356270100696,1
41,0.0273875707003171,1
42,0.0506128010893269,1
43,0.0390995034688185,1
44,0.0451660851092824,1
45,0.0474582386865733,1
46,0.0496448958469589,1
47,0.0318106431491838,1
48,0.0411668104152072,1
49,0.0447710333433779,1
50,0.0301537162314586,1
51,0.029414972064722,1
52,0.0364541859821754,1
53,0.0330374470484293,1
54,0.0319354279498713,1
55,0.0248789104984826,1
56,0.0285228265219602,1
57,0.0289787585392501,1
58,0.0303847071616638,1
59,0.0206844365246669,1
60,0.0270666090495797,1
61,0.0223755588839063,1
62,0.0192480106703295,1
63,0.019140820554731,1
64,0.0124132281516434,1
65,0.0158976271621989,1
66,0.0152762270707008,1
67,0.0326408155166533,1
68,0.0167278059196593,1
69,0.0157093973634262,1
70,0.00734390737164936,1
71,0.00646045666309144,1
72,0.0203148854593456,1
73,0.00792639521135884,1
74,0.0291772485346991,1
75,0.0410260255856278,1
76,0.0603341661259308,1
77,0.0872268956796838,1
78,0.0840320682879007,1
79,0.0911615393585623,1
80,0.0821061488482608,1
81,0.0701117718807368,1
82,0.0739236829525202,1
83,0.0851127827624888,1
84,0.09232117541693,1
85,0.100662375534418,1
86,0.114981918472178,1
87,0.115001988827199,1
88,0.114980712755901,1
89,0.114039041446819,1
90,0.111606918796398,1
91,0.105296677375241,1
92,0.0924554295055357,1
93,0.0949894200614741,1
94,0.0795157703759261,1
95,0.0869093220257377,1
96,0.0959197941374383,1
97,0.0984884611880775,1
98,0.080003632079891,1
99,0.0774372035793328,1
100,0.0620458745924031,1
101,0.0462603662234081,1
102,0.0509043559816946,1
103,0.0549886191037783,1
104,0.0640539801489659,1
105,0.0748177505394733,1
106,0.074013254888938,1
107,0.0845361432265448,1
108,0.0697662690473509,1
109,0.0590677430419719,1
110,0.0641916128869935,1
111,0.0598815473016029,1
112,0.0570903594240795,1
113,0.0770791090281307,1
114,0.0790130873098297,1
115,0.0865850422486501,1
116,0.090166423296705,1
117,0.0769321293686101,1
118,0.0629244518993211,1
119,0.0428356862098985,1
120,0.0419547234788163,1
121,0.0219068823905456,1
122,0.040173405226796,1
123,0.0552362649793846,1
124,0.0615763069117134,1
125,0.0645353588408975,1
126,0.0479890928710782,1
127,0.0509792426494136,1
128,0.0499189255262233,1
129,0.0527767151805028,1
130,0.0699105239265976,1
131,0.0958581186917012,1
132,0.082180264076827,1
133,0.110104679769846,1
134,0.118973920845759,1
135,0.126146425762675,1
136,0.144812717572983,1
137,0.147365384101125,1
138,0.141170356007684,1
139,0.144796526201872,1
140,0.104975681432781,1
141,0.12892989176466,1
142,0.0999717027669247,1
143,0.114855125140304,1
144,0.13062576368342,1
145,0.170146883086704,1
146,0.171130339373134,1
147,0.199849014340524,1
148,0.222118439616205,1
149,0.168174474080515,1
150,0.194750507634158,1
151,0.199179403357896,1
152,0.217063294646114,1
153,0.154962868562608,1
154,0.158045465362167,1
155,0.175191100235557,1
156,0.185617352620665,1
157,0.173607336935446,1
158,0.191624777418709,1
159,0.212252266244226,1
160,0.222012414521188,1
161,0.237869487305053,1
162,0.261660351214857,1
163,0.290337536425093,1
164,0.324359733016002,1
165,0.315861682346219,1
166,0.335741375277961,1
167,0.346904648605364,1
168,0.352630393433745,1
169,0.36789017905491,1
170,0.343399686452869,1
171,0.359646198050669,1
172,0.358180905656252,1
173,0.364257559397029,1
174,0.357176604401632,1
175,0.402686186565113,1
176,0.385960904400474,1
177,0.377994838575176,1
178,0.362599868748925,1
179,0.38874190054786,1
180,0.408493784205672,1
181,0.400976870277238,1
182,0.403723404755923,1
183,0.391302433811402,1
184,0.37192767485841,1
185,0.331447552125628,1
186,0.195099357774605,1
187,0.0875236988896643,1
188,0.0953757942232598,1
189,0.123769764081604,1
190,0.0996628725369135,1
191,0.0760573460775023,1
192,0.0743738019616905,1
193,0.0832567596523247,1
194,0.10561748761245,1
195,0.326859064838182,1
196,0.365839026371111,1
197,0.388998546539028,1
198,0.403929613999592,1
199,0.409550911174864,1
200,0.419467747507011,1
201,0.417038283229814,1
202,0.387310695049931,1
203,0.373438164462925,1
204,0.356401671361612,1
205,0.348233631477892,1
206,0.413763495906858,1
207,0.415423987840162,1
208,0.416038511005532,1
209,0.412995899935137,1
210,0.398719120810677,1
211,0.377969268713713,1
212,0.376211489140854,1
213,0.384406778287438,1
214,0.376393710888322,1
215,0.282358282105974,1
216,0.0691094979980537,1
217,0.0626563038370896,1
218,0.0662973249254006,1
219,0.099695956964649,1
220,0.124007569046413,1
221,0.135794075851889,1
222,0.14363955870166,1
223,0.164311806162196,1
224,0.179053568655841,1
225,0.187659635031744,1
226,0.201447266549188,1
227,0.228068824236442,1
228,0.207559136001741,1
229,0.231118375470865,1
230,0.253961257636051,1
231,0.128479865289463,1
232,0.197161156217513,1
233,0.186760689027231,1
234,0.0922597389021145,1
235,0.096707450475547,1
236,0.192504802563882,1
237,0.20889932151562,1
238,0.22631361520386,1
239,0.0616819947743488,1
240,0.0394782183025837,1
241,0.0586689512556305,1
242,0.0679574352562267,1
243,0.0716821988162245,1
244,0.0804545124963121,1
245,0.0946970226471398,1
246,0.114741024872119,1
247,0.119981007974174,1
248,0.134781930413565,1
249,0.152832625620172,1
250,0.169062262647957,1
251,0.165996306376396,1
252,0.174293345571718,1
253,0.117630527481969,1
254,0.137396532570492,1
255,0.132068834229946,1
256,0.124676255601515,1
257,0.124551346093973,1
258,0.142937646328507,1
259,0.143959437809151,1
260,0.139330172198857,1
261,0.148145469565263,1
262,0.164290480812642,1
263,0.174193375477655,1
264,0.188895515986799,1
265,0.204115981083161,1
266,0.21200316088456,1
267,0.224176185204968,1
268,0.225546421627275,1
269,0.239751738736889,1
270,0.0346346818851043,1
271,0.0334194813773526,1
272,0.0422563803266077,1
273,0.0441239863511371,1
274,0.0578876494247843,1
275,0.067794401317462,1
276,0.0668927132395669,1
277,0.0693797465325474,1
278,0.0793381721146216,1
279,0.0891573708011836,1
280,0.113124397624053,1
281,0.128538077953412,1
282,0.141566074553453,1
283,0.137297320039482,1
284,0.125478650604727,1
285,0.0983318078464617,1
286,0.0835158566931978,1
287,0.0474015191196447,1
288,0.022471388573737,1
289,0.0173625537469342,1
290,0.0469262815712164,1
291,0.0803723185016086,1
292,0.110378958197519,1
293,0.132576328125327,1
294,0.135897369075294,1
295,0.0682649900774748,1
296,0.0774557917041047,1
297,0.0845976627402497,1
298,0.082063113320023,1
299,0.079507441747592,1
300,0.0884894371433129,1
301,0.109932196518096,1
302,0.108049908226798,1
303,0.0362882667641274,1
304,0.0238325150132799,1
305,0.0206972976408097,1
306,0.0397528415623976,1
307,0.0659335926288764,1
308,0.0735811480318096,1
309,0.0873252676802521,1
310,0.0887017705720174,1
311,0.0875257746287011,1
312,0.108270480756031,1
313,0.116647093450856,1
314,0.109505063559487,1
315,0.133886289029964,1
316,0.145013880159692,1
317,0.168291851636879,1
318,0.174443465716291,1
319,0.0431590970429585,1
320,0.0666278664474361,1
321,0.0752276781628114,1
322,0.0901714142373401,1
323,0.0297488376143151,1
324,0.0461259156164981,1
325,0.0434220786726473,1
326,0.055030519868786,1
327,0.0709570182666405,1
328,0.0745366550915924,1
329,0.0906914894937002,1
330,0.108175959833855,1
331,0.0358058562015329,1
332,0.104284326207098,1
333,0.1269971244645,1
334,0.220137902607068,1
335,0.237276703921209,1
336,0.218961199015011,1
337,0.215307802632267,1
338,0.236542948064859,1
339,0.23280667199717,1
340,0.237585304508932,1
341,0.0884021978462229,1
342,0.0529227109538545,1
343,0.0591478871866688,1
344,0.0614153132697716,1
345,0.0785430372854464,1
346,0.0839171193562105,1
347,0.0965308994884007,1
348,0.0970210686725749,1
349,0.105589718689613,1
350,0.134098156151587,1
351,0.159118390209348,1
352,0.184693761598692,1
353,0.211262804613764,1
354,0.238621300996214,1
355,0.266265048193502,1
356,0.216874262122796,1
357,0.227330701330992,1
358,0.246838854751377,1
359,0.0685825944878854,1
360,0.0489145160572199,1
361,0.0293770652930299,1
362,0.0180893646007963,1
363,0.022441023013954,1
364,0.0315769262337974,1
365,0.0749818059175511,1
366,0.0929098056746285,1
367,0.108007085966275,1
368,0.122107143715387,1
369,0.148297304217797,1
370,0.132577976421673,1
371,0.141119091329833,1
372,0.156642155444162,1
373,0.166779062190168,1
374,0.158711786127661,1
375,0.169267009542508,1
376,0.171103741637132,1
377,0.150510464291499,1
378,0.0679571623922616,1
379,0.0413799424663367,1
380,0.0462978372970505,1
381,0.049331812232748,1
382,0.0308908882119769,1
383,0.027344262283788,1
384,0.0169094593398682,1
385,0.0729391526673456,1
386,0.0658660083870945,1
387,0.0835440941667738,1
388,0.0686088981073205,1
389,0.0456392520314996,1
390,0.0590667990157146,1
391,0.0819474068727512,1
392,0.102325608723272,1
393,0.134892487588725,1
394,0.163278886097727,1
395,0.182009562485656,1
396,0.0790625424081746,1
397,0.0744122084712538,1
398,0.0699576983455607,1
399,0.0814817791988733,1
400,0.0882646967747343,1
401,0.104260719686654,1
402,0.117373058375556,1
403,0.132798264305344,1
404,0.151322705598114,1
405,0.163597099403952,1
406,0.186171311253107,1
407,0.195400881025657,1
408,0.201315664266371,1
409,0.207018634809836,1
410,0.227980715472525,1
411,0.255231125764409,1
412,0.0639681410199875,1
413,0.069953765055115,1
414,0.0685932768131075,1
415,0.0486971247507862,1
416,0.0575033109725081,1
417,0.0787975063680653,1
418,0.0995638554091781,1
419,0.130202366717633,1
420,0.143290331872692,1
421,0.161779916164011,1
422,0.170937245654415,1
423,0.192934415749556,1
424,0.22827649471734,1
425,0.233827519587948,1
426,0.23149580903718,1
427,0.224440006011086,1
428,0.21460383940995,1
429,0.20922073621525,1
430,0.0634057668791696,1
431,0.0379736088117024,1
432,0.0441933713079207,1
433,0.0358273988523443,1
434,0.0290977281256891,1
435,0.0626392146752694,1
436,0.0474777572056406,1
437,0.10042031801706,1
438,0.0993789757704801,1
439,0.0882698111775324,1
440,0.0836219410685111,1
441,0.110158667472269,1
442,0.125246411168917,1
443,0.131510503154548,1
444,0.117754124287091,1
445,0.120436954830754,1
446,0.137531535540075,1
447,0.153879924296037,1
448,0.16536952012299,1
449,0.15958678619913,1
450,0.0916925708370151,1
451,0.0987264909311318,1
452,0.0831348317550476,1
453,0.0707018893597075,1
454,0.0771661474241541,1
455,0.0759639249847252,1
456,0.0595147218044796,1
457,0.0297090731369964,1
458,0.0508277498728676,1
459,0.0567647004952382,1
460,0.0668721081050405,1
461,0.0709430003796365,1
462,0.0480773735707593,1
463,0.0504841774631177,1
464,0.0686442755805053,1
465,0.0804365594681642,1
466,0.0923127329099901,1
467,0.100251131269266,1
468,0.101807149165933,1
469,0.0930652756731108,1
470,0.0840533242932451,1
471,0.0490658556804724,1
472,0.0690075813935006,1
473,0.054859606508191,1
474,0.0684957898649044,1
475,0.0794636245389312,1
476,0.095859313270337,1
477,0.135901476316554,1
478,0.145374071782061,1
479,0.159531567962588,1
480,0.179108937780789,1
481,0.0261494604553245,1
482,0.0459802346039313,1
483,0.0798825921511121,1
484,0.0769804286091302,1
485,0.0718639648925397,1
486,0.0711673948385515,1
487,0.0740157719039616,1
488,0.0470748321120813,1
489,0.048925969389363,1
490,0.0370557515237012,1
491,0.0622642125997159,1
492,0.0778942560837387,1
493,0.0340252826692846,1
494,0.0361471421276537,1
495,0.0159102047819997,1
496,0.0163432829149339,1
497,0.0276910564735629,1
498,0.0194234438982843,1
499,0.0321437843149212,1
500,0.0395450199370482,1
501,0.0736067133099441,1
502,0.0779644876795518,1
503,0.0702403943579582,1
504,0.0668927432248163,1
505,0.0583439974177401,1
506,0.0493673363065325,1
507,0.0287935223187566,1
508,0.0310573990304516,1
509,0.0323258484389118,1
510,0.0428868512727542,1
511,0.0511783307279755,1
512,0.064619062519186,1
513,0.0797248689252405,1
514,0.0809271909449986,1
515,0.0762989116247704,1
516,0.0675275240553391,1
517,0.0602970330721764,1
518,0.0548022819701648,1
519,0.0635827909396893,1
520,0.0827519395578759,1
521,0.0877063361508272,1
522,0.0939449631970907,1
523,0.0960348097376796,1
524,0.102119650765489,1
525,0.115526254691256,1
526,0.144329189761624,1
527,0.140542410355856,1
528,0.079181281557847,1
529,0.0555799579057437,1
530,0.0545746573098874,1
531,0.0527852129220675,1
532,0.0670627006436419,1
533,0.0887916187632314,1
534,0.0915419855418733,1
535,0.0902601322462674,1
536,0.10239680506002,1
537,0.0662476075465201,1
538,0.0710878216959599,1
539,0.0808117881187684,1
540,0.114424289775822,1
541,0.108422357205214,1
542,0.0949224890431054,1
543,0.10417269038911,1
544,0.10100797991709,1
545,0.0975088595612539,1
546,0.0916072602645589,1
547,0.092703032692563,1
548,0.0652336273597987,1
549,0.0884363024036322,1
550,0.0930387622144512,1
551,0.0754410597577777,1
552,0.0659520067370342,1
553,0.0651392744606238,1
554,0.0620707044935655,1
555,0.0496575963991714,1
556,0.0749436045007298,1
557,0.0607242355901269,1
558,0.101820340219578,1
559,0.118087120412965,1
560,0.166639818050145,1
561,0.112859982513186,1
