frame,primaryM,primaryAccepted,primarySim,truthM,truthSim,aliasSelectedM,aliasSelectedSim,aliasBestM,aliasSeeds,gridSelectedM,gridBestM,aliasSeconds,gridSeconds
1,0.640312423976002,0,0,0,0,0.640312423976002,0,0.640312423976002,0,0.640312423976002,0.640312423976002,0.038205,1.7e-05
2,0.0922430870503347,1,0.246927418455915,0.0646654173932571,0.246520216883503,0.0922431196784343,0.246927421334454,0.0673326874733005,6,0.0922430870503347,0.064670043294592,0.106814,0.019047
3,0.0926785257788798,1,0.321421527160975,0.059862488343256,0.320467194301212,0.0926814132861536,0.321421929994255,0.0598618172274562,6,0.0926785257788798,0.0598670794737148,0.043349,0.017604
4,0.0925724873489899,1,0.407003026072081,0.066810300976629,0.405798645395837,0.0925776417715542,0.407003409886617,0.0668098924899469,6,0.0925724873489899,0.0668172121934506,0.039723,0.017725
5,0.0949738347918856,1,0.50277489204993,0.0706136332444895,0.499236807370479,0.0949758414040964,0.502775039257924,0.0706134049427222,6,0.0949738347918856,0.0706170406496909,0.044462,0.017921
6,0.102746649836902,1,0.495966372680452,0.0812256871712978,0.492925175275957,0.102746021738733,0.49596644056745,0.0812256795910512,6,0.102746649836902,0.0812289217261534,0.038461,0.018679
7,0.108833888488254,1,0.461627538073603,0.0698885786361341,0.454346499952958,0.108833690346919,0.461627623317809,0.0698886921624654,6,0.108833888488254,0.0698908561877869,0.039216,0.017394
8,0.104955765090398,1,0.480663073445551,0.0819887375157463,0.478637543889614,0.104952302406139,0.480663348776109,0.0819887369194899,6,0.104952609159711,0.0819911364484104,0.037597,0.016925
9,0.105598512159387,1,0.463601780792002,0.0776140932069653,0.460641087874695,0.105598546055358,0.463601795637475,0.0776138123522108,6,0.105598512159387,0.0776151461565692,0.036835,0.016694
10,0.0973357229971645,1,0.475510693894903,0.0574988267436258,0.468066956497012,0.0973332394388309,0.475511048200673,0.0568374793980299,6,0.0973335698241875,0.0568380718042482,0.037328,0.01649
11,0.0718838415589802,1,0.453812926403082,0.0508382369820657,0.451441809503432,0.0718837123528431,0.453812936450392,0.0502906183277342,6,0.0718838415589802,0.0508500317671824,0.040254,0.017812
12,0.0546249043873225,1,0.448216094872173,0.0368453105207451,0.446934823440963,0.063865719367919,0.452226494346016,0.0336167954435772,6,0.0546249043873225,0.0368604218666274,0.040254,0.017545
