mode,accepted,rmseCm,medianCm,p95Cm,maxCm,above30cm,above50cm,yawRmseDeg,worseThanCurrentBy10cm,rescuedFrames,msPerFrame
current,1169,16.8370683281364,10.8270480756031,34.7193356454569,68.481453028253,77,14,0.530272573197315,0,0,7.72855982905983
alias_select,1169,13.5242330931423,9.1683450144091,25.5344464807551,46.2106057628449,41,0,0.450366794219938,27,29,91.1280752136753
alias_track,1169,13.4538508279255,9.15568861943336,25.4506253880095,46.2106057628449,39,0,0.448815987181861,25,29,103.989109401709
alias_screen,1169,14.6214520144305,9.49894200614741,32.1883599826392,46.2087251553343,64,0,0.508301785603132,23,13,36.7879846153846
