mapRadiusM,sourceRadiusM,mapPoles,mapSigns,aliasPairs,frozenRmseCm,frozenAbove30cm,ceilingRmseCm,ceilingMaxCm,loopRmseCm,loopP95Cm,loopMaxCm,loopAbove30cm,loopAbove50cm,loopFrame851Cm,msPerFrame
0,0,241,178,142,16.8370683281278,77,10.8855647368695,36.7885193106126,16.837068328127,34.7193356454569,68.481453028253,77,14,68.481453028253,6.48841282051282
0.6,0,163,97,28,15.8927606145436,66,12.1880060347111,38.3550189799631,16.3441413883053,34.5166398236515,66.8850079531986,76,13,66.7649528309447,6.27292991452992
1,0,159,78,5,14.4496096105978,45,12.8248117370033,32.6348938439409,13.9711567963754,24.7430394225548,58.7811840253184,33,4,18.1144863883984,6.21080769230769
1,0.5,159,78,5,14.5204712158541,46,12.7733111347756,32.9861328181708,14.117458887862,24.9613508875931,58.2184997638331,36,6,14.8697427768313,6.09996153846154
1.5,0.5,157,73,0,13.0010114882511,17,12.99624429862,36.2496643361883,13.0056582436385,22.2572784881733,36.2496558108362,17,0,14.8697427768313,6.39883846153846
1,0.35,159,78,5,14.5167120603837,46,12.7814599521679,32.9861328181708,14.1502485462992,24.8054386153356,58.2184997638331,37,6,15.4963100113762,6.29118205128205
