pillarIndices,found,score,supportCount,ownCount,height,robustHeight,radialRms,maximumGap,contrast,radius,minimumZ,maximumZ,axisZ,ownHeight,peakContrast,frame,pillarPointCount,ownSupportFraction,accepted,baseline,fine,previous
1594,1,0.171385537158197,12,12,2.11064982414246,2.05247731208801,0.0898046199317361,0.309994101524353,15,0.15,0.338062763214111,2.44871258735657,1.54532325267792,2.11064982414246,1.5,1,32,0.375,1,1,0,0
1834,1,0.10734150271073,12,12,1.62058258056641,1.58325901031494,0.0952112881921999,0.562770366668701,9,0.15,5.25678634643555,6.87736892700195,5.73637795448303,1.62058258056641,1.71428571428571,1,42,0.285714285714286,1,0,0,0
2993,1,0.161318219833551,16,11,2.0635814666748,1.98149421215057,0.093395908041683,0.264460980892181,5.125,0.15,0.397879123687744,2.46146059036255,1.29932761192322,2.0635814666748,1.30769230769231,1,41,0.268292682926829,1,0,0,0
3746,1,0.504852528800051,180,11,3.77418839931488,3.37463635206223,0.0716463183447146,0.236843347549438,132,0.15,-1.60643088817596,2.16775751113892,-0.615581467747688,3.77418839931488,1.8,1,17,0.647058823529412,1,0,0,1
3845,1,0.501628270670666,179,7,3.77418839931488,3.37443154454231,0.0710074033510868,0.236843347549438,135,0.15,-1.60643088817596,2.16775751113892,0.177141964435577,0.574400305747986,1.77227722772277,1,11,0.636363636363636,0,0,0,0
3846,1,0.681103615429931,124,122,3.00199353694916,2.77575254440308,0.0518938265344301,0.282262444496155,48,0.1,-1.58013677597046,1.4218567609787,0.449063569307327,3.00199353694916,1.96825396825397,1,167,0.730538922155689,1,1,1,1
3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,1
4281,1,0.202629262315772,13,8,1.57260680198669,1.54684464931488,0.0668219142164638,0.353368282318115,9,0.1,1.38302159309387,2.95562839508057,2.16932499408722,1.55948376655579,1.625,1,55,0.145454545454545,1,0,0,0
4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,1,0,1
5789,1,0.456651928674188,20,17,2.43627333641052,2.209064245224,0.0768017937608432,0.228912830352783,27,0.1,3.1618549823761,5.59812831878662,4.27880823612213,2.43627333641052,1.81818181818182,1,45,0.377777777777778,1,0,1,0
5889,1,0.406425135792603,30,13,3.04476377367973,3.02721270918846,0.0873321775792285,0.2147057056427,24,0.15,-0.350089520215988,2.69467425346375,1.72589772939682,1.93755304813385,1.875,1,36,0.361111111111111,1,0,1,0
5890,1,0.403734649290052,20,10,2.38135895133018,2.1590311974287,0.0737375760391957,0.228576511144638,13.5,0.15,-0.335910886526108,2.04544806480408,0.316246703267097,1.30431517958641,1.53846153846154,1,26,0.384615384615385,0,0,0,0
6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,1,0,1
6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,0,0,1,0,1
6586,1,0.404918345630473,22,13,3.39589357376099,3.11728701591492,0.0813508675929034,0.246066570281982,15,0.15,3.12886714935303,6.52476072311401,5.37226343154907,2.09163331985474,1.69230769230769,1,18,0.722222222222222,1,0,0,0
6587,1,0.54743906800899,18,17,2.83903670310974,2.66789469718933,0.0641283083545526,0.233691453933716,19.5,0.1,1.59409070014954,4.43312740325928,2.50325755774975,2.63563561439514,2,1,41,0.414634146341463,1,0,0,0
6866,1,0.470323341723904,18,16,2.51971846818924,2.41231905221939,0.0555656230279282,0.527423560619354,7.75,0.1,-1.56652188301086,0.953196585178375,-0.236337631940842,2.37906843423843,1.8,1,21,0.761904761904762,1,1,0,1
6867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0
7873,1,0.266276149548623,16,16,2.36839437484741,2.30709701180458,0.0708493248793977,0.577794194221497,10.5,0.1,-0.4569251537323,1.91146922111511,0.624384999275208,2.36839437484741,1.45454545454545,1,42,0.380952380952381,1,1,0,1
8736,1,0.43952014836291,25,6,3.68555307388306,3.52058550715446,0.0766899649990511,0.418747425079346,18,0.1,-1.20446801185608,2.48108506202698,-0.228548526763916,1.72841954231262,1.78571428571429,1,25,0.24,1,1,0,0
8737,1,0.455271685332289,24,18,3.04240798950195,3.04165221452713,0.0799632326998285,0.417094707489014,21,0.1,-1.20446801185608,1.83793997764587,-0.228548526763916,3.04235351085663,2,1,41,0.439024390243902,1,1,0,0
9153,1,0.349528145250055,18,18,2.27295160293579,2.08583450317383,0.0797326898902084,0.235561847686768,12,0.15,-1.14291334152222,1.13003826141357,-0.00743114948272706,2.27295160293579,1.63636363636364,1,29,0.620689655172414,1,1,0,1
