run,scenario,rmseAllCm,rmseCm,medianCm,p95Cm,maxCm,above30cm,headingRmseDeg,runtimeSeconds
before (single level),both,6.04908610494191,5.52702476907697,4.13421674352305,9.82515142874401,17.4727898052283,0,0.39452286142523,12.621687
before (single level),lidar_only,18.7778013563952,18.3897442634604,13.3717009201378,37.331289499812,70.5634405938985,101,0.505797272358636,7.951239
before (single level),gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.092936
before (single level),gnss_outage,6.76361936086268,6.31431535236165,4.54342268079674,12.8623970472153,19.67730581493,0,0.39460272529116,12.432023
before (single level),lidar_outage,6.12437263253909,5.61081682397533,4.48796283182591,9.82515142874401,17.4681441460219,0,0.378932086620704,10.607815
before (single level),both_outage,23.7156411847898,23.7909063475848,4.98463622962473,56.634169261825,103.071365140706,159,0.375049981963627,10.683413
before (single level),alternating,16.6336351877683,16.5694621263827,12.6396455166646,31.0775994137856,41.699825496486,74,0.429253296361169,4.11321
after (canonical pyramid),both,5.95600300129393,5.42107828206695,3.9677382530725,9.90484204185003,17.4506446858545,0,0.388694270401419,25.710152
after (canonical pyramid),lidar_only,14.8252743529488,14.2384292609121,11.1868316385853,26.7026335348804,38.097138779134,39,0.42093501322204,18.03316
after (canonical pyramid),gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.092437
after (canonical pyramid),gnss_outage,6.63391125983623,6.17082013251416,4.34918750880481,12.3759876492266,18.7063398806547,0,0.391019748922168,23.788678
after (canonical pyramid),lidar_outage,6.03422123202181,5.50845711011794,4.3707690644933,9.91400003608405,17.4468021354122,0,0.379673851482958,20.76984
after (canonical pyramid),both_outage,28.7031457202446,28.8479909403816,4.81856058606691,67.4321563398847,128.234817818753,164,0.373181895961221,23.948311
after (canonical pyramid),alternating,15.493872368272,15.4011208592244,12.5043702909411,26.801519216281,40.4503897550461,26,0.414895128458637,11.772689
