chain,population,accepted,rmseCm,medianCm,p90Cm,p95Cm,p99Cm,maxCm,maxFrame,above20cm,above30cm,above50cm,yawRmseDeg,longitudinalMeanRmsCm,lateralMeanRmsCm
before (single level),recursive (odometry seed),1169,16.8370683283494,10.8270480707814,24.5114971827331,34.7193356454569,57.3580941139071,68.4814530338394,851,205,77,14,0.530272573198294,1.4 / 9.8,-9.2 / 13.7
before (single level),GNSS-aided (fused run),1168,11.2519493206399,8.55440542886588,17.930548465187,20.0658521344226,25.4608196663939,36.7885197199291,169,62,1,0,0.412193884567346,-0.4 / 6.4,-5.8 / 9.3
after (canonical pyramid),recursive (odometry seed),1169,12.6529091226755,9.13149915862793,19.9294654714271,22.9660818098187,31.6997438863843,39.3367952946684,182,114,18,0,0.439999869854264,-0.1 / 7.2,-6.4 / 10.4
after (canonical pyramid),GNSS-aided (fused run),1168,11.219696756705,8.4052365426867,17.6591922783302,20.6099859659126,26.331273204986,38.1050127381776,1030,66,4,0,0.409945816968465,-0.8 / 6.7,-5.3 / 9.0
after (canonical pyramid),reference-seeded ceiling,1169,12.6520472143873,9.1314991416414,19.9294654543824,22.9660815981864,31.6995870465374,39.3367952891652,182,114,18,0,0.439686161959124,-0.1 / 7.2,-6.4 / 10.4
