pattern,runs,meanRmseCm,minRmseCm,maxRmseCm,meanP95Cm,worstMaxCm,meanHeadingRmseDeg,meanRmseOnLostFramesCm
none,1,7.87541991450812,7.87541991450812,7.87541991450812,16.4868110337317,23.5787482376,0.385792310067414,NaN
iid_frames,10,9.01645745774048,8.80022654277781,9.30971923174351,18.8841758616149,42.0582279001507,0.385547696794715,10.4755497216732
burst_1s,10,11.628854815064,9.88132792866805,13.0335406901499,24.241183683782,68.3279299804965,0.400807402016053,19.7710627239893
burst_5s,10,13.6849883353445,10.3528479777688,16.0944116714283,28.6853840350414,75.9010224588569,0.394780287647084,25.1706563997462
block_23s,5,12.5476721332736,8.7055886747072,16.6401722596026,28.1507161559628,75.9298380373328,0.40624238093782,22.2692449840114
all_lost,1,24.0885810024525,24.0885810024525,24.0885810024525,51.8859427353965,75.9301362969893,0.479075841831948,24.0885810024525
