frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
1050,1,1,1,93.865,73.461,20.385,0.019000000000009,1,accepted,3,11,88,25,484568.014121445,4976643.33168952,0.1183837396162,0.170766604767945,-0.725294197165997
550,3,1,2,94.23,81.436,12.77,0.0239999999999974,1,accepted,3,5,97,37,484319.01170316,4976932.59714569,-1.20895882706874,0.0855510500479336,0.027412455158653
900,2,1,3,100.331,85.681,14.63,0.0200000000000049,1,accepted,3,7,94,22,484396.520772382,4976621.53971907,0.0785390400279124,0.0618384460730401,0.55963115499474
900,3,1,4,101.054,86.386,14.648,0.0199999999999925,1,accepted,3,6,94,22,484396.520773345,4976621.53971912,0.0785388299157529,0.0618376287777828,0.559619116454775
550,1,1,5,107.082,91.2,15.859,0.022999999999989,1,accepted,3,7,97,37,484319.011707394,4976932.59714749,-1.20895891970181,0.08555409709061,0.0274071476747055
900,1,1,6,101.083,87.491,13.561,0.031000000000013,1,accepted,3,6,94,22,484396.520776056,4976621.53971986,0.0785381999167228,0.0618349788496039,0.559583020169252
260,1,1,7,77.788,66.804,10.962,0.0219999999999949,1,accepted,3,5,82,26,484229.701749982,4977311.92862636,-1.34136383136895,0.121073158069821,-0.237213838389248
700,1,1,8,87.028,73.243,13.773,0.0119999999999827,0,inconsistentClasses,3,7,86,27,484338.387856726,4976756.23522041,-1.68444665955885,0.059803090323988,0.06585391961124
350,3,1,9,75.957,64.422,11.513,0.0219999999999967,1,accepted,3,5,92,29,484253.45454235,4977184.18471327,-1.49983313651004,0.128687999372847,0.0202214926429158
260,3,1,10,78.767,69.012,9.732,0.0230000000000103,1,accepted,3,4,82,26,484229.701741887,4977311.92862329,-1.34136392427723,0.121065307677057,-0.237219161641533
700,3,1,11,90.117,79.596,10.508,0.0130000000000017,0,inconsistentClasses,3,5,86,27,484338.387850205,4976756.23521995,-1.68444681712307,0.0598003082671711,0.0658448918462088
550,2,1,12,98.206,82.587,15.596,0.0230000000000139,1,accepted,3,7,97,37,484319.011703775,4976932.59714596,-1.20895884095709,0.0855515006420523,0.0274116594147358
350,1,1,13,79.057,65.07,13.966,0.0209999999999955,1,accepted,3,6,92,29,484253.454544574,4977184.18471423,-1.49983308574112,0.128690101570696,0.020224401487747
260,2,1,14,78.289,67.453,10.816,0.0199999999999996,1,accepted,3,5,82,26,484229.70174272,4977311.92862401,-1.34136429600262,0.121066408106828,-0.23724045993743
700,2,1,15,88.142,74.61,13.52,0.0119999999999951,0,inconsistentClasses,3,7,86,27,484338.387851445,4976756.23522007,-1.68444678757349,0.059800874777522,0.0658465849126648
1050,2,1,16,98.352,81.833,16.498,0.0209999999999937,1,accepted,3,8,88,25,484568.014122773,4976643.33169529,0.118383278068733,0.170771926515976,-0.725320641887853
120,3,1,17,89.308,76.2,13.087,0.0209999999999901,1,accepted,3,5,104,44,484199.208290669,4977468.56858767,-1.10509511152407,0.0729765535055108,-0.0538289752565032
350,2,1,18,74.103,60.507,13.578,0.0180000000000113,1,accepted,3,6,92,29,484253.454542312,4977184.18471326,-1.49983313761161,0.128687970090965,0.0202214295270981
120,1,1,19,83.616,66.665,16.932,0.0189999999999948,1,accepted,3,7,104,44,484199.208294534,4977468.56858888,-1.1050951815245,0.0729801151708051,-0.0538329859858149
1050,3,1,20,91.417,73.187,18.185,0.0450000000000053,1,accepted,3,9,88,25,484568.01411984,4976643.33168254,0.118384297589342,0.170760169511583,-0.725262227659839
120,2,1,21,85.954,66.449,19.485,0.0200000000000102,1,accepted,3,7,104,44,484199.208297288,4977468.56859293,-1.10509571349451,0.0729849419202837,-0.0538634656223833
350,1,2,22,79.599,66.393,13.184,0.0220000000000038,1,accepted,3,6,92,29,484253.454544574,4977184.18471423,-1.49983308574112,0.128690101570696,0.020224401487747
700,2,2,23,89.381,75.807,13.562,0.0119999999999987,0,inconsistentClasses,3,7,86,27,484338.387851445,4976756.23522007,-1.68444678757349,0.059800874777522,0.0658465849126648
700,1,2,24,87.071,73.773,13.286,0.011999999999988,0,inconsistentClasses,3,7,86,27,484338.387856726,4976756.23522041,-1.68444665955885,0.059803090323988,0.06585391961124
900,2,2,25,98.678,83.95,14.708,0.0199999999999942,1,accepted,3,7,94,22,484396.520772382,4976621.53971907,0.0785390400279124,0.0618384460730401,0.55963115499474
350,3,2,26,71.714,59.989,11.705,0.0200000000000014,1,accepted,3,5,92,29,484253.45454235,4977184.18471327,-1.49983313651004,0.128687999372847,0.0202214926429158
1050,1,2,27,94.244,73.79,20.434,0.0200000000000067,1,accepted,3,11,88,25,484568.014121445,4976643.33168952,0.1183837396162,0.170766604767945,-0.725294197165997
350,2,2,28,73.902,60.805,13.077,0.0200000000000014,1,accepted,3,6,92,29,484253.454542312,4977184.18471326,-1.49983313761161,0.128687970090965,0.0202214295270981
120,3,2,29,80.471,66.171,14.282,0.0180000000000113,1,accepted,3,5,104,44,484199.208290669,4977468.56858767,-1.10509511152407,0.0729765535055108,-0.0538289752565032
700,3,2,30,85.641,74.134,11.493,0.0139999999999905,0,inconsistentClasses,3,5,86,27,484338.387850205,4976756.23521995,-1.68444681712307,0.0598003082671711,0.0658448918462088
260,2,2,31,81.588,70.594,10.974,0.0199999999999854,1,accepted,3,5,82,26,484229.70174272,4977311.92862401,-1.34136429600262,0.121066408106828,-0.23724045993743
550,2,2,32,116.838,100.94,15.878,0.019999999999996,1,accepted,3,7,97,37,484319.011703775,4976932.59714596,-1.20895884095709,0.0855515006420523,0.0274116594147358
900,1,2,33,101.821,88.854,12.947,0.0199999999999978,1,accepted,3,6,94,22,484396.520776056,4976621.53971986,0.0785381999167228,0.0618349788496039,0.559583020169252
1050,3,2,34,95.76,78.231,17.509,0.019999999999996,1,accepted,3,9,88,25,484568.01411984,4976643.33168254,0.118384297589342,0.170760169511583,-0.725262227659839
260,3,2,35,75.098,65.665,9.415,0.0179999999999936,1,accepted,3,4,82,26,484229.701741887,4977311.92862329,-1.34136392427723,0.121065307677057,-0.237219161641533
900,3,2,36,98.644,84.44,14.184,0.0199999999999925,1,accepted,3,6,94,22,484396.520773345,4976621.53971912,0.0785388299157529,0.0618376287777828,0.559619116454775
550,3,2,37,88.242,75.635,12.586,0.0210000000000132,1,accepted,3,5,97,37,484319.01170316,4976932.59714569,-1.20895882706874,0.0855510500479336,0.027412455158653
260,1,2,38,78.431,67.554,10.858,0.0189999999999966,1,accepted,3,5,82,26,484229.701749982,4977311.92862636,-1.34136383136895,0.121073158069821,-0.237213838389248
1050,2,2,39,91.306,74.748,16.54,0.0180000000000078,1,accepted,3,8,88,25,484568.014122773,4976643.33169529,0.118383278068733,0.170771926515976,-0.725320641887853
120,1,2,40,84.121,66.345,17.756,0.019999999999996,1,accepted,3,7,104,44,484199.208294534,4977468.56858888,-1.1050951815245,0.0729801151708051,-0.0538329859858149
550,1,2,41,102.59,87.155,15.416,0.0190000000000037,1,accepted,3,7,97,37,484319.011707394,4976932.59714749,-1.20895891970181,0.08555409709061,0.0274071476747055
120,2,2,42,86.417,69.298,17.101,0.0179999999999829,1,accepted,3,7,104,44,484199.208297288,4977468.56859293,-1.10509571349451,0.0729849419202837,-0.0538634656223833
260,2,3,43,80.068,69.149,10.899,0.019999999999996,1,accepted,3,5,82,26,484229.70174272,4977311.92862401,-1.34136429600262,0.121066408106828,-0.23724045993743
900,2,3,44,103.154,88.447,14.687,0.0199999999999925,1,accepted,3,7,94,22,484396.520772382,4976621.53971907,0.0785390400279124,0.0618384460730401,0.55963115499474
120,2,3,45,84.581,66.373,18.18,0.0279999999999951,1,accepted,3,7,104,44,484199.208297288,4977468.56859293,-1.10509571349451,0.0729849419202837,-0.0538634656223833
350,1,3,46,79.518,66.149,13.35,0.0189999999999984,1,accepted,3,6,92,29,484253.454544574,4977184.18471423,-1.49983308574112,0.128690101570696,0.020224401487747
