group,calls,medianMs,p95Ms,p99Ms,maximumMs,fractionOver100ms,fractionOver150ms,fractionOver200ms,fractionOver250ms
all,420,87.466,102.89265,124.81488,138.261,0.0833333333333333,0,0,0
accepted,360,87.2295,102.89265,123.43568,138.261,0.0888888888888889,0,0,0
rejected,60,87.965,98.87235,121.75022,126.377,0.05,0,0,0
