run,scenario,rmseAllCm,rmseCm,medianCm,p95Cm,maxCm,above30cm,headingRmseDeg,runtimeSeconds
before (observer point),both,8.21556148642554,7.87541991450812,5.06286154545945,16.4868110337317,23.5787482376,0,0.385792310067414,13.166588
before (observer point),lidar_only,24.2955110359296,24.0885810024525,15.1274084076204,51.8859427353965,75.9301362969893,211,0.479075841831948,8.171577
before (observer point),gnss_only,9.19322844206902,8.87204087739696,6.13628755047012,19.1582997916553,26.0214757557461,0,1.44915359618592,0.095488
before (observer point),gnss_outage,8.71922527376844,8.40878730778182,6.05410624371063,16.6928123955018,23.5787346837998,0,0.385458265361887,12.126626
before (observer point),lidar_outage,8.2647176933198,7.92762044322789,5.11898713955046,16.4868099806521,23.5795455178111,0,0.385632508807122,10.90597
before (observer point),both_outage,39.5242664129254,39.7999495996063,6.71231665900091,112.97916462749,137.960763740065,170,0.375800800620105,10.883286
before (observer point),alternating,19.2615706504073,19.2511299084889,14.7310250486656,35.0098228185746,57.5418223209367,128,0.451131498404604,4.137949
after (output point),both,6.04908610494191,5.52702476907697,4.13421674352305,9.82515142874401,17.4727898052283,0,0.39452286142523,12.621687
after (output point),lidar_only,18.7778013563952,18.3897442634604,13.3717009201378,37.331289499812,70.5634405938985,101,0.505797272358636,7.951239
after (output point),gnss_only,6.3270137927376,5.78022446700508,4.63245716708014,11.0842995161939,14.865578305797,0,1.33003155340742,0.092936
after (output point),gnss_outage,6.76361936086268,6.31431535236165,4.54342268079674,12.8623970472153,19.67730581493,0,0.39460272529116,12.432023
after (output point),lidar_outage,6.12437263253909,5.61081682397533,4.48796283182591,9.82515142874401,17.4681441460219,0,0.378932086620704,10.607815
after (output point),both_outage,23.7156411847898,23.7909063475848,4.98463622962473,56.634169261825,103.071365140706,159,0.375049981963627,10.683413
after (output point),alternating,16.6336351877683,16.5694621263827,12.6396455166646,31.0775994137856,41.699825496486,74,0.429253296361169,4.11321
