model,CfOverMass,CrOverMass,IzOverMass,conditionalCfNPerRad,conditionalCrNPerRad,conditionalIzKgM2,roadSteeringOffsetRad,steeringWheelOffsetDeg,referenceXFromCgM,referenceHeadingCorrectionDeg,steeringTimeShiftSeconds,boundIndices,scaledJacobianCondition,success,evaluations,cost
start_0,91.04138739360259,149.9995897337268,1.8465319527105322,206937.0735456587,340949.067464761,4197.16712851104,0.0024843512615110477,2.305954042223876,-2.866448036986358,0.12722970876842551,-5.0131252689170995e-08,[1],72.32270027861846,True,34,58.80406680588928
start_1,91.03788086345662,149.98476386678163,1.8492318622379011,206929.1032026369,340915.3682691947,4203.30402286675,0.0024843543941209497,2.305956949886161,-2.8664385824880823,0.12723138428588307,-6.288899489654849e-08,[1],72.23405229058676,True,28,58.80482203995311
start_2,91.03826866795261,149.99097228960386,1.847404384164491,206929.98468225627,340929.4800142696,4199.150165205888,0.0024843310199686324,2.3059352541936655,-2.8664097222496676,0.1272289239344167,-1.0086257006826363e-07,[1],72.29287358690908,True,35,58.804505657969514
start_3,91.03970057424178,149.9907459618934,1.858612668599608,206933.23940525157,340928.9655713837,4224.626595726909,0.0024840809877637385,2.3057031763943248,-2.866415637330391,0.12723280798537467,-1.892790001377504e-09,[1],71.94677351226639,True,32,58.80491784372803
start_4,91.04105040352955,149.9990944311667,1.846249825526097,206936.30756722268,340947.9416420419,4196.525853420819,0.0024843784476813193,2.305979276199522,-2.8664690277903278,0.1272306826425098,-3.381160392511247e-08,[1],72.33134172809557,True,31,58.80409953852369
start_5,91.0399517364674,149.99638104443957,1.8507721954410377,206933.8102969904,340941.77411401115,4206.805200237479,0.002484234927617787,2.305846062078085,-2.866422268745147,0.12722994419022685,1.4517896056005069e-08,[1],64.92587588457137,True,37,58.80422042920735
start_6,91.04055496580627,149.9970616384432,1.848041744789884,206935.18143727764,340943.3211041814,4200.598885907407,0.002484319968938399,2.305924996719921,-2.86643017971638,0.12722994844870458,-8.428310043063898e-08,[1],72.27497438613034,True,39,58.80417614782213
start_7,91.04005926835656,149.9978530281416,1.8464876531737981,206934.05471697447,340945.11993296584,4197.066435664044,0.002484358084114548,2.3059603749073263,-2.8664678470425238,0.1272302509739331,-3.1659050868639476e-08,[1],72.32359143051788,True,33,58.80415921302118
