drive,partition,usedSamples,goodInsAfterSmoothingCollar,speedMinMps,speedMaxMps,yawMinRadps,yawMaxRadps,fittedDbwGyroBiasRadps,gyroRmseRadps,straightSamples,straightMeanVyMps,straightMeanCourseMinusHeadingDeg
12-11-24,fit,1318,3723,5.003735678712382,12.161009419566124,-0.2063916190687718,0.09705854594323171,0.012220980107967634,0.0018684504669306825,300,-0.0056116565561351705,-0.02471489474762232
12-11-24,holdout,1841,3723,8.065560062813864,12.84484320452372,-0.08332935756636645,0.09994916109337659,0.012220980107967634,0.0018567003808683876,178,0.01531533443865012,0.07619381614591525
12-09-31,evaluation,5142,5623,5.009477236276901,14.853138096823253,-0.1228711307297351,0.315667641145166,0.012220980107967634,0.0020307529430621065,1804,0.259709342991458,1.2495356040404195
