model,drive,partition,rmseMps2,biasMps2,fittedCoefficients
bias_only,12-11-24,fit,0.15290400284526615,0.01140890468071094,[0.1265812827232898]
bias_only,12-11-24,holdout,0.13196164919565595,-0.03315583094370959,[0.1265812827232898]
bias_only,12-09-31,evaluation,0.19435505228373903,0.020633958761525524,[0.1265812827232898]
bias_lever,12-11-24,fit,0.10466438779787077,0.00014181365503864463,"[0.12720355626325036, 2.357823407914492]"
bias_lever,12-11-24,holdout,0.1219915770533623,-0.029217454095559196,"[0.12720355626325036, 2.357823407914492]"
bias_lever,12-09-31,evaluation,0.17581190375286912,0.027663610429936036,"[0.12720355626325036, 2.357823407914492]"
bias_lever_roll,12-11-24,fit,0.10434636906511821,0.00022187774166852964,"[0.07782170743303664, 2.3958327577146417, 0.15990060579991242]"
bias_lever_roll,12-11-24,holdout,0.11660883105065147,-0.028403664579144946,"[0.07782170743303664, 2.3958327577146417, 0.15990060579991242]"
bias_lever_roll,12-09-31,evaluation,0.1596611882241284,0.023707166251127315,"[0.07782170743303664, 2.3958327577146417, 0.15990060579991242]"
