model,CfOverMass,CrOverMass,IzOverMass,conditionalCfNPerRad,conditionalCrNPerRad,conditionalIzKgM2,roadSteeringOffsetRad,steeringWheelOffsetDeg,referenceXFromCgM,referenceHeadingCorrectionDeg,steeringTimeShiftSeconds,boundIndices,scaledJacobianCondition,success,evaluations
nominal,47.61904761904763,35.55555555555556,2.5845170833333335,108238.09523809525,80817.77777777778,5874.6073304166675,0.0016160456036984534,1.5000000000000002,0.0,0.0,0.0,[],,True,0
derivative_fixed_frame,14.040263165593297,12.164710974521675,2.1600113620828765,31913.518175393565,27650.38804508777,4909.7058260143785,0.0016160456036984534,1.5000000000000002,0.0,0.0,0.0,[],28.754672171261056,True,10
forward_fixed_frame,17.948110260621768,16.200478950201152,0.49421468916678085,40796.054622393276,36823.68865380722,1123.349988476093,0.0016160456036984534,1.5000000000000002,0.0,0.0,0.0,[],34.18491000109763,True,8
derivative_point_offset,21.13111023569277,19.463179629896985,2.6758805399618235,48031.01356572966,44239.80729875585,6082.276467333225,0.0016160456036984534,1.5000000000000002,-1.3605061412661557,0.0,0.0,[],22.46370912453575,True,13
forward_point_offset,89.8509188052802,149.99999999999983,2.1091738878471187,204231.1384444019,340949.9999999996,4794.1522470765,0.0016160456036984534,1.5000000000000002,-2.863637641411425,0.0,0.0,[1],22.658477030619615,True,17
derivative_point_heading,20.495849930442713,18.84429535191517,2.4314580995681037,46587.066891896284,42833.08333490318,5526.7042603183,0.0016160456036984534,1.5000000000000002,-1.3017158433609333,-0.020085184334056365,0.0,[],29.178503286125807,True,21
forward_point_heading,89.54893087149848,149.99999999999983,2.153180064930356,203544.71987091604,340949.9999999996,4894.178287586699,0.0016160456036984534,1.5000000000000002,-2.8685868468368745,0.10585026507913071,0.0,[1],34.15671394266462,True,14
derivative_point_heading_steering,20.37617608279956,17.870189072299503,1.9161906137879297,46315.0482362034,40618.93976133677,4355.501265139964,0.002593784591228552,2.407529142704076,-1.1602475216140646,-0.028280285919041637,0.1204853554177318,[],78.937315693575,True,21
forward_point_heading_steering,91.03558899136083,149.98117611253204,1.8482968967523483,206923.89377736315,340907.2133037853,4201.178846318087,0.0024843047252163276,2.305910847624713,-2.8664244806011534,0.1272289361874093,-1.1565364465961726e-08,[1],72.26207016405549,True,35
nominal_empirical_point,47.61904761904763,35.55555555555556,2.5845170833333335,108238.09523809525,80817.77777777778,5874.6073304166675,0.0016160456036984534,1.5000000000000002,-2.3597988944583816,0.0,0.0,[],,True,0
