frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
120,1,0,1,88.021,68.752,19.033,0.236000000000004,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
120,2,0,2,83.179,63.048,20.037,0.0939999999999941,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
120,3,0,3,78.363,60.048,18.223,0.0920000000000059,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
260,1,0,4,68.579,56.724,11.754,0.10100000000001,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
260,2,0,5,70.9,56.179,14.232,0.489000000000004,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
260,3,0,6,72.858,59.923,12.917,0.0180000000000096,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
350,1,0,7,68.003,54.488,13.499,0.016,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
350,2,0,8,71.657,54.393,17.246,0.0180000000000007,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
350,3,0,9,71.785,57.393,14.373,0.0189999999999948,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
550,1,0,10,87.853,73.666,14.169,0.0179999999999989,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
550,2,0,11,85.833,70,15.815,0.0180000000000131,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
550,3,0,12,87.795,75.199,12.576,0.0200000000000031,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
700,1,0,13,81.923,69.921,11.985,0.0170000000000083,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
700,2,0,14,78.659,65.25,13.391,0.018000000000006,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
700,3,0,15,78.415,67.889,10.505,0.0209999999999813,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
900,1,0,16,87.642,71.966,15.652,0.0239999999999885,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
900,2,0,17,86.323,71.115,15.188,0.0199999999999978,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
900,3,0,18,83.414,69.886,13.511,0.0169999999999906,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
1050,1,0,19,80.148,64.074,16.055,0.0189999999999841,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
1050,2,0,20,78.944,62.89,16.035,0.0190000000000019,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
1050,3,0,21,78.746,63.436,15.293,0.0169999999999888,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
120,1,0,22,82.896,61.854,21.023,0.0190000000000019,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
120,2,0,23,79.592,59.151,20.423,0.0179999999999936,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
120,3,0,24,76.418,59.572,16.828,0.0180000000000042,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
260,1,0,25,69.846,57.883,11.943,0.0200000000000085,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
260,2,0,26,71.301,57.279,14.004,0.0180000000000042,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
260,3,0,27,75.116,62.46,12.639,0.0169999999999995,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
350,1,0,28,77.163,63.441,13.704,0.0180000000000025,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
350,2,0,29,70.795,55.436,15.342,0.0170000000000012,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
350,3,0,30,70.337,56.359,13.961,0.0170000000000012,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
550,1,0,31,81.863,67.639,14.202,0.0219999999999896,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
550,2,0,32,82.463,66.661,15.783,0.0189999999999948,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
550,3,0,33,79.516,67.139,12.358,0.0189999999999966,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
700,1,0,34,83.631,71.233,12.379,0.0189999999999966,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
700,2,0,35,85.405,72.402,12.984,0.0190000000000001,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
700,3,0,36,92.508,81.445,11.044,0.0190000000000019,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
900,1,0,37,93.708,78.59,15.098,0.0200000000000085,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
900,2,0,38,86.195,71.178,14.999,0.0179999999999811,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
900,3,0,39,84.704,70.948,13.738,0.0180000000000149,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
1050,1,0,40,81.42,65.646,15.755,0.0190000000000001,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
1050,2,0,41,84.241,68.085,16.136,0.0199999999999889,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
1050,3,0,42,83.631,69.256,14.357,0.0180000000000007,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
