frame,loadFrameMs,offlinePerceptionSeconds,offlineMapSeconds,mapExportMs,mapComponents
120,561.173,20.010198,12.072478,3.157,81
260,537.628,18.128989,10.175579,4.429,57
350,584.922,18.721607,10.304302,3.289,85
550,548.396,18.963601,11.083845,3.57,72
700,580.053,20.803624,9.433959,3.174,57
900,672.507,19.560772,8.867972,3.648,64
1050,593.075,20.114483,9.36017,3.772,60
