frame,referenceSeed,odomDiscrepancyM,pvaDiscrepancyM
100,0,0.222973229962427,0.21908427644627318
100,1,0.221074370916474,0.2171324611568761
300,0,0.150299887798157,0.1205663613487061
300,1,0.15029543325421,0.12056139182025735
700,0,0.0742414805299677,0.07805933659909643
700,1,0.0742344411898795,0.0780526231755478
820,0,0.714064868966985,0.6972367876329217
820,1,0.661220636349303,0.6442596794072821
879,0,1.37924950347015,0.13826218088521514
879,1,0.442222106140511,0.8412953978233096
1090,0,1.46437659696138,0.24662580263281828
1090,1,0.102974993366442,1.330061597292302
1093,0,1.58469486410808,0.35080997386575885
1093,1,0.159641131332261,1.1459653480319318
1098,0,0.125957291955824,0.12445051563305737
1098,1,0.125954247635852,0.12444742103437594
