scenario,positionRmseM,after5SecondsRmseM,positionP95M,maximumPositionM,headingRmseDeg,seconds,certificateMargin,maximumStateDifferenceFromStored,pvaPositionRmseM,pvaMaximumPositionM
baseline,0.338912192195949,0.343270208029251,0.605823671198242,2.17037618840105,0.551535083567048,11.498918,0.086099263054876,0,0.298229121867366,1.66946070219012
reference_pose,0.14199736363075,0.14063446844219,0.114776802038998,1.49035498976707,0.0862848686636569,11.563737,0.086099263054876,3.86023605451225,0.211671280999736,2.13892954179299
zero_auxiliary,0.338912586750645,0.343270649892662,0.605850358867078,2.17036701536784,0.551448627946173,11.639901,0.114502472832296,0.00119044785107114,0.298230692270748,1.66948347559804
zero_lateral,0.338886810507685,0.343244078532586,0.605664867125482,2.17039174272438,0.551512948152578,11.472433,0.086099263054876,0.145561298633669,0.298197604195311,1.66993959520176
delay_zero,0.254785575570908,0.258726224899805,0.489713549688881,1.73026358185985,0.538763773930488,8.696537,0.127958119831288,1.75931908553785,0.195862278098637,1.13505071385734
delay_075ms,0.270447119869303,0.27461491944563,0.53278215393286,1.81786825694614,0.54423049824487,11.122778,0.111617131926709,1.4685965285818,0.21682354108535,1.34673501133465
theta_15,0.293630828607451,0.297283248802797,0.552142492133811,1.9079499651025,0.539942109005447,11.318383,0.0340869753359044,1.82677254366627,0.24629247139653,1.6127531616136
reference_pose_delay_zero,0.0864124689960113,0.0858568690614091,0.0882570759057995,1.30003867316593,0.096430143486154,8.862669,0.127958119831288,2.91350284539875,0.17198922048904,1.31495034500275
pva_pose,0.164718458497682,0.164468612837549,0.0811047545612018,1.42451430590898,0.0862847962458106,11.773093,0.086099263054876,2.88129206253969,0.0457887365695656,0.64020654075135
pva_pose_delay_zero,0.161608794484968,0.163799438620853,0.0700309081626568,1.42107927571528,0.0964297519707805,9.170609,0.127958119831288,2.91361161182501,0.0341494390624819,0.64020654075135
half_integration_step,0.338912192158236,0.343270207973929,0.605823671272465,2.1703761889673,0.551535083554127,22.39904,0.086099263054876,4.28095088267355e-08,0.298229121814824,1.66946069774899
