mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_zero,native_full,lidar_measurement,1084,0.148634389798263,0.0788666854398096,0.330449648702042,0.575064923076906,0.252767527675277,0.616236162361624,0.424399955637063
per_frame_zero,native_full,motion_aided_observer,1084,0.118210137560694,0.0967574168029386,0.206526362599595,0.463459351012315,0.121771217712177,0.534132841328413,0.316530985130186
per_frame_zero,native_all,lidar_linear_reconstruction,1170,0.273544601794314,0.0822517000918561,0.381602123268799,1.94694692893283,0.247863247863248,0.594017094017094,0.457133454832698
per_frame_zero,native_all,motion_aided_observer,1170,0.263532281440463,0.0987938415080988,0.257350931589359,1.96164458236537,0.117094017094017,0.51025641025641,0.360487922427212
per_frame_zero,uniform_all,lidar_linear_reconstruction,11690,0.265834063060285,0.0802563744628151,0.330484903377089,1.94759790842649,0.259880239520958,0.599486740804106,0.430934564471062
per_frame_zero,uniform_all,motion_aided_observer,11690,0.263999884599601,0.0994378919685466,0.258494276921871,1.96217755123022,0.116852010265184,0.505218135158255,0.361516298619631
per_frame_zero,uniform_first60,lidar_linear_reconstruction,6001,0.127647438692555,0.0678479762164791,0.28068380162565,0.571468568904726,0.333944342609565,0.684719213464423,0.400140394103287
per_frame_zero,uniform_first60,motion_aided_observer,6001,0.114656077314066,0.0932331911195308,0.20110898349132,0.334049234829016,0.117813697717047,0.572404599233461,0.34262632274854
per_frame_zero,uniform_after60,lidar_linear_reconstruction,5689,0.357803911139366,0.0974491339252253,0.458307558127521,1.94759790842649,0.181754262612058,0.509579891017754,0.461194547915263
per_frame_zero,uniform_after60,motion_aided_observer,5689,0.359648733264354,0.108310345588776,0.476341675669802,1.96217755123022,0.11583758129724,0.434346985410441,0.380427058410979
per_frame_zero,native_without_full_measurement,lidar_linear_reconstruction,86,0.859957100237243,0.181106427006643,1.90872038729225,1.94694692893283,0.186046511627907,0.313953488372093,0.756760655729842
