leftFrame,rightFrame,startTime,endTime,durationSeconds,uniformSamples,lidarRmseM,observerRmseM,maximumReferenceChordErrorM,lidarSquaredErrorFraction,observerSquaredErrorFraction
95,105,9.39982448684323,10.3999194912908,1.00009500444757,100,0.189587659152869,0.128020594136541,0.245055081779244,0.00435095267171255,0.00201158177193052
123,126,12.1993541852822,12.4992931166312,0.299938931349001,30,0.0785472224262047,0.074721730080377,0.0120667011055349,0.000224051135674695,0.000205585796655465
168,170,16.652066722966,16.9060434989032,0.253976775937197,25,0.214736147329378,0.229058659849064,0.00590825457153943,0.00139545087760143,0.00160994653751564
323,326,32.1991762142793,32.4989015464074,0.299725332128105,30,0.0190454929943478,0.139877061603835,0.00410599349664939,1.31725520405959e-05,0.000720430798234712
346,350,34.4991574848709,34.899495464675,0.4003379798041,40,0.0397954238276364,0.108205122269991,0.00326197477597504,7.66814807281771e-05,0.00057482235064703
627,630,62.5747399314244,62.9001375536494,0.325397622224997,33,0.195812770837509,0.17180393775011,0.0183240085319171,0.00153165233106478,0.00119552367793665
789,792,78.7994403403407,79.0989616508024,0.299521310461699,30,0.0478472523567197,0.061059551190012,0.0182507512494561,8.3137984522028e-05,0.000137279751703421
803,834,80.2000523459757,83.2987615410997,3.09870919512399,309,1.42105656710759,1.45012135739598,2.01911923006934,0.755345144524292,0.797526627409843
834,839,83.2987615410997,83.7994749381234,0.500713397023702,50,0.176703390066346,0.25958886542214,0.0421223814695725,0.00188983547877269,0.00413542491238913
850,853,84.8987583148387,85.199817393551,0.301059078712299,30,0.136096294089314,0.137009857645848,0.016322242493103,0.000672632866528364,0.000691198679353978
1078,1081,107.694340985383,107.999637486796,0.305296501413011,30,0.100382244819793,0.0256531560088299,0.000697052176051122,0.000365931075538416,2.42315320856606e-05
