frame,time,mode,fullPose,directionalPose,measurementType,reason,pvaErrorM,mappingErrorM,yawErrorDeg,registrationSeconds
13,1.19983919676857,per_frame_negative,1,0,fullPose,accepted,0.0363330008352468,0.0363330008352468,-0.0753481272702237,0.020625
13,1.19983919676857,per_frame_zero,1,0,fullPose,accepted,0.0363175906928589,0.0363175906928589,-0.0753136050964941,0.018513
13,1.19983919676857,lidar_only_recursive,1,0,fullPose,accepted,0.0363267326638078,0.0363267326638078,-0.0753266058151727,0.019638
14,1.30017356364201,per_frame_positive,1,0,fullPose,accepted,0.0363142099848665,0.0363142099848665,-0.10765274885582,0.021496
14,1.30017356364201,per_frame_negative,1,0,fullPose,accepted,0.0363191304621667,0.0363191304621667,-0.107671668220387,0.02154
14,1.30017356364201,per_frame_zero,1,0,fullPose,accepted,0.0363148047355088,0.0363148047355088,-0.107654859539462,0.019294
14,1.30017356364201,lidar_only_recursive,1,0,fullPose,accepted,0.036315239603552,0.036315239603552,-0.107656417505293,0.019716
15,1.40011269091914,per_frame_positive,1,0,fullPose,accepted,0.0834395796244626,0.0834395796244626,0.0653504408970451,0.021698
15,1.40011269091914,per_frame_negative,1,0,fullPose,accepted,0.0354249734889738,0.0354249734889738,-0.0899507593007402,0.021851
15,1.40011269091914,per_frame_zero,1,0,fullPose,accepted,0.0354241826555996,0.0354241826555996,-0.0899480125520895,0.019979
15,1.40011269091914,lidar_only_recursive,1,0,fullPose,accepted,0.0354255502700399,0.0354255502700399,-0.0899629205782171,0.019086
16,1.50078602588373,per_frame_positive,1,0,fullPose,accepted,0.0887630243689864,0.0887630243689864,0.040078514101348,0.021951
16,1.50078602588373,per_frame_negative,1,0,fullPose,accepted,0.0135680381924403,0.0135680381924403,-0.136296902267438,0.024096
16,1.50078602588373,per_frame_zero,1,0,fullPose,accepted,0.0135598379893002,0.0135598379893002,-0.136267906079562,0.019015
16,1.50078602588373,lidar_only_recursive,1,0,fullPose,accepted,0.0135724294230153,0.0135724294230153,-0.136279928895153,0.019412
17,1.57550130184887,per_frame_positive,1,0,fullPose,accepted,0.0853952965736041,0.0853952965736041,0.125043623107668,0.020507
17,1.57550130184887,per_frame_negative,1,0,fullPose,accepted,0.0245087782406944,0.0245087782406944,0.00749615341639239,0.02175
17,1.57550130184887,per_frame_zero,1,0,fullPose,accepted,0.0245060336341082,0.0245060336341082,0.00750891611686201,0.019119
17,1.57550130184887,lidar_only_recursive,1,0,fullPose,accepted,0.0245123594104533,0.0245123594104533,0.00747121526563976,0.018949
18,1.6562955910604,per_frame_positive,1,0,fullPose,accepted,0.136055847730069,0.136055847730069,0.0611747871842377,0.020893
18,1.6562955910604,per_frame_negative,1,0,fullPose,accepted,0.091080592860493,0.091080592860493,-0.00343126697388137,0.022478
18,1.6562955910604,per_frame_zero,1,0,fullPose,accepted,0.091069960451823,0.091069960451823,-0.00344488411723684,0.019803
18,1.6562955910604,lidar_only_recursive,1,0,fullPose,accepted,0.0910731575855564,0.0910731575855564,-0.00344075857561341,0.020546
19,1.79961705519055,per_frame_positive,1,0,fullPose,accepted,0.116899315818658,0.116899315818658,0.105094722027167,0.02728
19,1.79961705519055,per_frame_negative,1,0,fullPose,accepted,0.0353090042934353,0.0353090042934353,-0.0689208446863181,0.021165
19,1.79961705519055,per_frame_zero,1,0,fullPose,accepted,0.035302693037255,0.035302693037255,-0.0689037468707089,0.01897
19,1.79961705519055,lidar_only_recursive,1,0,fullPose,accepted,0.116898999523281,0.116898999523281,0.105093172838013,0.020467
20,1.89930048736994,per_frame_positive,1,0,fullPose,accepted,0.0940049570841578,0.0940049570841578,0.0495589315495868,0.021258
20,1.89930048736994,per_frame_negative,1,0,fullPose,accepted,0.0940051429834463,0.0940051429834463,0.0495573764942938,0.02312
20,1.89930048736994,per_frame_zero,1,0,fullPose,accepted,0.0291457175066857,0.0291457175066857,-0.0929482496887046,0.019639
20,1.89930048736994,lidar_only_recursive,1,0,fullPose,accepted,0.0940072918395713,0.0940072918395713,0.0495643094629357,0.020318
21,1.99968711610252,per_frame_positive,1,0,fullPose,accepted,0.0759271163493294,0.0759271163493294,-0.0193895599720704,0.025091
21,1.99968711610252,per_frame_negative,1,0,fullPose,accepted,0.0165229970490799,0.0165229970490799,-0.169120938073531,0.022202
21,1.99968711610252,per_frame_zero,1,0,fullPose,accepted,0.0165218369561997,0.0165218369561997,-0.169101303102151,0.019724
21,1.99968711610252,lidar_only_recursive,1,0,fullPose,accepted,0.075924482371674,0.075924482371674,-0.019376868213644,0.019055
22,2.0993715732165,per_frame_positive,1,0,fullPose,accepted,0.0209045348723218,0.0209045348723218,-0.10656523536336,0.020788
22,2.0993715732165,per_frame_negative,1,0,fullPose,accepted,0.0209000212885577,0.0209000212885577,-0.106586907578204,0.022447
22,2.0993715732165,per_frame_zero,1,0,fullPose,accepted,0.0208994940636521,0.0208994940636521,-0.106579228830633,0.019915
22,2.0993715732165,lidar_only_recursive,1,0,fullPose,accepted,0.0209061613024521,0.0209061613024521,-0.106623744597493,0.019007
23,2.20012039330358,per_frame_positive,1,0,fullPose,accepted,0.0802769440728668,0.0802769440728668,0.00572266889630221,0.020756
23,2.20012039330358,per_frame_negative,1,0,fullPose,accepted,0.0802726764724013,0.0802726764724013,0.00571460061009234,0.022642
23,2.20012039330358,per_frame_zero,1,0,fullPose,accepted,0.0470470144398506,0.0470470144398506,-0.0455792859736422,0.019769
23,2.20012039330358,lidar_only_recursive,1,0,fullPose,accepted,0.0470438501502913,0.0470438501502913,-0.0455811839701318,0.020032
24,2.29986916745338,per_frame_positive,1,0,fullPose,accepted,0.0698930121985956,0.0698930121985956,-0.197781575526654,0.021113
24,2.29986916745338,per_frame_negative,1,0,fullPose,accepted,0.0447519717580118,0.0447519717580118,-0.2922920070054,0.024502
24,2.29986916745338,per_frame_zero,1,0,fullPose,accepted,0.0447514563594332,0.0447514563594332,-0.292277875334553,0.020805
24,2.29986916745338,lidar_only_recursive,1,0,fullPose,accepted,0.0698912002047962,0.0698912002047962,-0.197777904704582,0.019805
25,2.39972255726752,per_frame_positive,1,0,fullPose,accepted,0.0341686995415165,0.0341686995415165,-0.0392956944568722,0.021322
25,2.39972255726752,per_frame_negative,1,0,fullPose,accepted,0.0341765172539316,0.0341765172539316,-0.0393377458247775,0.02178
25,2.39972255726752,per_frame_zero,1,0,fullPose,accepted,0.0341671106978622,0.0341671106978622,-0.039291276232821,0.019588
25,2.39972255726752,lidar_only_recursive,1,0,fullPose,accepted,0.0341731175758895,0.0341731175758895,-0.0393403067009984,0.019619
26,2.4994592110607,per_frame_positive,1,0,fullPose,accepted,0.0287392986334744,0.0287392986334744,-0.116700018870992,0.020343
26,2.4994592110607,per_frame_negative,1,0,fullPose,accepted,0.0363292957472906,0.0363292957472906,-0.137644742006399,0.020935
26,2.4994592110607,per_frame_zero,1,0,fullPose,accepted,0.0287429231046744,0.0287429231046744,-0.11669060948927,0.01888
26,2.4994592110607,lidar_only_recursive,1,0,fullPose,accepted,0.0287443328112533,0.0287443328112533,-0.116694133159951,0.01899
27,2.56184643673581,per_frame_positive,1,0,fullPose,accepted,0.106299743557464,0.106299743557464,0.100139460947367,0.020627
27,2.56184643673581,per_frame_negative,1,0,fullPose,accepted,0.0589614749614366,0.0589614749614366,0.0100984584894558,0.02218
27,2.56184643673581,per_frame_zero,1,0,fullPose,accepted,0.0589546559665004,0.0589546559665004,0.0100969523033855,0.019676
27,2.56184643673581,lidar_only_recursive,1,0,fullPose,accepted,0.0589533474668308,0.0589533474668308,0.0100950881901337,0.020207
28,2.69885396896601,per_frame_positive,1,0,fullPose,accepted,0.085396844110011,0.085396844110011,0.117024759470893,0.020995
28,2.69885396896601,per_frame_negative,1,0,fullPose,accepted,0.0587738943311476,0.0587738943311476,-0.0912272480916225,0.022526
28,2.69885396896601,per_frame_zero,1,0,fullPose,accepted,0.0587670520662403,0.0587670520662403,-0.0911876466051952,0.019606
28,2.69885396896601,lidar_only_recursive,1,0,fullPose,accepted,0.0853968250794093,0.0853968250794093,0.117022158450627,0.020611
29,2.80011353742193,per_frame_positive,1,0,fullPose,accepted,0.0339320304530203,0.0339320304530203,-0.0261013013966141,0.021223
29,2.80011353742193,per_frame_negative,1,0,fullPose,accepted,0.0339320725177047,0.0339320725177047,-0.0261013812606984,0.022875
29,2.80011353742193,per_frame_zero,1,0,fullPose,accepted,0.0339317831413458,0.0339317831413458,-0.0261010525536035,0.019369
29,2.80011353742193,lidar_only_recursive,1,0,fullPose,accepted,0.0339320609529188,0.0339320609529188,-0.0261013497412742,0.020108
30,2.89948580766684,per_frame_positive,1,0,fullPose,accepted,0.0548042824096865,0.0548042824096865,0.0994630714781398,0.021906
30,2.89948580766684,per_frame_negative,1,0,fullPose,accepted,0.0438895926532252,0.0438895926532252,-0.0739121532518912,0.021433
30,2.89948580766684,per_frame_zero,1,0,fullPose,accepted,0.0438880992600259,0.0438880992600259,-0.0739050772145971,0.02009
30,2.89948580766684,lidar_only_recursive,1,0,fullPose,accepted,0.0438891747523868,0.0438891747523868,-0.073909779185982,0.019748
31,2.99981134175746,per_frame_positive,1,0,fullPose,accepted,0.0355404079025942,0.0355404079025942,0.0277541083046272,0.021103
31,2.99981134175746,per_frame_negative,1,0,fullPose,accepted,0.0423448464333887,0.0423448464333887,-0.124607432179562,0.021569
31,2.99981134175746,per_frame_zero,1,0,fullPose,accepted,0.0355392616160137,0.0355392616160137,0.0277502850394348,0.019992
31,2.99981134175746,lidar_only_recursive,1,0,fullPose,accepted,0.040997527057226,0.040997527057226,-0.109642040712909,0.019544
32,3.09880168968852,per_frame_positive,1,0,fullPose,accepted,0.0233188839685645,0.0233188839685645,-0.0905649910175431,0.020936
32,3.09880168968852,per_frame_negative,1,0,fullPose,accepted,0.0229911275647893,0.0229911275647893,-0.0917075114257641,0.023098
32,3.09880168968852,per_frame_zero,1,0,fullPose,accepted,0.0233259321452963,0.0233259321452963,-0.0905974301099604,0.020057
32,3.09880168968852,lidar_only_recursive,1,0,fullPose,accepted,0.0233273454124412,0.0233273454124412,-0.0906035376201113,0.019905
33,3.19947749985262,per_frame_positive,1,0,fullPose,accepted,0.0344214446153757,0.0344214446153757,0.0687149197225236,0.021175
33,3.19947749985262,per_frame_negative,1,0,fullPose,accepted,0.0650613892772483,0.0650613892772483,-0.0819339617411419,0.02246
33,3.19947749985262,per_frame_zero,1,0,fullPose,accepted,0.0650591870792578,0.0650591870792578,-0.081915785419465,0.019435
33,3.19947749985262,lidar_only_recursive,1,0,fullPose,accepted,0.0650594128598836,0.0650594128598836,-0.0819174464697706,0.0196
34,3.2991270764897,per_frame_positive,1,0,fullPose,accepted,0.0515225479970214,0.0515225479970214,0.02822210737628,0.021121
34,3.2991270764897,per_frame_negative,1,0,fullPose,accepted,0.0515227167909478,0.0515227167909478,0.0282216120252184,0.022672
34,3.2991270764897,per_frame_zero,1,0,fullPose,accepted,0.00570806026791745,0.00570806026791745,-0.0483968019986083,0.018787
34,3.2991270764897,lidar_only_recursive,1,0,fullPose,accepted,0.00572461315825822,0.00572461315825822,-0.0484100259773151,0.019698
35,3.39941332159383,per_frame_positive,1,0,fullPose,accepted,0.0448390960459014,0.0448390960459014,0.220240300149244,0.020985
35,3.39941332159383,per_frame_negative,1,0,fullPose,accepted,0.0463595164427426,0.0463595164427426,0.012398607866456,0.021895
35,3.39941332159383,per_frame_zero,1,0,fullPose,accepted,0.0463572136153267,0.0463572136153267,0.0124062168017939,0.020022
35,3.39941332159383,lidar_only_recursive,1,0,fullPose,accepted,0.046356927478018,0.046356927478018,0.0124073021494383,0.020558
36,3.49925731930265,per_frame_positive,1,0,fullPose,accepted,0.0463363486144492,0.0463363486144492,0.127332429771181,0.021314
36,3.49925731930265,per_frame_negative,1,0,fullPose,accepted,0.0272957274612245,0.0272957274612245,0.0148864519848409,0.021724
36,3.49925731930265,per_frame_zero,1,0,fullPose,accepted,0.0272944826361606,0.0272944826361606,0.0148907033285212,0.019742
36,3.49925731930265,lidar_only_recursive,1,0,fullPose,accepted,0.0272988936587915,0.0272988936587915,0.0148763443447549,0.019715
37,3.57496931674465,per_frame_positive,1,0,fullPose,accepted,0.0429575818732028,0.0429575818732028,0.041253539411632,0.020924
37,3.57496931674465,per_frame_negative,1,0,fullPose,accepted,0.0429576140297253,0.0429576140297253,0.0412503320541872,0.022032
37,3.57496931674465,per_frame_zero,1,0,fullPose,accepted,0.0429564868139965,0.0429564868139965,0.0412474872735641,0.020213
37,3.57496931674465,lidar_only_recursive,1,0,fullPose,accepted,0.0429565333662567,0.0429565333662567,0.0412482434271325,0.019597
38,3.69884567065947,per_frame_positive,1,0,fullPose,accepted,0.0229119072540401,0.0229119072540401,-0.0712878409439203,0.021928
38,3.69884567065947,per_frame_negative,1,0,fullPose,accepted,0.0229104263680871,0.0229104263680871,-0.0712867365283163,0.024342
38,3.69884567065947,per_frame_zero,1,0,fullPose,accepted,0.0229097831433857,0.0229097831433857,-0.0712801443934101,0.019509
38,3.69884567065947,lidar_only_recursive,1,0,fullPose,accepted,0.0229119221841007,0.0229119221841007,-0.0712903509058728,0.021068
39,3.80007112265231,per_frame_positive,1,0,fullPose,accepted,0.0665045824377519,0.0665045824377519,0.134042642493999,0.021622
39,3.80007112265231,per_frame_negative,1,0,fullPose,accepted,0.0789763489693418,0.0789763489693418,-0.0486943263814969,0.021555
39,3.80007112265231,per_frame_zero,1,0,fullPose,accepted,0.0789756209375554,0.0789756209375554,-0.0486904326013717,0.019732
39,3.80007112265231,lidar_only_recursive,1,0,fullPose,accepted,0.0789682710756404,0.0789682710756404,-0.0486919492350298,0.018619
40,3.89909164377957,per_frame_positive,1,0,fullPose,accepted,0.0638353199740761,0.0638353199740761,0.203858648235848,0.019763
40,3.89909164377957,per_frame_negative,1,0,fullPose,accepted,0.0823267903490404,0.0823267903490404,0.00862539122594288,0.020753
40,3.89909164377957,per_frame_zero,1,0,fullPose,accepted,0.0823263250166945,0.0823263250166945,0.00862858351252012,0.019754
40,3.89909164377957,lidar_only_recursive,1,0,fullPose,accepted,0.0823266252614019,0.0823266252614019,0.00862731687636311,0.01954
41,4.00030373366125,per_frame_positive,1,0,fullPose,accepted,0.01807546880865,0.01807546880865,0.0351111256702843,0.02258
41,4.00030373366125,per_frame_negative,1,0,fullPose,accepted,0.0180733038942795,0.0180733038942795,0.035088700880352,0.023292
41,4.00030373366125,per_frame_zero,1,0,fullPose,accepted,0.0180716137325561,0.0180716137325561,0.0351032042239484,0.019928
41,4.00030373366125,lidar_only_recursive,1,0,fullPose,accepted,0.0180705811315355,0.0180705811315355,0.0351029291546691,0.022797
42,4.10019901579618,per_frame_positive,1,0,fullPose,accepted,0.0281346733417529,0.0281346733417529,-0.0385860135283792,0.022096
42,4.10019901579618,per_frame_negative,1,0,fullPose,accepted,0.0281335747184183,0.0281335747184183,-0.0385931068738446,0.024888
42,4.10019901579618,per_frame_zero,1,0,fullPose,accepted,0.0281335804499687,0.0281335804499687,-0.0385930115554961,0.020343
42,4.10019901579618,lidar_only_recursive,1,0,fullPose,accepted,0.0281335185263563,0.0281335185263563,-0.0385933582272034,0.020953
43,4.20008339411891,per_frame_positive,1,0,fullPose,accepted,0.0388285787368384,0.0388285787368384,0.110954339568027,0.021334
43,4.20008339411891,per_frame_negative,1,0,fullPose,accepted,0.00665489300824737,0.00665489300824737,0.0449576918469309,0.022532
43,4.20008339411891,per_frame_zero,1,0,fullPose,accepted,0.00665200552112825,0.00665200552112825,0.0449459675369053,0.018793
43,4.20008339411891,lidar_only_recursive,1,0,fullPose,accepted,0.00666104276301977,0.00666104276301977,0.0449505941333171,0.020028
44,4.30009432929507,per_frame_positive,1,0,fullPose,accepted,0.0317313827084093,0.0317313827084093,0.101226785384654,0.018936
44,4.30009432929507,per_frame_negative,1,0,fullPose,accepted,0.0317309461465413,0.0317309461465413,0.101228126875293,0.021178
44,4.30009432929507,per_frame_zero,1,0,fullPose,accepted,0.0317309160277089,0.0317309160277089,0.10122817716429,0.018878
44,4.30009432929507,lidar_only_recursive,1,0,fullPose,accepted,0.03173090675969,0.03173090675969,0.101228189311209,0.019093
45,4.39958081135465,per_frame_positive,1,0,fullPose,accepted,0.0715427578740987,0.0715427578740987,0.13682044410244,0.023026
45,4.39958081135465,per_frame_negative,1,0,fullPose,accepted,0.0715407651476724,0.0715407651476724,0.136815240714523,0.021618
45,4.39958081135465,per_frame_zero,1,0,fullPose,accepted,0.0715417064300987,0.0715417064300987,0.136818592185929,0.019112
45,4.39958081135465,lidar_only_recursive,1,0,fullPose,accepted,0.0715370584524555,0.0715370584524555,0.136821168304411,0.019157
46,4.49928770825362,per_frame_positive,1,0,fullPose,accepted,0.014537193746996,0.014537193746996,-0.0152711404377247,0.019978
46,4.49928770825362,per_frame_negative,1,0,fullPose,accepted,0.0145407252306675,0.0145407252306675,-0.0153052736138921,0.023018
46,4.49928770825362,per_frame_zero,1,0,fullPose,accepted,0.0145339477260974,0.0145339477260974,-0.0152792714151863,0.01996
46,4.49928770825362,lidar_only_recursive,1,0,fullPose,accepted,0.0145297333468923,0.0145297333468923,-0.0152738831319569,0.02033
47,4.56832308931311,per_frame_positive,1,0,fullPose,accepted,0.0314379123148043,0.0314379123148043,0.0786969170497172,0.021449
47,4.56832308931311,per_frame_negative,1,0,fullPose,accepted,0.0314381198542522,0.0314381198542522,0.0786970105673884,0.022298
47,4.56832308931311,per_frame_zero,1,0,fullPose,accepted,0.0290868898607954,0.0290868898607954,0.080411158925261,0.019041
47,4.56832308931311,lidar_only_recursive,1,0,fullPose,accepted,0.0314370466383203,0.0314370466383203,0.0786955009243351,0.019324
48,4.69413083324844,per_frame_positive,1,0,fullPose,accepted,0.028428454258146,0.028428454258146,0.06371488828498,0.022665
48,4.69413083324844,per_frame_negative,1,0,fullPose,accepted,0.0284284735726827,0.0284284735726827,0.0637148155313438,0.025029
48,4.69413083324844,per_frame_zero,1,0,fullPose,accepted,0.0284202833519612,0.0284202833519612,0.0637136227176929,0.018871
48,4.69413083324844,lidar_only_recursive,1,0,fullPose,accepted,0.0284284482486667,0.0284284482486667,0.0637149174975351,0.021356
49,4.80012465615379,per_frame_positive,1,0,fullPose,accepted,0.0625758189241216,0.0625758189241216,0.0626392732980398,0.020828
49,4.80012465615379,per_frame_negative,1,0,fullPose,accepted,0.00605624313812536,0.00605624313812536,-0.0152887442843418,0.022026
49,4.80012465615379,per_frame_zero,1,0,fullPose,accepted,0.00605525903309967,0.00605525903309967,-0.0152846478901357,0.018552
49,4.80012465615379,lidar_only_recursive,1,0,fullPose,accepted,0.00605571155934484,0.00605571155934484,-0.0152869987180218,0.01931
50,4.90081085282113,per_frame_positive,1,0,fullPose,accepted,0.0623806943821685,0.0623806943821685,0.067061367816903,0.019391
50,4.90081085282113,per_frame_negative,1,0,fullPose,accepted,0.0623837082128266,0.0623837082128266,0.067041119147039,0.021688
50,4.90081085282113,per_frame_zero,1,0,fullPose,accepted,0.0209817583376564,0.0209817583376564,-0.0146773659505956,0.019275
50,4.90081085282113,lidar_only_recursive,1,0,fullPose,accepted,0.0209819360092519,0.0209819360092519,-0.0146775315818227,0.019331
51,4.99950139703287,per_frame_positive,1,0,fullPose,accepted,0.0250924388121876,0.0250924388121876,0.0808834513377576,0.019331
51,4.99950139703287,per_frame_negative,1,0,fullPose,accepted,0.0250958187387233,0.0250958187387233,0.0808666904742588,0.024244
51,4.99950139703287,per_frame_zero,1,0,fullPose,accepted,0.0250915197632131,0.0250915197632131,0.0808630677912308,0.018475
51,4.99950139703287,lidar_only_recursive,1,0,fullPose,accepted,0.0250949020668313,0.0250949020668313,0.0808768842327226,0.018805
52,5.09931369363966,per_frame_positive,1,0,fullPose,accepted,0.0191403098090431,0.0191403098090431,-0.0309861434222064,0.021086
52,5.09931369363966,per_frame_negative,1,0,fullPose,accepted,0.0191393736223602,0.0191393736223602,-0.0309988446215369,0.024126
52,5.09931369363966,per_frame_zero,1,0,fullPose,accepted,0.0191395451856288,0.0191395451856288,-0.0309893632678574,0.019502
52,5.09931369363966,lidar_only_recursive,1,0,fullPose,accepted,0.0191401257276159,0.0191401257276159,-0.0309822279561179,0.019257
53,5.19888567876943,per_frame_positive,1,0,fullPose,accepted,0.0229767779102207,0.0229767779102207,0.0850500418563429,0.021686
53,5.19888567876943,per_frame_negative,1,0,fullPose,accepted,0.0229784674148267,0.0229784674148267,0.085043830199158,0.02209
53,5.19888567876943,per_frame_zero,1,0,fullPose,accepted,0.0229784524250415,0.0229784524250415,0.0850372877112092,0.018643
53,5.19888567876943,lidar_only_recursive,1,0,fullPose,accepted,0.0229778170789651,0.0229778170789651,0.0850461893654916,0.019258
54,5.29900942531427,per_frame_positive,1,0,fullPose,accepted,0.084198997316655,0.084198997316655,0.130505088872819,0.019103
54,5.29900942531427,per_frame_negative,1,0,fullPose,accepted,0.0842063921240191,0.0842063921240191,0.130489937991444,0.02135
54,5.29900942531427,per_frame_zero,1,0,fullPose,accepted,0.0455658635296002,0.0455658635296002,0.0527034565793345,0.018492
54,5.29900942531427,lidar_only_recursive,1,0,fullPose,accepted,0.0455652216456175,0.0455652216456175,0.0527032394875723,0.018354
55,5.40013899579509,per_frame_positive,1,0,fullPose,accepted,0.0777860776099524,0.0777860776099524,0.102039911973334,0.018539
