mode,population,reference,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg,fullPoseCount,directionalPoseCount
per_frame_positive,all_outputs,recorded_mapping_pose,1170,0.254111423470857,0.11360316131541,0.640312423976002,0.855137323745458,0.164102564102564,0.435897435897436,0.792201101161766,1066,2
per_frame_positive,all_outputs,INSPVA,1170,0.254111423470857,0.11360316131541,0.640312423976002,0.855137323745458,0.164102564102564,0.435897435897436,0.792201101161766,1066,2
per_frame_positive,full_measurements,recorded_mapping_pose,1066,0.177101864368187,0.104577173489888,0.369100267551821,0.855137323745458,0.180112570356473,0.478424015009381,0.551785079370941,1066,2
per_frame_positive,full_measurements,INSPVA,1066,0.177101864368187,0.104577173489888,0.369100267551821,0.855137323745458,0.180112570356473,0.478424015009381,0.551785079370941,1066,2
per_frame_negative,all_outputs,recorded_mapping_pose,1170,0.272176379930652,0.114154671813918,0.640312423976002,1.35176983660823,0.175213675213675,0.447008547008547,0.821694441778408,1069,3
per_frame_negative,all_outputs,INSPVA,1170,0.272176379930652,0.114154671813918,0.640312423976002,1.35176983660823,0.175213675213675,0.447008547008547,0.821694441778408,1069,3
per_frame_negative,full_measurements,recorded_mapping_pose,1069,0.207377178456998,0.103202047229529,0.435332326898625,1.35176983660823,0.19176800748363,0.489242282507016,0.605412590153465,1069,3
per_frame_negative,full_measurements,INSPVA,1069,0.207377178456998,0.103202047229529,0.435332326898625,1.35176983660823,0.19176800748363,0.489242282507016,0.605412590153465,1069,3
per_frame_zero,all_outputs,recorded_mapping_pose,1170,0.143626779742542,0.0752223866518193,0.322883453424371,0.575064925868327,0.304273504273504,0.641880341880342,0.41721483145682,1084,4
per_frame_zero,all_outputs,INSPVA,1170,0.143626779742542,0.0752223866518193,0.322883453424371,0.575064925868327,0.304273504273504,0.641880341880342,0.41721483145682,1084,4
per_frame_zero,full_measurements,recorded_mapping_pose,1084,0.148634389851691,0.0788666853755473,0.330449647811058,0.575064925868327,0.252767527675277,0.616236162361624,0.424399955637064,1084,4
per_frame_zero,full_measurements,INSPVA,1084,0.148634389851691,0.0788666853755473,0.330449647811058,0.575064925868327,0.252767527675277,0.616236162361624,0.424399955637064,1084,4
lidar_only_recursive,all_outputs,recorded_mapping_pose,1170,302.399450615169,97.8969282208944,727.979960660651,841.589831339318,0.0444444444444444,0.0811965811965812,48.7854023520983,157,215
lidar_only_recursive,all_outputs,INSPVA,1170,302.399450615169,97.8969282208944,727.979960660651,841.589831339318,0.0444444444444444,0.0811965811965812,48.7854023520983,157,215
lidar_only_recursive,full_measurements,recorded_mapping_pose,157,1.18594726659699,0.0789682710756404,0.401601188496138,14.6958283929701,0.331210191082803,0.585987261146497,0.755057506202938,157,215
lidar_only_recursive,full_measurements,INSPVA,157,1.18594726659699,0.0789682710756404,0.401601188496138,14.6958283929701,0.331210191082803,0.585987261146497,0.755057506202938,157,215
