population,samples,positionRmseM,positionMedianM,positionMaximumM,fractionOfTotalSquaredPositionError,headingRmseDeg,gnssHeadingSamples
all_uniform,11690,0.117402731465409,0.0673950569958958,0.461107186772476,1,0.54683939813387,865
both_channels,10824,0.0956500686077238,0.0656516601632131,0.397586054986598,0.61459276258852,0.359258079906025,0
gnss_without_lidar,865,0.267937414022359,0.161700675341903,0.461107186772476,0.38540018327043,1.55763182511134,865
time_80_86,600,0.327422524599002,0.321198670637689,0.461107186772476,0.399206351472678,1.67819681621567,380
outside_80_86,11090,0.0934291397523192,0.0649495455681834,0.319785905630524,0.600793648527321,0.403534079507657,485
