method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,260,1,2,50,65.333,59.185,6.123,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,2,2,51,82.747,66.615,16.11,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,2,52,64.668,57.263,7.382,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,2,53,80.02,66.298,13.7,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,2,54,66.169,59.951,6.197,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,2,55,81.733,66.539,15.173,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,56,83.856,76.842,6.993,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,2,2,57,82.97,65.643,17.306,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,2,58,67.338,59.505,7.812,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,3,2,59,78.565,63.14,15.405,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,65.178,58.139,7.018,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,550,1,2,61,96.561,81.145,15.394,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,2,62,77.016,70.866,6.131,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,2,2,63,96.99,80.074,16.896,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,64,80.107,73.275,6.811,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,3,2,65,90.946,78.044,12.882,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,2,66,79.277,71.568,7.684,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,700,1,2,67,92.413,79.452,12.937,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,2,68,77.455,71.713,5.721,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,2,2,69,89.33,75.506,13.803,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
