method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,260,3,2,50,69.831,62.517,7.291,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,1050,1,2,51,74.06,66.743,7.293,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,2,52,93.52,77.278,16.221,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,900,2,2,53,83.6,75.425,8.155,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,2,54,98.243,82.068,16.155,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,3,2,55,79.291,73.308,5.964,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,900,3,2,56,97.24,82.983,14.237,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,550,2,2,57,100.132,83.561,16.55,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,58,76.108,69.042,7.046,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,3,2,59,80.172,64.3,15.851,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,65.909,58.511,7.378,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,2,2,61,68.268,60.955,7.293,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,2,2,62,82.939,65.679,17.239,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,1,2,63,81.371,66.442,14.908,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,64,66.959,59.979,6.96,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,700,3,2,65,76.272,69.457,6.791,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,700,3,2,66,86.995,74.915,12.059,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,900,1,2,67,78.339,71.517,6.798,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,1,2,68,96.313,80.121,16.171,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,2,69,67.748,62.041,5.68,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,2,70,79.055,66.432,12.594,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,550,3,2,71,92.488,78.319,14.149,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,2,72,77.761,70.823,6.912,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,120,1,2,73,75.36,66.743,8.596,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,120,1,2,74,90.781,68.536,22.223,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,1050,2,2,75,91.798,75.257,16.519,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,2,76,74.592,67.369,7.202,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,120,2,2,77,94.768,71.519,23.224,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,2,78,78.619,67.087,11.512,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,260,2,2,79,85.561,75.025,10.511,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,2,80,84.92,69.162,15.737,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,550,1,2,81,77.326,70.122,7.183,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,2,82,93.779,78.597,15.161,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,700,2,2,83,89.005,74.884,14.1,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,2,84,72.503,66.058,6.426,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,550,3,3,85,74.881,67.6,7.257,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,550,3,3,86,93.866,80.363,13.482,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,120,1,3,87,91.431,69.231,22.18,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,3,88,70.539,62.879,7.64,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,550,2,3,89,77.885,70.252,7.611,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,3,90,94.603,77.067,17.515,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,350,1,3,91,84.449,68.937,15.49,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
