scenario,time,positionErrorM,yawErrorDeg,lateralVelocityMps,sideSlipAngleRad
gpsOnly,0,0.640312423976002,2,0,0
gpsOnly,0.1,0.452658920328858,1.99240665994657,0.000521257069820106,0
gpsOnly,0.2,0.103329360162264,1.88632344317956,0.000994067868132827,0
gpsOnly,0.3,0.173745785674753,1.73660142473752,0.00496910719547982,0
gpsOnly,0.4,0.442690752290766,1.58824278464449,0.0120679951972521,0
gpsOnly,0.5,0.457937642350986,1.49712521536418,0.013138609845352,0
gpsOnly,0.6,0.320619363723617,1.47324318365167,0.0136327037694961,0
gpsOnly,0.7,0.106613144904428,1.50682751332759,0.0133744433622712,0
gpsOnly,0.8,0.0782464407106487,1.57844498800591,0.0132472120853568,0
gpsOnly,0.9,0.180312457710878,1.65846956285577,0.003822228229209,0
gpsOnly,1,0.295618390142304,1.72742346187642,-0.00168323622222378,0
gpsOnly,1.1,0.252431986307957,1.75656336670222,0.000903088512095379,0
gpsOnly,1.2,0.14841948550935,1.75475959933897,0.00711028960939822,0
gpsOnly,1.3,0.0208867461913562,1.72023405823838,0.00847715028309236,0
gpsOnly,1.4,0.0818668245370468,1.67570489063074,0.0073303643302644,0
gpsOnly,1.5,0.101007398692928,1.63234421470791,0.00841629832283043,0
gpsOnly,1.6,0.144289955267909,1.59811895520598,0.0117831760903515,0
gpsOnly,1.7,0.10669509147488,1.59076723339779,0.0175637261281248,0
gpsOnly,1.8,0.0325756289753488,1.59164686277996,0.023091879781069,0
gpsOnly,1.9,0.0170338127155003,1.60563091468844,0.0278925823862992,0
gpsOnly,2,0.0447131427394651,1.62156781271087,0.03040211884377,0
gpsOnly,2.1,0.0790996574109709,1.63611942615728,0.0339886016742773,0
gpsOnly,2.2,0.072216542015452,1.64183183443388,0.0370446573768326,0
gpsOnly,2.3,0.0371239513304764,1.63088434714366,0.0387607503673898,0
gpsOnly,2.4,0.0309317211104164,1.61391467956801,0.0393627168581892,0
gpsOnly,2.5,0.0301476436071915,1.56744230831085,0.0419214332266914,5.95259908455075e-10
gpsOnly,2.6,0.038998790078032,1.55226253537973,0.0335279599687311,1.58249950635302e-06
gpsOnly,2.7,0.0568588524897472,1.54713591096017,0.0653746274742173,1.06671629287835e-05
gpsOnly,2.8,0.0371096377261562,1.49184063510311,0.104201207859363,3.34806366909095e-05
gpsOnly,2.9,0.0280497914874106,1.49053154881231,0.103169479545527,8.90827890775688e-05
gpsOnly,3,0.0086592801552772,1.53175841511685,0.0921267505487278,0.000172153005586221
gpsOnly,3.1,0.00983980384876407,1.5324902089638,0.0826127768523914,0.000279374997090645
gpsOnly,3.2,0.0178396305638215,1.54499877382916,0.0734417297142196,0.000391257806497847
gpsOnly,3.3,0.026597971302372,1.55693394637839,0.0926579310078779,0.000498587252174497
gpsOnly,3.4,0.0286345705275529,1.55683757061916,0.0772074416590287,0.000633964033340836
gpsOnly,3.5,0.0293595906667355,1.56370142927136,0.0468962499328681,0.000685474254527122
gpsOnly,3.6,0.038986236462024,1.56374393734452,0.032029686309487,0.000639998070182994
gpsOnly,3.7,0.0346669948610825,1.54974601713993,0.028138434882705,0.000573165551019354
gpsOnly,3.8,0.0395064186029942,1.5522363208275,0.0202359130341884,0.000527878802310698
gpsOnly,3.9,0.0344431190311679,1.55640986824958,0.00195606011617317,0.000424772559215601
gpsOnly,4,0.0249040060109275,1.55509891473436,-0.0177909656495997,0.000178978347416085
gpsOnly,4.1,0.0211886676747996,1.55945734660707,-0.0288724272290337,-0.000162651598846366
gpsOnly,4.2,0.0177974860473001,1.55125760926615,-0.0264557498029063,-0.000462358493544967
gpsOnly,4.3,0.0149094086132472,1.55530638527982,-0.0207843160572978,-0.000569856360316154
