id,x,y,ground,candidate,score,seed
35826,8.32657623291016,-2.60397124290466,1,1,0.990214670020953,1
35890,8.2604455947876,-2.64015769958496,1,1,0.946303136153627,1
36082,8.12450504302979,-2.76587128639221,1,1,0.818913817067248,1
36595,8.00846576690674,-2.84287047386169,1,1,0.977100457604578,1
36787,7.8555703163147,-2.95595669746399,1,1,0.982251609793069,1
36851,7.79920291900635,-2.9906485080719,1,1,0.965356859176591,1
36915,7.76696491241455,-3.03422474861145,1,1,0.934084317283122,1
36979,7.73986959457397,-3.07965540885925,1,1,0.927844615414777,1
37492,7.6342306137085,-3.15353274345398,1,1,0.896113751347413,1
37620,7.5307445526123,-3.22189784049988,1,1,0.988272587954577,1
37684,7.48940181732178,-3.25990223884583,1,1,0.998011040861456,1
37812,7.42549324035645,-3.343425989151,1,1,0.999716266371579,1
37876,7.38446187973022,-3.380779504776,1,1,0.994901011620047,1
36789,7.30963039398193,-3.39578676223755,1,1,0.841332423029389,1
36917,7.25734758377075,-3.48284459114075,1,1,0.864217099458469,1
36981,7.22177600860596,-3.52166843414307,1,0,0,0
37045,7.18343067169189,-3.55890607833862,1,0,0,0
37173,7.09682083129883,-3.62755250930786,1,0,0,0
37237,7.06905937194824,-3.66945552825928,1,0,0,0
37429,6.95315217971802,-3.77697992324829,1,0,0,0
37814,6.94441223144531,-3.77770686149597,1,0,0,0
37878,6.88229846954346,-3.80007410049438,1,0,0,0
38006,6.81548309326172,-3.87557458877563,1,0,0,0
38070,6.76976156234741,-3.90598487854004,1,0,0,0
38262,6.63853359222412,-3.99864625930786,1,0,0,0
38326,6.61035633087158,-4.0383996963501,1,0,0,0
38454,6.5670952796936,-4.12598276138306,1,0,0,0
38518,6.52283668518066,-4.15545701980591,1,0,0,0
38967,6.46337366104126,-4.17941617965698,1,0,0,0
39031,6.4205846786499,-4.20912837982178,1,0,0,0
39223,6.2899866104126,-4.29495573043823,1,0,0,0
39287,6.25070381164551,-4.32588672637939,1,0,0,0
39415,6.17563486099243,-4.38954734802246,1,0,0,0
39543,6.12236070632935,-4.46834564208984,1,0,0,0
39607,6.08921337127686,-4.50296020507812,1,0,0,0
39735,6.02616930007935,-4.57436037063599,1,0,0,0
39863,5.96684741973877,-4.64841604232788,1,0,0,0
39927,5.92447900772095,-4.67538690567017,1,0,0,0
39991,5.88499927520752,-4.7043981552124,1,0,0,0
40440,5.85252809524536,-4.74305963516235,1,0,0,0
40183,5.78347635269165,-4.80422639846802,1,0,0,0
40632,5.73506784439087,-4.82946300506592,1,0,0,0
40824,5.63587331771851,-4.9300856590271,1,0,0,0
40952,5.55887126922607,-4.98713493347168,1,0,0,0
41080,5.50311040878296,-5.06305170059204,1,0,0,0
41208,5.41860485076904,-5.11217164993286,1,0,0,0
41336,5.35570096969604,-5.18120050430298,1,0,0,0
41464,5.29804706573486,-5.25550889968872,1,0,0,0
41592,5.22803497314453,-5.31761932373047,1,0,0,0
41656,5.19708919525146,-5.35278081893921,1,0,0,0
40697,5.07125520706177,-5.42661762237549,1,0,0,0
40825,5.01153230667114,-5.49920845031738,1,0,0,0
42168,4.92695331573486,-5.61103248596191,1,0,0,0
41081,4.87478828430176,-5.62589454650879,1,0,0,0
41209,4.79081583023071,-5.67086267471313,1,0,0,0
42488,4.74293994903564,-5.754807472229,1,0,0,0
41337,4.73013257980347,-5.74331045150757,1,0,0,0
41529,4.62652921676636,-5.83735418319702,1,0,0,0
41785,4.4838981628418,-5.95756530761719,1,0,0,0
41977,4.38181018829346,-6.05492353439331,1,0,0,0
42105,4.29029560089111,-6.08714246749878,1,0,0,0
42169,4.27445888519287,-6.14585590362549,1,0,0,0
42361,4.16902589797974,-6.24045991897583,1,0,0,0
42489,4.08914613723755,-6.28946018218994,1,0,0,0
42553,4.06574964523315,-6.33971548080444,1,0,0,0
42681,4.00545835494995,-6.42063760757446,1,0,0,0
42745,3.96480083465576,-6.44463014602661,1,0,0,0
42937,3.86143112182617,-6.54800319671631,1,0,0,0
43065,3.77424287796021,-6.58644151687622,1,0,0,0
43129,3.74109721183777,-6.62396430969238,1,0,0,0
43193,3.70578145980835,-6.65798950195312,1,0,0,0
43321,3.64161396026611,-6.73896455764771,1,0,0,0
43385,3.60765671730042,-6.7767128944397,1,0,0,0
43513,3.53439784049988,-6.84322929382324,1,0,0,0
43641,3.45579695701599,-6.90042066574097,1,0,0,0
43705,3.41491222381592,-6.92610645294189,1,0,0,0
43769,3.374267578125,-6.95241355895996,1,0,0,0
43961,3.26166605949402,-7.05251789093018,1,0,0,0
44089,3.19212579727173,-7.1337308883667,1,0,0,0
44217,3.11997008323669,-7.21168231964111,1,0,0,0
44281,3.08224105834961,-7.24775886535645,1,0,0,0
44473,2.96679186820984,-7.35397148132324,1,0,0,0
44537,2.93309450149536,-7.40265941619873,1,0,0,0
44986,2.87538814544678,-7.40797281265259,1,0,0,0
44729,2.8102970123291,-7.49762725830078,1,0,0,0
45242,2.70299744606018,-7.51188659667969,1,0,0,0
44921,2.68825888633728,-7.59965896606445,1,0,0,0
45049,2.60589075088501,-7.66813230514526,1,0,0,0
45113,2.56439018249512,-7.7025032043457,1,0,0,0
45241,2.48102450370789,-7.77242565155029,1,0,0,0
45305,2.43942546844482,-7.80889654159546,1,0,0,0
45369,2.4011242389679,-7.85709953308105,1,0,0,0
45433,2.35875940322876,-7.8931679725647,1,0,0,0
45561,2.28010606765747,-7.98960113525391,1,0,0,0
45625,2.23758745193481,-8.0287561416626,1,0,0,0
45689,2.19191026687622,-8.05749225616455,1,0,0,0
45753,2.14671111106873,-8.08876132965088,1,0,0,0
45881,2.06365036964417,-8.18319988250732,1,0,0,0
46073,1.92177975177765,-8.26478958129883,1,0,0,0
46201,1.83947825431824,-8.37957382202148,1,0,0,0
46393,1.69936394691467,-8.490403175354,1,0,0,0
48880,0.633784711360931,-8.41066741943359,1,0,0,0
46521,1.60483479499817,-8.56713104248047,1,0,0,0
46649,1.50771689414978,-8.63714694976807,1,0,0,0
46713,1.46076679229736,-8.68458366394043,1,0,0,0
46841,1.36752915382385,-8.79301261901855,1,0,0,0
46905,1.31326806545258,-8.80158805847168,1,0,0,0
47033,1.20747542381287,-8.83875179290771,1,0,0,0
47097,1.15308105945587,-8.84729671478271,1,0,0,0
47161,1.10005593299866,-8.86699295043945,1,0,0,0
